X,frankfurt_urban_n_vehicles_multi_radio.MA[0].udpApp[0]/rcvdPkLifetime:vector
30.704731094287,0.0125435
30.707428363591,0.00524077
30.718333363592,0.00614577
30.727148091107,0.0049605
30.736875363592,0.00468777
30.746875363592,0.00468777
30.75897136359,0.00678377
30.766875363592,0.00468777
30.777937363592,0.00574977
30.786875363592,0.00468777
30.79967336359,0.00748577
30.81190538164,0.00971779
30.81890838164,0.00672079
30.827933229169,0.00574564
30.836875381642,0.00468779
30.85174156015,0.00955397
30.856875381642,0.00468779
30.867274246131,0.00508665
30.880014087073,0.0078265
30.887464381641,0.00527679
30.898571381641,0.00638379
30.906875399692,0.00468781
30.917558020242,0.00537043
30.92914239969,0.00695481
30.939161399692,0.00697381
30.957565399688,0.0153778
30.958103816146,0.00591622
30.967829399692,0.00564181
30.977955404022,0.00576781
30.98881839969,0.00663081
30.997595399692,0.00540781
31.007685417742,0.00549783
31.033511633744,0.021324
31.039373852242,0.0171863
31.04009228675,0.0079047
31.047802417742,0.00561483
31.060988417742,0.00880083
31.066875417742,0.00468783
31.080569417741,0.00838183
31.086875417742,0.00468783
31.09889041774,0.00670283
31.107784435504,0.00559684
31.116875435504,0.00468784
31.126875435504,0.00468784
31.138490435503,0.00630284
31.150047794559,0.0078602
31.157946435504,0.00575884
31.167563435503,0.00537584
31.181504435501,0.00931684
31.186993142416,0.00480555
31.216672497606,0.0144849
31.21801596735,0.00582838
31.227518452977,0.00533086
31.237240969525,0.00505338
31.246875452978,0.00468786
31.257946452978,0.00575886
31.269520452976,0.00733286
31.280033452976,0.00784586
31.290069452976,0.00788186
31.300123452976,0.00793586
31.308436470163,0.00624888
31.318630470164,0.00644288
31.326875470164,0.00468788
31.337824470163,0.00563688
31.351131470162,0.00894388
31.358567470164,0.00637988
31.366875470164,0.00468788
31.377892470164,0.00570488
31.395707817158,0.0135202
31.397846470164,0.00565888
31.423615834053,0.0214282
31.443673834054,0.0314862
31.44503133788,0.0228437
31.446861841706,0.0146743
31.448888990886,0.0067014
31.463511834054,0.0113242
31.46885448706,0.0066669
31.482207487059,0.0100199
31.494827643887,0.0126401
31.49687548706,0.0046879
31.509709503666,0.00752191
31.517865503668,0.00567791
31.527725503667,0.00553791
31.546789371095,0.0146018
31.550611024101,0.00842343
31.558351503668,0.00616391
31.570108850662,0.00792126
31.581089497929,0.00890191
31.586875503668,0.00468791
31.598974437096,0.00678685
31.619639519981,0.0174519
31.622415056733,0.0102275
31.628332246491,0.00614466
31.639880519984,0.00769293
31.65461886698,0.0124313
31.660006519986,0.00781893
31.669547519984,0.00735993
31.678517519985,0.00632993
31.687527519985,0.00533993
31.697658519986,0.00547093
31.714681883006,0.0124943
31.717189536012,0.00500194
31.750148435782,0.0179608
31.754329088788,0.0121415
31.759319294572,0.0071317
31.767745896201,0.0055583
31.77888153601,0.00669394
31.786875536012,0.00468794
31.800925543881,0.00873795
31.80783855175,0.00565096
