X,frankfurt_urban_n_vehicles.MA[2].idLayer/sequenceUpdateDa:vector
5.5,0
270.691780138588,1
286.691780138588,2
318.691780138588,3
318.760977262713,4
318.760977262713,5
318.83237006986,6
318.84237006986,7
318.84237006986,8
318.911274525585,9
318.911274525585,10
318.913326932202,11
318.981465208972,12
318.982668534604,13
318.982668534604,14
318.98608971933,15
319.050737428988,16
319.051949767108,17
319.053559110942,18
319.055185616244,19
319.055185616244,20
319.11991966153,21
319.11991966153,22
319.189982601722,23
319.199982601722,24
319.199982601722,25
319.199982601722,26
319.199982601722,27
319.199982601722,28
319.199982601722,29
319.269924587729,30
319.271064951033,31
319.272070314337,32
319.273120677641,33
319.273120677641,34
319.274082040945,35
319.275069404249,36
319.339070845504,37
319.34025622147,38
319.34025622147,39
319.413051323103,40
319.423051323103,41
319.423051323103,42
319.423051323103,43
319.423051323103,44
319.423051323103,45
319.423051323103,46
319.423051323103,47
319.423051323103,48
319.491804578135,49
319.492899966765,50
319.494004355395,51
319.494993744025,52
319.494993744025,53
319.496152132655,54
319.498568509031,55
319.498568509031,56
319.57030685369,57
319.58030685369,58
319.58030685369,59
319.58030685369,60
319.58030685369,61
319.58030685369,62
319.58030685369,63
319.58030685369,64
319.58030685369,65
319.58030685369,66
319.58030685369,67
319.649804830298,68
319.652385495572,69
319.654898909738,70
319.656039323904,71
319.65653673807,72
319.65653673807,73
319.729271266905,74
319.739271266905,75
319.739271266905,76
319.739271266905,77
319.739271266905,78
319.739271266905,79
319.739271266905,80
319.739271266905,81
319.739271266905,82
319.739271266905,83
319.739271266905,84
319.739271266905,85
319.808024566708,86
319.80917400654,87
319.811698110248,88
319.81220455008,89
319.81220455008,90
319.892369122691,91
319.902369122691,92
319.902369122691,93
319.902369122691,94
319.902369122691,95
319.902369122691,96
319.902369122691,97
319.902369122691,98
319.902369122691,99
319.902369122691,100
319.902369122691,101
319.902369122691,102
319.902369122691,103
319.971550372323,104
319.971550372323,105
319.972663825011,106
319.973669277699,107
320.044295302988,108
320.054295302988,109
320.054295302988,110
320.054295302988,111
320.054295302988,112
320.054295302988,113
320.054295302988,114
320.054295302988,115
320.054295302988,116
320.054295302988,117
320.054295302988,118
320.054295302988,119
320.054295302988,120
320.054295302988,121
320.054295302988,122
320.123713641489,123
320.124863120069,124
320.194394416569,125
320.204394416569,126
320.204394416569,127
320.204394416569,128
320.204394416569,129
320.204394416569,130
320.204394416569,131
320.204394416569,132
320.204394416569,133
320.204394416569,134
320.204394416569,135
320.204394416569,136
320.204394416569,137
320.204394416569,138
320.204394416569,139
320.273147774509,140
320.274279266047,141
320.344616591006,142
320.354616591006,143
320.354616591006,144
320.354616591006,145
320.354616591006,146
320.354616591006,147
320.354616591006,148
320.354616591006,149
320.354616591006,150
320.354616591006,151
320.354616591006,152
320.354616591006,153
320.354616591006,154
320.354616591006,155
320.354616591006,156
320.424340968455,157
320.425722472971,158
320.495282409329,159
320.505282409329,160
320.505282409329,161
320.505282409329,162
320.505282409329,163
320.505282409329,164
320.505282409329,165
320.505282409329,166
320.505282409329,167
320.505282409329,168
320.505282409329,169
320.505282409329,170
320.505282409329,171
320.505282409329,172
320.505282409329,173
320.574559628037,174
320.575547158679,175
320.64638510964,176
320.65638510964,177
320.65638510964,178
320.65638510964,179
320.65638510964,180
320.65638510964,181
320.65638510964,182
320.65638510964,183
320.65638510964,184
320.65638510964,185
320.65638510964,186
320.65638510964,187
320.65638510964,188
320.65638510964,189
320.65638510964,190
320.725138526393,191
320.726914083323,192
320.797224536523,193
320.807224536523,194
320.807224536523,195
320.807224536523,196
320.807224536523,197
320.807224536523,198
320.807224536523,199
320.807224536523,200
320.807224536523,201
320.807224536523,202
320.807224536523,203
320.807224536523,204
320.807224536523,205
320.807224536523,206
320.807224536523,207
320.877907037901,208
320.878431608007,209
320.950167247532,210
320.960167247532,211
320.960167247532,212
320.960167247532,213
320.960167247532,214
320.960167247532,215
320.960167247532,216
320.960167247532,217
320.960167247532,218
320.960167247532,219
320.960167247532,220
320.960167247532,221
320.960167247532,222
320.960167247532,223
320.960167247532,224
321.028920703821,225
321.029494867457,226
321.099783545079,227
321.109783545079,228
321.109783545079,229
321.109783545079,230
321.109783545079,231
321.109783545079,232
321.109783545079,233
321.109783545079,234
321.109783545079,235
321.109783545079,236
321.109783545079,237
321.109783545079,238
321.109783545079,239
321.109783545079,240
321.109783545079,241
321.178537021217,242
321.180153630953,243
321.250384281502,244
321.260384281502,245
321.260384281502,246
321.260384281502,247
321.260384281502,248
321.260384281502,249
321.260384281502,250
321.260384281502,251
321.260384281502,252
321.260384281502,253
321.260384281502,254
321.260384281502,255
321.260384281502,256
321.260384281502,257
321.260384281502,258
321.329137777584,259
321.332251050236,260
321.402043244383,261
321.412043244383,262
321.412043244383,263
321.412043244383,264
321.412043244383,265
321.412043244383,266
321.412043244383,267
321.412043244383,268
321.412043244383,269
321.412043244383,270
321.412043244383,271
321.412043244383,272
321.412043244383,273
321.412043244383,274
321.412043244383,275
321.48083241546,276
321.481937065128,277
321.552449835435,278
321.562449835435,279
321.562449835435,280
321.562449835435,281
321.562449835435,282
321.562449835435,283
321.562449835435,284
321.562449835435,285
321.562449835435,286
321.562449835435,287
321.562449835435,288
321.562449835435,289
321.562449835435,290
321.562449835435,291
321.562449835435,292
321.631203371588,293
321.63168603463,294
321.701888167963,295
321.711888167963,296
321.711888167963,297
321.711888167963,298
321.711888167963,299
321.711888167963,300
321.711888167963,301
321.711888167963,302
321.711888167963,303
321.711888167963,304
321.711888167963,305
321.711888167963,306
321.711888167963,307
321.711888167963,308
321.711888167963,309
321.781421823647,310
321.782443513545,311
321.853756632613,312
321.863756632613,313
321.863756632613,314
321.863756632613,315
321.863756632613,316
321.863756632613,317
321.863756632613,318
321.863756632613,319
321.863756632613,320
321.863756632613,321
321.863756632613,322
321.863756632613,323
321.863756632613,324
321.863756632613,325
321.863756632613,326
321.9326613609,327
321.933636305267,328
322.005739753687,329
322.015739753687,330
322.015739753687,331
322.015739753687,332
322.015739753687,333
322.015739753687,334
322.015739753687,335
322.015739753687,336
322.015739753687,337
322.015739753687,338
322.015739753687,339
322.015739753687,340
322.015739753687,341
322.015739753687,342
322.015739753687,343
322.084833818075,344
322.087791406111,345
322.159614686723,346
322.169614686723,347
322.169614686723,348
322.169614686723,349
322.169614686723,350
322.169614686723,351
322.169614686723,352
322.169614686723,353
322.169614686723,354
322.169614686723,355
322.169614686723,356
322.169614686723,357
322.169614686723,358
322.169614686723,359
322.169614686723,360
322.240971087784,361
322.241405845034,362
322.31529246381,363
322.32529246381,364
322.32529246381,365
322.32529246381,366
322.32529246381,367
322.32529246381,368
322.32529246381,369
322.32529246381,370
322.32529246381,371
322.32529246381,372
322.32529246381,373
322.32529246381,374
322.32529246381,375
322.32529246381,376
322.32529246381,377
322.394046101036,378
322.39516887186,379
322.471383421726,380
322.481383421726,381
322.481383421726,382
322.481383421726,383
322.481383421726,384
322.481383421726,385
322.481383421726,386
322.481383421726,387
322.481383421726,388
322.481383421726,389
322.481383421726,390
322.481383421726,391
322.481383421726,392
322.481383421726,393
322.481383421726,394
322.550137079267,395
322.551340877181,396
322.621555832791,397
322.631555832791,398
322.631555832791,399
322.631555832791,400
322.631555832791,401
322.631555832791,402
322.631555832791,403
322.631555832791,404
322.631555832791,405
322.631555832791,406
322.631555832791,407
322.631555832791,408
322.631555832791,409
322.631555832791,410
322.631555832791,411
322.700309517535,412
322.701331329077,413
322.772636517785,414
