X,frankfurt_urban_multi_radio.MA[0].idLayer/sequenceUpdateDa:vector
0.1,0
33.074714598284,1
33.076980388316,2
33.082120178348,3
33.08357896838,4
33.084202363396,5
33.086498153428,6
33.108788158114,7
33.10988457742,8
33.110935996726,9
33.120538130379,10
33.127042650372,11
33.128888001456,12
33.133175480844,13
33.140678035659,14
45.74343370114,15
45.744680323377,16
45.747152563873,17
45.748316439284,18
45.750584611387,19
45.752958143843,20
45.754098552023,21
45.756539960203,22
45.759791528831,23
45.761326701257,24
45.764966562971,25
45.767015978261,26
45.767620386441,27
45.769973202801,28
74.55420152262,29
74.556030675958,30
74.557095241386,31
74.560525806814,32
74.56118439823,33
74.562628581062,34
74.563161172478,35
74.565958582186,36
74.567140147614,37
74.568303713042,38
74.571582304458,39
74.572186895874,40
74.619095048811,41
74.620210503727,42
93.01896990821,43
102.365183846769,44
102.371593585463,45
102.372091149695,46
102.374374278159,47
102.375784842391,48
102.379914099319,49
102.389592441427,50
102.392410134123,51
102.396190262587,52
102.396777826819,53
104.112979056015,54
104.115212960369,55
104.116314864723,56
104.116884769077,57
104.127993078787,58
104.167545002811,59
104.168672907165,60
104.170825715873,61
110.610147654208,62
110.611302020718,63
110.613434158964,64
110.615670876758,65
110.617046110334,66
110.620979427498,67
110.622801125618,68
110.62438478163,69
110.625868521858,70
110.626891853478,71
110.627906185098,72
110.628522918098,73
110.630731581338,74
110.631452912958,75
110.679448522102,76
110.680584888612,77
110.684254993033,78
110.685413324653,79
110.686769656273,80
135.851526583325,81
135.858572061629,82
135.861777800781,83
135.940473299456,84
135.941785050194,85
136.011604343031,86
136.013406867807,87
136.081693404081,88
136.085625166469,89
136.087607928857,90
136.153613708585,91
136.162060030801,92
136.162548804873,93
136.170501353017,94
136.248618669221,95
136.251505455009,96
136.252066240797,97
136.256670598161,98
136.317911997156,99
136.321386568732,100
136.324431366266,101
136.326516961334,102
136.331515035056,103
136.391901330964,104
136.394881926032,105
136.396410723566,106
136.3969085211,107
136.397532318634,108
136.403450925476,109
136.462934468193,110
136.467702658329,111
136.476333276945,112
136.477394086253,113
136.478979704869,114
136.483568942101,115
136.485451560717,116
136.547637819671,117
136.556985640771,118
136.581690282971,119
136.591900925171,120
136.597455567371,121
136.598803388471,122
136.625936054319,123
136.628072887243,124
136.632538553091,125
136.645430051863,126
136.652395467357,127
136.664383109557,128
136.669224757669,129
136.670775423517,130
136.770775423517,131
136.843593844255,132
136.844941700869,133
136.847862414097,134
136.848333270711,135
136.848867127325,136
136.849607983939,137
136.853784553781,138
136.856068267009,139
136.856665123623,140
153.269129432682,141
153.269999473232,142
153.271122513782,143
153.272213554332,144
153.276031424859,145
153.276581465409,146
153.278150546509,147
153.279416587059,148
153.280736627609,149
153.282053678304,150
178.415652536123,151
178.419560572429,152
178.421386152173,153
178.423178224785,154
178.429365555799,155
178.430488592105,156
178.431782637825,157
178.433143674131,158
178.435422710437,159
178.438870746743,160
178.439867783049,161
178.440864819355,162
178.441843855661,163
178.442975891967,164
179.817192645851,165
179.818796234389,166
179.821720719981,167
179.824943692975,168
179.863464392241,169
179.865679185887,170
179.866698347751,171
179.867177509615,172
179.868855833343,173
179.869991995207,174
179.874092318935,175
179.874787480799,176
179.883054064341,177
179.885391904961,178
179.894530503989,179
179.895540665853,180
204.391142559745,181
204.393484777459,182
204.394345995173,183
204.395477212887,184
204.396500430601,185
204.397622648315,186
204.398933446175,187
204.399510663889,188
204.401895927044,189
204.403004170742,190
204.406095526072,191
204.40720376977,192
204.408505978862,193
204.409790187954,194
231.245081960684,195
231.24660536166,196
231.252169248142,197
231.254098649118,198
231.255217050094,199
231.256335366912,200
231.257570852046,201
231.26075175827,202
231.264022206242,203
231.265141241752,204
232.735111385382,205
232.738120900998,206
232.739502999104,207
232.74072051472,208
232.744609902808,209
232.74573644497,210
232.747341550956,211
232.748956582188,212
232.750345115448,213
232.751433654704,214
262.087359052736,215
262.08833748088,216
262.088932909024,217
262.089875337168,218
262.090578765312,219
262.091048193456,220
262.092483049744,221
262.093033477888,222
262.094065906032,223
262.094553334176,224
262.095934190464,225
262.097011618608,226
262.098008046752,227
262.099094474896,228
272.205705635581,229
272.206454589165,230
272.208961789506,231
272.212064355696,232
272.214111020636,233
272.215328967572,234
272.217004715548,235
272.221321023524,236
272.221790977108,237
272.222323930692,238
272.22381383786,239
272.225285745028,240
272.225935698612,241
272.226468652196,242
273.36297477261,243
273.365016836114,244
273.36699287845,245
273.374833092605,246
273.375826120667,247
273.376435004845,248
273.379910089031,249
273.383264173217,250
273.383797201279,251
273.384294229341,252
273.385385257403,253
273.386134285465,254
273.386622313527,255
273.387722341589,256
299.767469042428,257
299.768492070272,258
299.770469060472,259
299.771831314914,260
299.773017121032,261
299.775633165392,262
299.77848037361,263
299.78019340427,264
299.782922432114,265
299.784017459958,266
299.786027515646,267
299.78665392525,268
299.788946613888,269
299.790262641732,270
400.89879720918,271
400.913763745317,272
400.915664562561,273
400.916252471183,274
400.947914549013,275
402.505259905608,276
414.448344884761,277
414.451323139014,278
414.455370413509,279
414.456976843913,280
414.459949308184,281
414.460951023386,282
414.461974729546,283
414.463857435706,284
414.464908141866,285
414.466030848026,286
414.466518554186,287
414.468187966506,288
414.469310672666,289
414.47046238723,290
