X,frankfurt_urban_multi_radio.MA[0].tcp/rcvd seq
30.236379254153,7.55025e+06
30.308034347466,7.55025e+06
30.308756147026,7.55025e+06
30.379971689546,7.55079e+06
30.380549489106,7.55132e+06
30.452652045268,7.55186e+06
30.453545872112,7.5524e+06
30.454637698956,7.55293e+06
30.4552155258,7.55347e+06
30.523723628731,7.554e+06
30.524337482893,7.55454e+06
30.525330337055,7.55508e+06
30.526386191217,7.55561e+06
30.527696899541,7.55615e+06
30.528806753703,7.55668e+06
30.531076462027,7.55722e+06
30.532060316189,7.55776e+06
30.595490080015,7.55829e+06
30.596982934177,7.55883e+06
30.598092788339,7.55936e+06
30.599223642501,7.5599e+06
30.599774496663,7.56044e+06
30.600397364532,7.56097e+06
30.601390246108,7.56151e+06
30.601905127684,7.56204e+06
30.60258200926,7.56258e+06
30.603276890836,7.56312e+06
30.604260772412,7.56365e+06
30.605253653988,7.56419e+06
30.605795535564,7.56472e+06
30.614574469748,7.56526e+06
30.667151690844,7.5658e+06
30.668189545006,7.56633e+06
30.674456515372,7.56687e+06
30.676126430702,7.5674e+06
30.679548312278,7.56794e+06
30.68153307543,7.56848e+06
30.682660957006,7.56901e+06
30.684249720158,7.56955e+06
30.685278601734,7.57008e+06
30.687075364886,7.57062e+06
30.687554246462,7.57116e+06
30.68980289119,7.57169e+06
30.690452772766,7.57223e+06
30.691916535918,7.57276e+06
30.739037329118,7.5733e+06
30.74016523817,7.57384e+06
30.745600153646,7.57437e+06
30.749114068976,7.57491e+06
30.75284888708,7.57544e+06
30.753895796132,7.57598e+06
30.755032705184,7.57652e+06
30.755547614236,7.57705e+06
30.75813143234,7.57759e+06
30.759927766312,7.57812e+06
30.760442675364,7.57866e+06
30.76188985487,7.5792e+06
30.763959582026,7.57973e+06
30.764537491078,7.58027e+06
30.810313356618,7.5808e+06
30.812122903952,7.58134e+06
30.816896819428,7.58188e+06
30.820275734758,7.58241e+06
30.824554552862,7.58295e+06
30.825502489454,7.58348e+06
30.826853280018,7.58402e+06
30.82747621661,7.58456e+06
30.830007089794,7.58509e+06
30.838026520652,7.58563e+06
30.840067457244,7.58616e+06
30.840645393836,7.5867e+06
30.84294726702,7.58724e+06
30.843561203612,7.58777e+06
30.88143903617,7.58831e+06
30.883383583504,7.58884e+06
30.88804949898,7.58938e+06
30.89148241431,7.58992e+06
30.895662232414,7.59045e+06
30.896817169006,7.59099e+06
30.898592896162,7.59152e+06
30.900094832754,7.59206e+06
30.901473783135,7.5926e+06
30.909859428705,7.59313e+06
30.911802913003,7.59367e+06
30.912981023769,7.5942e+06
30.914722896953,7.59474e+06
30.915210861123,7.59528e+06
30.953567729511,7.59581e+06
30.954623693681,7.59635e+06
30.959184192321,7.59688e+06
30.964047237323,7.59742e+06
30.966814925755,7.59796e+06
30.968838666699,7.59849e+06
30.970020630869,7.59903e+06
30.972725490265,7.59956e+06
30.973358454435,7.6001e+06
30.981075135835,7.60064e+06
30.983028429479,7.60117e+06
30.984214730899,7.60171e+06
30.987042568253,7.60224e+06
30.988107532423,7.60278e+06
31.027306450638,7.60332e+06
31.030730434966,7.60385e+06
31.03123642713,7.60439e+06
31.03599595845,7.60492e+06
31.038039646882,7.60546e+06
31.040108387826,7.606e+06
31.041308351996,7.60653e+06
31.044448175562,7.60707e+06
31.046111167726,7.6076e+06
31.052211919898,7.60814e+06
31.054244150606,7.60868e+06
31.055400150606,7.60921e+06
31.05811428938,7.60975e+06
31.05945825355,7.61028e+06
31.101969192147,7.61082e+06
31.103773212753,7.61136e+06
31.104865233359,7.61189e+06
31.108097707795,7.61243e+06
31.109354396227,7.61296e+06
31.112155437439,7.6135e+06
31.113175458045,7.61404e+06
31.116144924907,7.61457e+06
31.118400966119,7.61511e+06
31.289168924811,7.61562e+06
31.290605974073,7.61562e+06
31.291184023335,7.61616e+06
31.294499171121,7.61669e+06
31.295627220383,7.61723e+06
31.297164269645,7.61776e+06
31.298283318907,7.6183e+06
31.298771368169,7.61884e+06
31.299367417431,7.61937e+06
31.301770621401,7.61991e+06
31.302294698755,7.62044e+06
31.306122008171,7.62098e+06
31.307088085525,7.62152e+06
31.307810162879,7.62205e+06
31.309238317587,7.62259e+06
31.363018538368,7.62312e+06
31.363614615722,7.62366e+06
31.365768977389,7.6242e+06
31.367379054743,7.62473e+06
31.368784075913,7.62527e+06
31.370769230621,7.6258e+06
31.371311307975,7.62634e+06
31.374854694745,7.62688e+06
31.375910772099,7.62741e+06
31.383255849453,7.62795e+06
31.385323926807,7.62848e+06
31.386452004161,7.62902e+06
31.390487236223,7.62956e+06
31.391863313577,7.63009e+06
31.434713449712,7.63063e+06
31.435778554418,7.63116e+06
31.437583811379,7.6317e+06
31.443242141965,7.63224e+06
31.443937246671,7.63277e+06
31.445571456083,7.63331e+06
31.446492560789,7.63384e+06
31.449212979613,7.63438e+06
31.450215084319,7.63492e+06
31.454471683443,7.63545e+06
31.458290915505,7.63599e+06
31.459617020211,7.63652e+06
31.463939070213,7.63706e+06
31.466395174919,7.6376e+06
31.505938310909,7.63813e+06
31.507281415615,7.63867e+06
31.509623679151,7.6392e+06
31.515533212574,7.63974e+06
31.519959458577,7.64028e+06
31.521711722113,7.64081e+06
31.522289853881,7.64135e+06
31.524393117417,7.64188e+06
31.524989249185,7.64242e+06
31.527265644489,7.64296e+06
31.529605776702,7.64349e+06
31.530742881408,7.64403e+06
31.53541493141,7.64456e+06
31.538343140822,7.6451e+06
31.578488290343,7.64564e+06
31.581915422111,7.64617e+06
31.582628553879,7.64671e+06
31.586731087302,7.64724e+06
31.591916465073,7.64778e+06
31.593415728609,7.64832e+06
31.594678860377,7.64885e+06
31.596079123913,7.64939e+06
31.596810255681,7.64992e+06
31.598337519217,7.65046e+06
31.600794664846,7.651e+06
31.606720819554,7.65153e+06
31.607686978154,7.65207e+06
31.609595028966,7.6526e+06
31.649569178487,7.65314e+06
31.655688442023,7.65368e+06
31.659398759223,7.65421e+06
31.659958917823,7.65475e+06
31.663341235023,7.65528e+06
31.665670616753,7.65582e+06
31.667782933953,7.65636e+06
31.668523092553,7.65689e+06
31.669038251153,7.65743e+06
31.670598409753,7.65796e+06
31.673114885553,7.6585e+06
31.678723721114,7.65904e+06
31.679707879714,7.65957e+06
31.680954211976,7.66011e+06
31.720740093347,7.66064e+06
31.729415888339,7.66118e+06
31.731219832683,7.66172e+06
31.733473991283,7.66225e+06
31.734674149883,7.66279e+06
31.752011690213,7.66332e+06
31.753112875413,7.66386e+06
31.753592060613,7.6644e+06
31.754116245813,7.66493e+06
31.754640431013,7.66547e+06
31.770832171813,7.666e+06
31.775635357013,7.66654e+06
31.776321542213,7.66708e+06
31.779062912613,7.66761e+06
31.792843178173,7.66815e+06
31.800739829689,7.66868e+06
31.802408774033,7.66922e+06
31.804563932633,7.66976e+06
31.806336144213,7.67029e+06
31.823207054407,7.67083e+06
31.826775265987,7.67136e+06
31.827407477567,7.6719e+06
31.828925900727,7.67244e+06
31.829955112307,7.67297e+06
31.842021113163,7.67351e+06
31.847447483563,7.67404e+06
31.850093906723,7.67458e+06
31.852611906723,7.67512e+06
31.865299304723,7.67565e+06
31.871991784229,7.67619e+06
31.873561728573,7.67672e+06
31.876288887173,7.67726e+06
31.881281098753,7.6778e+06
31.897785008947,7.67833e+06
31.901548445176,7.67887e+06
31.903247682894,7.6794e+06
31.904267920612,7.67994e+06
31.90523915833,7.68048e+06
32.076007331374,7.68099e+06
32.076729594988,7.68099e+06
32.077343858602,7.68152e+06
32.07880838583,7.68206e+06
32.079810649444,7.6826e+06
32.080911913058,7.68313e+06
32.083111176672,7.68367e+06
32.0849977039,7.6842e+06
32.086098967514,7.68474e+06
32.090812231128,7.68528e+06
32.091841494742,7.68581e+06
32.092419758356,7.68635e+06
32.094180285584,7.68688e+06
32.094902549198,7.68742e+06
32.09852234004,7.68796e+06
32.152153878001,7.68849e+06
32.156423745793,7.68903e+06
32.159721035057,7.68956e+06
32.160209324321,7.6901e+06
32.162618613585,7.69064e+06
32.164064902849,7.69117e+06
32.164598192113,7.69171e+06
32.165239481377,7.69224e+06
32.165745770641,7.69278e+06
32.166216059905,7.69332e+06
32.167525832211,7.69385e+06
32.173399635878,7.69439e+06
32.17571250367,7.69492e+06
32.17870694999,7.69546e+06
32.225544501453,7.696e+06
32.227549790717,7.69653e+06
32.240316877135,7.69707e+06
32.241639284362,7.6976e+06
32.242199599026,7.69814e+06
32.24272391369,7.69868e+06
32.244487228354,7.69921e+06
32.245426543018,7.69975e+06
32.246554857682,7.70028e+06
32.251265431002,7.70082e+06
32.251852745666,7.70136e+06
32.254860689658,7.70189e+06
32.255367004322,7.70243e+06
32.25702863365,7.70296e+06
32.296805559077,7.7035e+06
32.299676425366,7.70404e+06
32.31214419561,7.70457e+06
32.31468298389,7.70511e+06
32.315874323706,7.70564e+06
32.318067003338,7.70618e+06
32.31966568297,7.70672e+06
32.320334022786,7.70725e+06
32.321712186538,7.70779e+06
32.32448613053,7.70832e+06
32.33410470385,7.70886e+06
32.336206018514,7.7094e+06
32.341133037962,7.70993e+06
32.342243377778,7.71047e+06
32.367958629277,7.711e+06
32.373884508142,7.71154e+06
32.383360278386,7.71208e+06
32.385845066666,7.71261e+06
32.388395406482,7.71315e+06
32.39016642593,7.71368e+06
32.396200785194,7.71422e+06
32.39678812501,7.71476e+06
32.40091450917,7.71529e+06
32.401384873882,7.71583e+06
32.405284799074,7.71636e+06
32.408703453554,7.7169e+06
32.412421133186,7.71744e+06
32.421857473002,7.71797e+06
32.442301724501,7.71851e+06
32.445235603366,7.71904e+06
32.45462137361,7.71958e+06
32.45838416189,7.72012e+06
32.461976521154,7.72065e+06
32.466207540602,7.72119e+06
32.48189499945,7.72172e+06
32.482969364162,7.72226e+06
32.484052728874,7.7228e+06
32.485172093586,7.72333e+06
32.485651458298,7.72387e+06
32.487610187722,7.7244e+06
32.488107552434,7.72494e+06
32.494130580674,7.72548e+06
32.514322844495,7.72601e+06
32.517297233851,7.72655e+06
32.525963493604,7.72708e+06
32.533023281884,7.72762e+06
32.53485167124,7.72816e+06
32.54744939002,7.72869e+06
32.555333119444,7.72923e+06
32.5572305088,7.72976e+06
32.560740676868,7.7303e+06
32.56443145558,7.73084e+06
32.566226844936,7.73137e+06
32.567202234292,7.73191e+06
32.568366623648,7.73244e+06
32.569426013004,7.73298e+06
32.593448366167,7.73352e+06
32.595480755523,7.73405e+06
32.59764262592,7.73459e+06
32.606427815749,7.73512e+06
32.610104205105,7.73566e+06
32.619543534529,7.7362e+06
32.626432263953,7.73673e+06
32.630734677695,7.73727e+06
32.633903210733,7.7378e+06
32.635557600089,7.73834e+06
32.637334989445,7.73888e+06
32.641477403187,7.73941e+06
32.642461816929,7.73995e+06
32.645432644413,7.74048e+06
32.665415153011,7.74102e+06
32.668342900032,7.74156e+06
32.670192313774,7.74209e+06
32.678431972451,7.74263e+06
32.681928361807,7.74316e+06
32.690723691231,7.7437e+06
32.697765420655,7.74424e+06
32.702432846461,7.74477e+06
32.705038379499,7.74531e+06
32.706742096852,7.74584e+06
32.87839546802,7.74636e+06
32.881285929758,7.74636e+06
32.892557853234,7.74689e+06
32.89505777671,7.74743e+06
32.895600238448,7.74796e+06
32.896223700186,7.7485e+06
32.896739161924,7.74904e+06
32.8986890854,7.74957e+06
32.907823529629,7.75011e+06
32.909348014973,7.75064e+06
32.910305500317,7.75118e+06
32.912057471005,7.75172e+06
32.913194956349,7.75225e+06
32.914179441693,7.75279e+06
32.916347927037,7.75332e+06
32.954706146259,7.75386e+06
32.986913684301,7.75493e+06
32.989310654989,7.75547e+06
32.991977140333,7.756e+06
32.995380111021,7.75654e+06
32.999023081709,7.75708e+06
32.999664567053,7.75761e+06
33.000171064068,7.75815e+06
33.009192098812,7.75868e+06
33.011124116184,7.75922e+06
33.01185562487,7.75976e+06
33.012335133556,7.76029e+06
33.013066642242,7.76083e+06
33.026548386234,7.76136e+06
33.063735865652,7.7544e+06
33.139692128873,7.7619e+06
33.141356660709,7.76244e+06
33.143398192545,7.76297e+06
33.144490724381,7.76351e+06
33.147987319889,7.76404e+06
33.149088851725,7.76458e+06
33.150001383561,7.76512e+06
33.214912415132,7.76565e+06
33.218931079418,7.76619e+06
33.22902563418,7.76672e+06
33.230957743704,7.76726e+06
33.232077298466,7.7678e+06
33.233142853228,7.76833e+06
33.238624517514,7.76887e+06
33.292342822378,7.7694e+06
33.293932931902,7.76994e+06
33.296581486664,7.77048e+06
33.300748497992,7.77101e+06
33.304381607516,7.77155e+06
33.30672071704,7.77208e+06
33.309674871876,7.77262e+06
33.31651335956,7.77316e+06
33.36405668619,7.77369e+06
33.365589240952,7.77423e+06
33.36666381837,7.77476e+06
33.370912795714,7.7753e+06
33.37256281837,7.77584e+06
33.376262125878,7.77637e+06
33.378054037418,7.77691e+06
33.394264227704,7.77744e+06
33.395392805122,7.77798e+06
33.44602814994,7.77852e+06
33.448544457448,7.77905e+06
33.45029905725,7.77959e+06
33.452845256854,7.78012e+06
33.453504856656,7.78066e+06
33.454065456458,7.7812e+06
33.46001805626,7.78173e+06
33.461833255864,7.78227e+06
33.468198136692,7.7828e+06
33.468767736494,7.78334e+06
33.518193503757,7.78388e+06
33.524290055089,7.78441e+06
33.548692090311,7.78495e+06
33.551626378773,7.78548e+06
33.552530000685,7.78602e+06
33.557836244509,7.78656e+06
33.558567866421,7.78709e+06
33.561254110245,7.78763e+06
33.561949732157,7.78816e+06
33.563851975981,7.7887e+06
33.569783219805,7.78924e+06
33.613915538249,7.78977e+06
33.619159825749,7.79031e+06
33.620885466102,7.79084e+06
33.622698754564,7.79138e+06
33.624435398314,7.79192e+06
33.632443242212,7.79245e+06
33.635618885962,7.79299e+06
33.640718173462,7.79352e+06
33.641242817212,7.79406e+06
33.641857460962,7.7946e+06
33.642571104712,7.79513e+06
33.644199748462,7.79567e+06
33.688590568709,7.7962e+06
33.690903212459,7.79674e+06
33.693101856209,7.79728e+06
33.694819141274,7.79781e+06
33.695750785024,7.79835e+06
33.705674639703,7.79888e+06
33.707440927203,7.79942e+06
33.719313145953,7.79996e+06
33.720543811265,7.80049e+06
33.722314141889,7.80103e+06
33.722901807201,7.80156e+06
33.724901472513,7.8021e+06
33.725399137825,7.80264e+06
33.7621509662,7.80317e+06
33.768079296824,7.80371e+06
33.770647627448,7.80424e+06
33.77168629276,7.80478e+06
33.772976958072,7.80532e+06
33.777008047975,7.80585e+06
33.780789335475,7.80639e+06
33.82270955674,7.80692e+06
33.823288243338,7.80746e+06
33.825248929936,7.808e+06
33.825737616534,7.80853e+06
33.82816598973,7.80907e+06
33.829405676328,7.8096e+06
33.832215049524,7.81014e+06
33.837541050427,7.81068e+06
33.843090796818,7.81121e+06
34.015046424222,7.81172e+06
34.016682152562,7.81172e+06
34.017756880902,7.81226e+06
34.018380609242,7.8128e+06
34.018851337582,7.81333e+06
34.019367065922,7.81387e+06
34.021139794262,7.8144e+06
34.026725435962,7.81494e+06
34.030515892642,7.81548e+06
34.045511349322,7.81601e+06
34.046478077662,7.81655e+06
34.047119806002,7.81708e+06
34.059894719362,7.81816e+06
34.060891447702,7.81869e+06
34.091397537222,7.81923e+06
34.093760265562,7.81976e+06
34.094293993902,7.8203e+06
34.097289450582,7.82084e+06
34.100317189149,7.82137e+06
34.100841937943,7.82191e+06
34.102729435531,7.82244e+06
34.107336102509,7.82298e+06
34.135665533911,7.82405e+06
34.139449031499,7.82459e+06
34.164098018749,7.81762e+06
34.235386520592,7.82512e+06
34.236299289564,7.82566e+06
34.24018859648,7.8262e+06
34.241828365452,7.82673e+06
34.330182425276,7.82727e+06
34.401461966913,7.82754e+06
34.476437518359,7.82807e+06
34.549891079473,7.82861e+06
34.622012659783,7.82914e+06
34.695899745621,7.82968e+06
35.236218613741,7.82352e+06
35.307827320507,7.82995e+06
35.313899209875,7.83048e+06
35.319371126901,7.83102e+06
35.322753071585,7.83156e+06
35.325733043927,7.83209e+06
35.326892016269,7.83263e+06
35.403775657131,7.83316e+06
35.408299635387,7.8337e+06
35.409819624515,7.83424e+06
35.410515613643,7.83477e+06
35.432357591899,7.83584e+06
35.484086378347,7.83692e+06
35.484557367475,7.83745e+06
35.490745323987,7.83799e+06
35.561872075197,7.83531e+06
35.563979189453,7.83906e+06
36.634932902621,7.83638e+06
36.705777472503,7.83852e+06
36.708169364223,7.83906e+06
36.782962722605,7.8396e+06
36.783947168465,7.84013e+06
36.788050506045,7.84067e+06
36.856093796563,7.84115e+06
36.857865229259,7.84169e+06
36.859311688283,7.84222e+06
36.928069965643,7.84276e+06
36.928576385187,7.84329e+06
36.931911224275,7.84383e+06
36.932408643819,7.84437e+06
37.008827799767,7.8449e+06
37.012624638855,7.84544e+06
37.014620464831,7.84597e+06
37.015108871263,7.84651e+06
37.016627684127,7.84705e+06
37.080007949159,7.84758e+06
37.106509014096,7.84812e+06
37.10855040741,7.84865e+06
37.110312194038,7.84919e+06
37.110863587352,7.84973e+06
37.11325537398,7.85026e+06
37.151134091992,7.8508e+06
37.18552615037,7.85133e+06
37.194894330312,7.85187e+06
37.20028950371,7.85241e+06
37.209868264162,7.85294e+06
37.212362024614,7.85348e+06
37.22065040484,7.85401e+06
37.224317221722,7.85455e+06
37.259398066728,7.85509e+06
37.26949024667,7.85562e+06
37.272703626896,7.85616e+06
37.283065767574,7.85669e+06
37.2858201478,7.85723e+06
37.293683908252,7.85777e+06
37.298134668704,7.8583e+06
37.29925704893,7.85884e+06
37.331256033364,7.85937e+06
37.340571363348,7.85991e+06
37.344850633882,7.86045e+06
37.355069884252,7.86098e+06
37.357666251462,7.86152e+06
37.36530002493,7.86205e+06
37.370599165608,7.86259e+06
37.372593900028,7.86313e+06
37.373217267238,7.86366e+06
37.403493137023,7.8642e+06
37.412502467007,7.86473e+06
37.418400737541,7.86527e+06
37.430227355121,7.86581e+06
37.430769709309,7.86634e+06
37.437114128589,7.86688e+06
37.449124669254,7.86741e+06
37.449829023442,7.86795e+06
37.452009731818,7.86849e+06
37.457378440194,7.86902e+06
37.476859234171,7.86956e+06
37.486911918343,7.87009e+06
37.491986834689,7.87063e+06
37.50186879995,7.87117e+06
37.503060141124,7.8717e+06
37.512059482298,7.87224e+06
37.520919114083,7.87277e+06
37.524107796431,7.87331e+06
