X,frankfurt_urban_multi_radio.MA[0].idLayer/sequenceUpdateCa:vector
35.319353058731,1
43.975827907119,2
64.793929549073,3
92.785543640042,4
101.780798607503,5
103.708798185227,6
109.680176075967,7
129.398716762234,8
130.964648552744,9
145.314099949054,10
183.293675655049,11
184.984101036341,12
202.210408296578,13
224.132858833104,14
226.12233166876,15
264.292085280675,16
266.624457643094,17
267.868420788276,18
301.575874299271,19
393.118119851886,20
394.755521922186,21
410.145456170125,22
