X,frankfurt_urban_multi_radio.MA[0].tcpApp[0]/endToEndDelay:vector
31.121622994326,0.886147
31.890139533602,0.668517
32.693481487773,0.703342
33.501530888536,0.708049
34.538022566535,0.936492
40.767809478101,6.12979
41.539167945309,0.671358
42.314784692738,0.675617
43.076517727777,0.661733
43.834589505163,0.658072
44.591733402303,0.657144
45.34793738899,0.656204
46.108278011473,0.660341
46.863050613584,0.654773
47.61930860174,0.656258
48.374977775687,0.655669
49.128806092823,0.653828
49.883913976982,0.655108
50.640631474203,0.656717
51.39668954954,0.656058
52.152548599029,0.655859
52.908513191725,0.655965
53.665012863056,0.6565
54.419634041454,0.654621
55.175513301845,0.655879
55.929151406679,0.653638
56.684184517391,0.655033
57.437519231904,0.653335
58.191577188754,0.654058
58.944003676979,0.652426
59.698368142251,0.654364
60.456409082324,0.658041
61.21155558227,0.655146
61.966333891126,0.654778
62.719938365969,0.653604
63.47272830351,0.65279
64.229131733901,0.656403
64.980532354372,0.651401
65.735036965376,0.654505
66.48970103651,0.654664
67.24464462428,0.654944
67.997213901296,0.652569
68.751012370557,0.653798
69.504456118588,0.653444
70.262160655578,0.657705
71.017437698402,0.655277
71.771489404744,0.654052
72.530371835685,0.658882
73.286574820454,0.656203
74.044719542037,0.658145
74.805081366733,0.660362
75.56404775116,0.658966
76.342886811173,0.678839
77.110879368534,0.667993
77.892906538627,0.682027
78.678151236547,0.685245
79.443686815318,0.665536
80.200239546593,0.656553
80.956468005747,0.656228
81.711015290899,0.654547
82.465143651627,0.654128
83.219234021462,0.65409
83.972944376242,0.65371
84.728869648277,0.655925
85.487653301433,0.658784
86.242179912641,0.654527
86.998505908886,0.656326
87.750838290526,0.652332
88.506674326665,0.655836
89.260968769307,0.654294
90.013907680657,0.652939
90.769267914881,0.65536
91.528111876014,0.658844
92.284493257268,0.656381
93.039250272885,0.654757
93.793760022519,0.65451
94.5500280847,0.656268
95.308636432076,0.658608
96.068915402862,0.660279
96.827308183289,0.658393
97.585675646944,0.658367
98.354581800036,0.668906
99.120933005343,0.666351
99.897319502101,0.676386
100.747050642637,0.749731
101.736709280172,0.889659
102.595631074247,0.758922
103.854378903158,1.15875
105.853945733764,1.89957
106.613310076542,0.659364
107.373600648029,0.660291
108.119233375053,0.645633
108.861930568453,0.642697
109.599517426148,0.637587
110.338832687293,0.639315
111.073817990075,0.634985
111.812136697391,0.638319
112.549074546758,0.636938
113.289786626677,0.640712
114.026840328978,0.637054
114.764727850244,0.637888
115.500988902145,0.636261
116.237152403256,0.636164
116.974516424857,0.637364
117.714660769308,0.640144
118.452963010708,0.638302
119.190460809437,0.637498
119.92896897813,0.638508
120.662841209476,0.633872
121.399216337775,0.636375
122.137233060451,0.638017
122.874662897821,0.63743
123.612909688261,0.638247
124.356559064399,0.643649
125.097985303324,0.641426
125.848251216957,0.650266
126.593377733093,0.645127
127.336712425016,0.643335
128.079502148715,0.64279
128.822160062021,0.642658
129.568971227111,0.646811
130.314440584516,0.645469
131.080330826181,0.66589
131.8441121755,0.663781
132.621472772047,0.677361
133.641696400935,0.920224
134.881498655974,1.1398
137.074713089262,2.09321
143.426225934584,6.25151
144.191565550474,0.66534
144.954380260381,0.662815
145.70296196309,0.648582
146.467320866353,0.664359
147.2134495181,0.646129
147.957130490336,0.643681
148.699235120244,0.642105
149.439793028267,0.640558
150.181273103462,0.64148
150.916220841531,0.634948
151.657353922269,0.641133
152.396731903327,0.639378
153.131753851815,0.635022
153.866544376431,0.634791
154.602351819691,0.635807
155.339621019109,0.637269
156.076382568559,0.636762
156.814530620615,0.638148
157.550978085378,0.636447
158.288814220631,0.637836
159.028212013447,0.639398
159.764964126631,0.636752
160.501859755984,0.636896
161.236848450762,0.634989
161.97535086106,0.638502
162.712342365795,0.636992
163.447860114699,0.635518
164.185218625038,0.637359
164.920285645874,0.635067
165.659527292295,0.639242
166.395044876742,0.635518
167.134371632093,0.639327
167.871044493993,0.636673
168.611370256451,0.640326
169.349388328308,0.638018
170.090492779017,0.641104
170.827665134977,0.637172
171.567022501059,0.639357
172.308777294786,0.641755
173.04994307746,0.641166
173.795731187588,0.645788
174.540100296305,0.644369
175.28419343049,0.644093
176.028566751061,0.644373
176.77693531307,0.648369
177.529339861361,0.652405
178.280488531236,0.651149
179.030788877775,0.6503
179.780784918309,0.649996
180.532699121225,0.651914
181.298044737753,0.665346
182.09399048198,0.695946
182.886097487467,0.692107
184.09259261586,1.1065
185.268836878379,1.07624
187.450300436324,2.08146
189.230752128961,1.68045
190.044694944796,0.713943
190.839488518615,0.694794
191.620944513809,0.681456
192.388791349235,0.667847
193.15469833555,0.665907
193.913174472801,0.658476
194.673297288226,0.660123
195.433992752808,0.660695
196.185842652238,0.65185
196.937675231863,0.651833
197.682755502365,0.64508
198.431878237811,0.649123
199.17507603108,0.643198
199.917291102586,0.642215
200.657041746423,0.639751
201.397027003172,0.639985
202.138733863665,0.641707
202.874223984017,0.63549
203.612740064378,0.638516
204.355764870305,0.643025
205.096740284764,0.640975
205.834177644328,0.637437
206.57518639271,0.641009
207.312036602577,0.63685
208.050188447868,0.638152
208.787070395854,0.636882
209.5247749344,0.637705
210.264466186089,0.639691
210.999979021736,0.635513
211.740059865249,0.640081
212.479583627774,0.639524
213.2157287238,0.636145
213.959321209633,0.643592
214.695662437496,0.636341
215.430354946882,0.634693
216.167922714821,0.637568
216.9026658825,0.634743
217.637345914434,0.63468
218.373540123519,0.636194
219.108435172627,0.634895
219.844516261472,0.636081
220.585874328515,0.641358
221.323277417511,0.637403
222.06041029488,0.637133
222.797848438726,0.637438
223.533046221303,0.635198
224.271649020847,0.638603
225.007414143062,0.635765
225.744039654734,0.636626
226.480980526579,0.636941
227.219245222636,0.638265
227.958863646463,0.639618
228.694761857413,0.635898
229.432078943813,0.637317
230.171374184812,0.639295
230.908741347959,0.637367
231.650347877277,0.641607
232.38959400097,0.639246
233.131132657604,0.641539
233.873260589394,0.642128
234.616528647825,0.643268
235.36052720293,0.643999
236.112942587541,0.652415
236.85526722959,0.642325
237.614534638922,0.659267
238.367746185806,0.653212
239.124795580683,0.657049
239.883557609276,0.658762
240.657139376712,0.673582
241.433398976931,0.67626
242.187111456072,0.653712
242.941436348094,0.654325
243.700062198731,0.658626
244.447813179551,0.647751
245.195949882278,0.648137
245.948521936051,0.652572
246.689330945487,0.640809
247.435290117314,0.645959
248.177338641186,0.642049
248.916602111417,0.639263
249.656278256252,0.639676
250.398011091816,0.641733
251.137918934311,0.639908
251.879471459089,0.641553
252.618972802891,0.639501
253.360456089013,0.641483
254.100640264985,0.640184
254.838162985277,0.637523
255.576698216259,0.638535
256.320213304636,0.643515
257.061262367342,0.641049
257.800357991105,0.639096
258.543904432696,0.643546
259.284865599174,0.640961
260.024740086032,0.639874
260.764824496869,0.640084
261.501712189922,0.636888
262.238049451348,0.636337
262.977499121621,0.63945
263.71887050166,0.641371
264.458006878345,0.639136
265.196629761392,0.638623
265.937784093933,0.641154
266.686644582653,0.64886
267.434060997843,0.647416
268.180556975613,0.646496
268.923034106387,0.642477
269.664076514849,0.641042
270.413253786471,0.649177
271.158675769387,0.645422
271.910767448287,0.652092
272.667731529118,0.656964
273.426198205038,0.658467
274.177405789524,0.651208
274.936749848512,0.659344
275.699570955849,0.662821
276.466724758473,0.667154
277.22412785367,0.657403
278.017929874971,0.693802
278.799239432336,0.68131
279.581959524866,0.68272
280.340640291731,0.658681
281.096983481293,0.656343
281.859282308544,0.662299
282.619570709077,0.660288
283.408735183876,0.689164
284.170325547776,0.66159
284.917758713903,0.647433
285.671339425371,0.653581
286.427028562311,0.655689
287.171496689889,0.644468
287.916490878644,0.644994
288.659858568659,0.643368
289.401734377602,0.641876
290.145328792597,0.643594
290.884464154468,0.639135
291.632386709307,0.647923
292.371193427411,0.638807
293.109229895057,0.638036
293.845647464928,0.636418
294.587418744796,0.641771
295.326778872396,0.63936
296.064817285998,0.638038
296.802137793747,0.637321
297.538471465677,0.636334
298.276518027956,0.638047
299.012409917665,0.635892
299.750485237388,0.638075
300.487590836626,0.637106
301.221262971563,0.633672
301.958571835847,0.637309
302.69512708627,0.636555
303.431198568061,0.636071
304.169652263116,0.638454
304.905461501373,0.635809
305.641544277211,0.636083
306.381921488674,0.640377
307.11842290697,0.636501
307.859780580779,0.641358
308.597664674546,0.637884
309.336170264887,0.638506
310.075303825618,0.639134
310.813353932218,0.63805
311.551883014934,0.638529
312.290304873496,0.638422
313.026409231836,0.636104
313.76291087571,0.636502
314.503838742763,0.640928
315.24042200951,0.636583
315.978230986904,0.637809
316.719528698895,0.641298
317.45743104318,0.637902
318.194021871298,0.636591
318.932850924527,0.638829
319.675232953566,0.642382
320.414370384327,0.639137
321.152829127152,0.638459
321.893934132769,0.641105
322.636892717277,0.642959
323.378515243495,0.641623
324.118344053568,0.639829
324.854910413359,0.636566
325.596137887154,0.641227
326.33570757011,0.63957
327.076045121005,0.640338
327.814174486665,0.638129
328.554708994044,0.640535
329.30096393782,0.646255
330.04396658503,0.643003
330.782525474883,0.638559
331.526659927953,0.644134
332.269848122401,0.643188
333.0133878036,0.64354
333.756148442764,0.642761
334.502327677445,0.646179
335.243371350651,0.641044
335.988390265777,0.645019
336.732467728087,0.644077
337.475864731614,0.643397
338.217279768807,0.641415
338.959124621241,0.641845
339.70131662264,0.642192
340.439399719954,0.638083
341.181944009278,0.642544
341.923957151586,0.642013
342.671036871534,0.64708
343.41466039914,0.643624
344.157754400888,0.643094
344.905414094334,0.64766
345.645210270948,0.639796
346.385810701352,0.6406
347.125847131756,0.640036
347.868579005196,0.642732
348.610646532158,0.642068
349.352639748234,0.641993
350.095299913229,0.64266
350.834845990193,0.639546
351.578579526965,0.643734
352.317729697403,0.63915
353.055969437455,0.63824
353.802640901242,0.646671
354.544417813388,0.641777
355.289468799478,0.645051
356.030834830566,0.641366
356.770960389653,0.640126
357.512792523322,0.641832
358.253877681744,0.641085
358.995553459346,0.641676
359.736388451276,0.640835
360.476214953458,0.639827
361.224120026846,0.647905
361.972385968756,0.648266
362.713380077407,0.640994
363.458073059762,0.644693
364.200887946125,0.642815
364.945430232111,0.644542
365.686724622112,0.641294
366.42800979255,0.641285
367.168111002146,0.640101
367.906373033234,0.638262
368.646795025164,0.640422
369.389479624258,0.642685
370.12949640186,0.640017
370.872108213552,0.642612
371.6139752153,0.641867
372.360800374978,0.646825
373.099318025427,0.638518
373.844252964977,0.644935
374.585883582549,0.641631
375.328398930929,0.642515
376.074790218645,0.646391
376.817745817739,0.642956
377.561481576844,0.643736
378.30310392579,0.641622
379.043629310556,0.640525
379.790249695321,0.64662
380.533409276724,0.64316
381.275186069783,0.641777
382.020508042207,0.645322
382.770912260614,0.650404
383.515013856059,0.644102
384.258187263059,0.643173
384.997842025298,0.639655
385.738190353593,0.640348
386.484061209832,0.645871
387.230751522438,0.64669
387.978869215704,0.648118
388.728503650827,0.649634
389.482603344975,0.6541
390.232770502117,0.650167
390.99446407888,0.661694
391.751587223752,0.657123
392.506337887056,0.654751
393.274737047726,0.668399
394.064761463438,0.690024
394.850358867921,0.685597
395.653038227662,0.702679
396.673752387945,0.920714
398.233332028565,1.45958
399.224519046586,0.891187
403.421761988134,4.09724
405.972462911008,2.4507
407.112807830252,1.04034
407.925524756345,0.712717
408.686116826397,0.660592
409.454657478508,0.668541
410.221531968444,0.666874
410.974402423921,0.65287
411.72954272472,0.65514
412.477991184107,0.648448
413.225525482864,0.647534
413.971100929996,0.645575
414.711592270562,0.640491
415.456614759924,0.645022
416.200370697769,0.643756
416.939853141413,0.639482
417.679936814822,0.640084
418.421726626666,0.64179
419.163038819944,0.641312
419.90298941703,0.639951
420.640631176853,0.637642
421.376885401275,0.636254
422.114372453883,0.637487
422.852295665383,0.637923
423.588464360522,0.636169
424.325632434543,0.637168
425.06628584528,0.640653
425.802204873345,0.635919
426.538440518744,0.636236
427.276201826555,0.637761
428.013507580472,0.637306
428.751820925014,0.638313
429.489458518782,0.637638
430.226045624923,0.636587
