X,frankfurt_urban_multi_radio.MA[0].idLayer/sequenceUpdateCa:vector
36.37887783165,1
43.217628033725,2
68.212127077386,3
87.3271865187,4
101.041998396155,5
102.242325062201,6
112.119042997529,7
134.753430574042,8
135.781428995292,9
147.701979776425,10
177.942362718563,11
179.38008795882,12
205.580555294091,13
224.512933262197,14
226.277572596315,15
261.86915578601,16
267.197962048687,17
268.530867235707,18
303.676530088603,19
396.52775112618,20
397.648414838186,21
410.200725041071,22
412.035187605565,23
417.189924558929,24
