X,frankfurt_urban_multi_radio.MA[0].idLayer/sequenceUpdateCa:vector
34.530393787828,1
41.518281754478,2
69.450744247942,3
90.623820039319,4
103.123442289648,5
104.246181369957,6
113.97015716383,7
136.267634869183,8
137.645064206981,9
147.876815243007,10
183.40271814644,11
184.707817838613,12
204.421249336433,13
225.494316074293,14
226.63254546342,15
264.334332787149,16
268.027219812089,17
269.854870744731,18
303.577117053066,19
393.177124829441,20
394.992523783784,21
421.001133257948,22
