X,frankfurt_urban_multi_radio.MA[0].idLayer/sequenceUpdateCa:vector
35.113701784296,1
44.93783845853,2
67.989210930969,3
72.807773009957,4
74.610230875185,5
88.58687219055,6
101.964712905946,7
103.988519146971,8
113.850402177568,9
139.79341633866,10
140.85541766219,11
148.042077658813,12
176.873235515712,13
177.373235515712,14
177.873235515712,15
178.127460045871,16
201.84760395922,17
202.34760395922,18
202.84760395922,19
203.34760395922,20
203.84760395922,21
204.34760395922,22
204.84760395922,23
205.34760395922,24
205.84760395922,25
206.34760395922,26
206.84760395922,27
207.34760395922,28
207.84760395922,29
208.34760395922,30
208.84760395922,31
209.34760395922,32
209.84760395922,33
210.34760395922,34
210.84760395922,35
211.34760395922,36
211.84760395922,37
212.34760395922,38
212.84760395922,39
213.34760395922,40
213.84760395922,41
214.34760395922,42
214.84760395922,43
215.34760395922,44
215.84760395922,45
216.34760395922,46
216.84760395922,47
217.34760395922,48
217.84760395922,49
218.34760395922,50
218.84760395922,51
219.34760395922,52
219.84760395922,53
220.34760395922,54
220.84760395922,55
221.34760395922,56
221.84760395922,57
222.34760395922,58
222.84760395922,59
223.049712807285,60
223.549712807285,61
224.049712807285,62
224.114614362449,63
224.614614362449,64
225.114614362449,65
225.614614362449,66
226.114614362449,67
226.614614362449,68
227.114614362449,69
227.614614362449,70
228.114614362449,71
228.614614362449,72
229.114614362449,73
229.614614362449,74
230.114614362449,75
230.614614362449,76
231.114614362449,77
231.614614362449,78
232.114614362449,79
232.614614362449,80
233.114614362449,81
233.614614362449,82
234.114614362449,83
234.614614362449,84
235.114614362449,85
235.614614362449,86
236.114614362449,87
236.614614362449,88
237.114614362449,89
237.614614362449,90
238.114614362449,91
238.614614362449,92
239.114614362449,93
239.614614362449,94
240.114614362449,95
240.614614362449,96
241.114614362449,97
241.614614362449,98
242.114614362449,99
242.614614362449,100
243.114614362449,101
243.614614362449,102
244.114614362449,103
244.614614362449,104
245.114614362449,105
245.614614362449,106
246.114614362449,107
246.614614362449,108
247.114614362449,109
247.614614362449,110
248.114614362449,111
248.614614362449,112
249.114614362449,113
249.614614362449,114
250.114614362449,115
250.614614362449,116
250.948607227716,117
251.448607227716,118
251.948607227716,119
252.448607227716,120
265.213866005327,121
265.713866005327,122
266.213866005327,123
266.713866005327,124
267.213866005327,125
267.713866005327,126
268.213866005327,127
268.713866005327,128
269.213866005327,129
269.65309652343,130
270.15309652343,131
270.65309652343,132
271.15309652343,133
271.176868823904,134
