X,frankfurt_urban_mipv6.MA[0].tcpApp[0]/endToEndDelay:vector
30.644622077764,0.418266
30.824690727805,0.170069
31.002099662094,0.167409
31.18097473637,0.168875
31.359174255025,0.1682
31.540688528949,0.171514
31.721509446515,0.170821
31.899020896054,0.167511
32.16392901903,0.254908
32.425340929839,0.251412
32.62206197003,0.186721
32.807143195189,0.175081
32.994434068301,0.177291
33.174420349048,0.169986
33.354586205876,0.170166
33.54908981158,0.184504
33.760551560207,0.201462
34.027830169449,0.257279
34.44796865772,0.410138
36.931063841827,2.4731
40.583176729138,3.64211
69.348107157822,28.7549
69.73732320482,0.379216
70.005694034699,0.258371
70.273466470677,0.257772
70.539249513678,0.255783
70.803412998938,0.254163
71.065821260186,0.252408
71.327917838921,0.252097
71.590457828135,0.25254
71.852863020284,0.252405
72.115393099933,0.25253
72.376993626512,0.251601
72.639121429711,0.252128
72.902060960123,0.25294
73.16379618669,0.251735
73.425766563291,0.25197
73.687386076683,0.25162
73.948906767581,0.251521
74.210628126465,0.251721
74.472081077646,0.251453
74.733611255404,0.25153
74.996741455324,0.25313
75.260501729429,0.25376
75.525118808437,0.254617
75.787637481724,0.252519
76.048914401217,0.251277
76.312944488726,0.25403
76.576006813868,0.253062
76.839164840041,0.253158
77.10720672386,0.258042
77.370545822937,0.253339
77.63471740726,0.254172
77.898343812949,0.253626
78.162355209509,0.254011
78.428799973585,0.256445
78.693403915701,0.254604
78.961768641407,0.258365
79.227201993107,0.255433
79.491163252002,0.253961
79.75763132338,0.256468
80.021582947566,0.253952
80.288705486963,0.257123
80.569242827117,0.270537
80.837968700061,0.258726
81.241504375189,0.393536
84.790772003995,3.53927
113.555034502156,28.7543
113.944403241475,0.379369
114.212075710303,0.257672
114.478127668562,0.256052
114.74233852685,0.254211
115.00646793997,0.254129
115.26837261162,0.251905
115.529803038545,0.25143
115.791590059249,0.251787
116.054043665421,0.252454
116.315683046124,0.251639
116.578006647631,0.252324
116.840285271796,0.252279
117.10413558867,0.25385
117.365793112619,0.251658
117.62719666236,0.251404
117.889881008977,0.252684
118.151357085878,0.251476
118.412652886334,0.251296
118.674225954513,0.251573
118.936321054837,0.252095
119.199272992961,0.252952
119.460812271682,0.251539
119.722753532817,0.251941
119.984275052249,0.251522
120.245679694382,0.251405
120.50849731438,0.252818
120.770100192801,0.251603
121.032692251161,0.252592
121.294230813065,0.251539
121.55684313158,0.252612
121.819978582685,0.253135
122.082006180009,0.252028
122.343582786479,0.251577
122.604808513592,0.251226
122.866587493718,0.251779
123.128764763977,0.252177
123.391544492935,0.25278
123.652968734675,0.251424
123.914690090461,0.251721
124.177360359394,0.25267
124.439472983905,0.252113
124.702191186747,0.252718
124.964225555057,0.252034
125.225686553205,0.251461
125.48743867333,0.251752
125.750179524149,0.252741
126.011857602884,0.251678
126.274743107597,0.252886
126.537821148372,0.253078
126.799750918726,0.25193
127.061963834274,0.252213
127.3239558487,0.251992
127.585457209191,0.251501
127.84899020349,0.253533
128.111408903304,0.252419
128.376106930431,0.254698
128.637866605737,0.25176
128.901758340433,0.253892
129.163140272202,0.251382
129.425533317672,0.252393
129.689432705207,0.253899
129.951436027828,0.252003
130.21448560087,0.25305
130.478610339612,0.254125
130.888764821888,0.400154
131.274516700223,0.375752
131.558283488683,0.273767
131.832014164401,0.263731
132.103162586702,0.261148
132.381694850428,0.268532
132.646967447163,0.255273
132.91013861224,0.253171
133.18484195413,0.264703
133.453749033569,0.258907
133.722600145684,0.258851
133.985115966827,0.252516
134.253195973052,0.25808
134.66523662132,0.402041
134.955699345001,0.280463
135.272425165448,0.306726
135.565569579669,0.283144
137.03901610515,1.46345
137.753378443999,0.704362
138.440262100025,0.676884
170.367859227415,31.9176
170.88234135607,0.504482
171.26879992957,0.376459
171.53788673019,0.259087
171.80506715023,0.25718
172.071482984858,0.256416
172.333985283478,0.252502
172.59568423008,0.251699
172.859661386602,0.253977
