X,frankfurt_urban_mipv6.MA[0].tcp/rcvd seq
30.226264933858,7.53039e+06
30.310168363804,7.53039e+06
30.3931551834,7.53039e+06
30.395906820248,7.53039e+06
30.475980016765,7.53039e+06
30.476545862727,7.53039e+06
30.479433653612,7.53039e+06
30.480553499574,7.53039e+06
30.559325723656,7.53039e+06
30.560278597208,7.53039e+06
30.56077247076,7.53039e+06
30.561221344312,7.53039e+06
30.562420514541,7.53039e+06
30.564047206465,7.53039e+06
30.564703080017,7.53039e+06
30.565221898389,7.53039e+06
30.642041549832,7.53039e+06
30.642713451088,7.53039e+06
30.735753846465,7.53049e+06
30.736256775431,7.53049e+06
30.737205704397,7.53049e+06
30.738257633363,7.53049e+06
30.738895562329,7.53049e+06
30.740071352743,7.53049e+06
30.741293253998,7.53049e+06
30.741769182964,7.53049e+06
30.74251305651,7.53049e+06
30.743185957766,7.53049e+06
30.745094886732,7.53049e+06
30.746994815698,7.53049e+06
30.747623744664,7.53049e+06
30.74826167363,7.53049e+06
30.819018719466,7.53049e+06
30.819921586032,7.53049e+06
30.821141542792,7.53049e+06
30.914406993945,7.53059e+06
30.915355978959,7.53059e+06
30.915813963973,7.53059e+06
30.916829948987,7.53059e+06
30.917251934001,7.53059e+06
30.917691919015,7.53059e+06
30.918257904029,7.53059e+06
30.918954691263,7.53059e+06
30.919565676277,7.53059e+06
30.920039604783,7.53059e+06
30.920721561543,7.53059e+06
30.921403518303,7.53059e+06
30.921923475063,7.53059e+06
30.922605431823,7.53059e+06
30.997186980131,7.53059e+06
30.998655887759,7.53059e+06
30.999165872773,7.53059e+06
31.091593366743,7.53069e+06
31.092589380447,7.53069e+06
31.093471394151,7.53069e+06
31.094807421559,7.53069e+06
31.096201448967,7.53069e+06
31.097154462671,7.53069e+06
31.098279476375,7.53069e+06
31.099269490079,7.53069e+06
31.100556518169,7.53069e+06
31.101942560645,7.53069e+06
31.102562603121,7.53069e+06
31.103732645597,7.53069e+06
31.104199688073,7.53069e+06
31.105369730549,7.53069e+06
31.176647437117,7.53069e+06
31.179845415829,7.53069e+06
31.181011458305,7.53069e+06
31.273438995143,7.53079e+06
31.274613065811,7.53079e+06
31.276044136479,7.53079e+06
31.277223207147,7.53079e+06
31.277618277815,7.53079e+06
31.278022348483,7.53079e+06
31.278543419151,7.53079e+06
31.279181489819,7.53079e+06
31.279567560487,7.53079e+06
31.280124631155,7.53079e+06
31.280907419901,7.53079e+06
31.283463462377,7.53079e+06
31.284128533045,7.53079e+06
31.284793603713,7.53079e+06
31.356345080681,7.53079e+06
31.357834088949,7.53079e+06
31.358901187013,7.53079e+06
31.451489520133,7.53089e+06
31.454044618196,7.53089e+06
31.45572774343,7.53089e+06
31.456122868664,7.53089e+06
31.456742993898,7.53089e+06
31.457237119132,7.53089e+06
31.457803244366,7.53089e+06
31.4584593696,7.53089e+06
31.459539494834,7.53089e+06
31.460177620068,7.53089e+06
31.460716745302,7.53089e+06
31.461345870536,7.53089e+06
31.46174099577,7.53089e+06
31.463037121004,7.53089e+06
31.534269660004,7.53089e+06
