X,frankfurt_urban_mipv6.MA[0].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
65.49904884962,1
66.49904884962,2
101.118878954806,3
169.464253601266,4
234.57468449184,5
325.080858582963,6
437.394485924823,7
