X,frankfurt_urban_n_vehicles_mipv6.MA[3].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
196.411717554811,1
197.411717554811,2
199.411717554811,3
203.411717554811,4
211.411717554811,5
227.411717554811,6
259.411717554811,7
291.411717554811,8
300.703955431799,1
301.703955431799,2
303.703955431799,3
307.703955431799,4
315.703955431799,5
331.703955431799,6
343.741287447003,1
344.741287447003,2
346.741287447003,3
350.741287447003,4
358.741287447003,5
374.741287447003,6
404.959846276593,1
405.959846276593,2
