X,frankfurt_urban_n_vehicles_mipv6.MA[6].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
194.225474980989,1
195.225474980989,2
197.225474980989,3
201.225474980989,4
209.225474980989,5
225.225474980989,6
257.225474980989,7
287.918130813343,1
288.918130813343,2
290.918130813343,3
294.918130813343,4
302.918130813343,5
318.918130813343,6
344.604619679501,1
345.604619679501,2
347.604619679501,3
351.604619679501,4
359.604619679501,5
375.604619679501,6
381.358755405248,1
382.358755405248,2
384.358755405248,3
388.358755405248,4
396.358755405248,5
407.604619679501,7
