X,frankfurt_urban.MA[0].tcpApp[0]/endToEndDelay:vector
30.704182119588,0.450598
30.893966930498,0.179785
31.087357325103,0.18339
31.278224342158,0.180867
31.469187209245,0.180963
31.659883293954,0.180696
31.849767754961,0.179884
32.044702267606,0.184935
32.235252809376,0.180551
32.426818809274,0.181566
32.617924500171,0.181106
32.812885239299,0.184961
33.005388173224,0.182503
33.197358819549,0.181971
33.390790360071,0.183432
33.581723925427,0.180934
33.774144273052,0.18242
33.968473568337,0.184329
34.167968785761,0.189495
34.360357407615,0.182389
34.558321241401,0.187964
34.844210959364,0.27589
35.16490292861,0.310692
35.792627785152,0.617725
293.543803355869,257.741
359.137202719249,65.5834
359.361543449932,0.214341
359.520266557268,0.148723
359.677594165134,0.147328
359.831673138276,0.144079
359.986367722082,0.144695
360.137816484552,0.141449
360.288850015038,0.141034
360.439025475208,0.140175
360.591296029754,0.142271
360.741547293967,0.140251
360.896481267109,0.144934
361.048807947682,0.142327
361.198609867504,0.139802
361.348384787326,0.139775
361.501132356972,0.142748
361.651245276794,0.140113
361.801474032472,0.140229
361.951889118076,0.140415
362.10211126309,0.140222
362.252213182912,0.140102
362.405631156054,0.143418
362.556857522396,0.141226
362.707305978702,0.140448
362.858311730516,0.141006
363.009114261002,0.140803
363.160379402062,0.141265
363.309983321884,0.139604
363.461104463034,0.141121
363.61182691934,0.140722
363.762889815222,0.141063
363.915001356364,0.142112
364.068955329506,0.143954
364.224078115409,0.145123
364.373877435223,0.139799
364.526067217185,0.14219
364.678503579663,0.142436
364.828386499485,0.139883
364.978479419307,0.140093
365.131352560457,0.142873
365.281442480279,0.14009
365.43155733914,0.140115
365.581730869626,0.140174
365.731940789448,0.14021
365.882935737194,0.140995
366.03451826768,0.141583
366.184517990234,0.14
366.335235517133,0.140718
366.485990047619,0.140755
366.635692967441,0.139703
366.788997191128,0.143304
366.93889811095,0.139901
367.089173030772,0.140275
367.238838753326,0.139666
367.389420294468,0.140582
367.539413824954,0.139994
367.690526375257,0.141113
367.840580708475,0.140054
367.992602460289,0.142022
368.146904501468,0.144302
368.29673342129,0.139829
368.447349341112,0.140616
368.598669871598,0.141321
368.749301402084,0.140632
368.900700469054,0.141399
369.051218610204,0.140518
369.201563530026,0.140345
369.351401449848,0.139838
369.503594127482,0.142193
369.653378047304,0.139784
369.803500065732,0.140122
369.954252206882,0.140752
370.105819774754,0.141568
370.259954747896,0.144135
370.410298859786,0.140344
370.560612316092,0.140313
370.712316235914,0.141704
370.861911155736,0.139595
371.011866075558,0.139955
371.166854880692,0.144989
371.318001021842,0.141146
371.468207552328,0.140207
371.619078693478,0.140871
371.768864223964,0.139786
371.918621143786,0.139757
372.069560274998,0.140939
372.21938019482,0.13982
372.371917946634,0.142538
372.522219669188,0.140302
372.673357810338,0.141138
372.82479175422,0.141434
372.974803284706,0.140012
373.12505742972,0.140254
373.276993824698,0.141936
373.427853965848,0.14086
373.58141293899,0.143559
373.732185469476,0.140773
373.882517389298,0.140332
374.034021530448,0.141504
374.18397045027,0.139949
374.334425429762,0.140455
374.485294570912,0.140869
374.636981101398,0.141687
374.78660302122,0.139622
374.938418773034,0.141816
375.089317692856,0.140899
375.239257612678,0.13994
375.390069945896,0.140812
375.540770476382,0.140701
375.694208449524,0.143438
375.843758369346,0.13955
375.993787443494,0.140029
376.144592363316,0.140805
376.294849904458,0.140258
376.445811434944,0.140962
376.595939969294,0.140129
376.746695899772,0.140756
376.896779430258,0.140084
377.04680935008,0.14003
377.196511072634,0.139702
377.346793992456,0.140283
377.497044104346,0.14025
377.646711910056,0.139668
377.796486829878,0.139775
377.946299360364,0.139813
378.096606280186,0.140307
378.247782176068,0.141176
378.39766509589,0.139883
378.54952023704,0.141855
378.700393086546,0.140873
378.850622006368,0.140229
379.00189792619,0.141276
379.156845952422,0.144948
379.312397536228,0.145552
379.463568941816,0.141171
379.613966472302,0.140398
379.763867392124,0.139901
379.914397533274,0.14053
380.06422806376,0.139831
380.214020984268,0.139793
380.366813516793,0.142793
380.517553426343,0.14074
380.667236558483,0.139683
380.817500103885,0.140264
380.968331248229,0.140831
381.12000613036,0.141675
381.272054124604,0.142048
381.423116737059,0.141063
381.573366893691,0.14025
381.724757111638,0.14139
381.8762963455,0.141539
382.028486965255,0.142191
382.178378968364,0.139892
382.32943547636,0.141057
382.479744501209,0.140309
382.630828371312,0.141084
382.781263069233,0.140435
382.931909782977,0.140647
383.082228710444,0.140319
383.23453176732,0.142303
383.385564752012,0.141033
383.536022882725,0.140458
383.686059037149,0.140036
383.838833876368,0.142775
383.988585751668,0.139752
384.13961233065,0.141027
384.289858261801,0.140246
384.44036821833,0.14051
384.59026050061,0.139892
384.740287810276,0.140027
384.890788575746,0.140501
385.041620709508,0.140832
385.193720013153,0.142099
385.343707113176,0.139987
385.493482560118,0.139775
385.646360357503,0.142878
385.797202614224,0.140842
385.947868683361,0.140666
386.099413144556,0.141544
386.252996096194,0.143583
386.405663902593,0.142668
386.557184580757,0.141521
386.70766692494,0.140482
386.859458917086,0.141792
387.010877540783,0.141419
387.160725376896,0.139848
387.310546263001,0.139821
387.463216608266,0.14267
387.615166988166,0.14195
387.76590318402,0.140736
387.91718012299,0.141277
388.06757620171,0.140396
388.224557154835,0.146981
388.380366853742,0.14581
388.532331197692,0.141964
388.682098455668,0.139767
388.834282705067,0.142184
388.988222881865,0.14394
