X,frankfurt_urban.MA[0].tcp/rcvd seq
30.255508176647,7.55281e+06
30.345170802876,7.55281e+06
30.434281693935,7.55281e+06
30.434833511125,7.55281e+06
30.523764429577,7.55281e+06
30.524865274167,7.55281e+06
30.525372118757,7.55281e+06
30.528983341707,7.55281e+06
30.61447406465,7.55281e+06
30.616294936722,7.55281e+06
30.616702808794,7.55281e+06
30.617173680866,7.55281e+06
30.617581552938,7.55281e+06
30.61798042501,7.55281e+06
30.619032297082,7.55281e+06
30.62114097678,7.55281e+06
30.703492127651,7.55281e+06
30.704128027257,7.55281e+06
30.803719799447,7.55291e+06
30.804892726641,7.55291e+06
30.807234653835,7.55291e+06
30.807777581029,7.55291e+06
30.808338508223,7.55291e+06
30.808863435417,7.55291e+06
30.809334362611,7.55291e+06
30.810513096689,7.55291e+06
30.811180996295,7.55291e+06
30.814402923489,7.55291e+06
30.815026850683,7.55291e+06
30.815695777877,7.55291e+06
30.816301705071,7.55291e+06
30.818078632265,7.55291e+06
30.892833079959,7.55291e+06
30.894206830997,7.55291e+06
30.894878758191,7.55291e+06
30.993503571887,7.55301e+06
30.994613526793,7.55301e+06
30.995529481699,7.55301e+06
30.996117436605,7.55301e+06
30.996750391511,7.55301e+06
30.997302346417,7.55301e+06
30.998848301323,7.55301e+06
30.999418256229,7.55301e+06
30.999880211135,7.55301e+06
31.000486180052,7.55301e+06
31.00101116298,7.55301e+06
31.002549145908,7.55301e+06
31.008089128836,7.55301e+06
31.008533111764,7.55301e+06
31.082443628366,7.55301e+06
31.083446079902,7.55301e+06
31.08410006283,7.55301e+06
31.182724918829,7.55311e+06
31.183879930319,7.55311e+06
31.185833497562,7.55311e+06
31.186268509052,7.55311e+06
31.187182850541,7.55311e+06
31.188089862031,7.55311e+06
31.188596873521,7.55311e+06
31.189486885011,7.55311e+06
31.190083896501,7.55311e+06
31.190743907991,7.55311e+06
31.191394919481,7.55311e+06
31.192000930971,7.55311e+06
31.192588942461,7.55311e+06
31.193305896827,7.55311e+06
31.271674032242,7.55311e+06
31.276075053554,7.55311e+06
31.276504093766,7.55311e+06
31.375907006941,7.55321e+06
31.377026075499,7.55321e+06
31.377960144057,7.55321e+06
31.378377212615,7.55321e+06
31.379046281173,7.55321e+06
31.379481349731,7.55321e+06
31.380659418289,7.55321e+06
31.381202486847,7.55321e+06
31.382349555405,7.55321e+06
31.382910623963,7.55321e+06
31.383480692521,7.55321e+06
31.384113761079,7.55321e+06
31.384692829637,7.55321e+06
31.385280898195,7.55321e+06
31.464802176859,7.55321e+06
31.465891335017,7.55321e+06
31.466293431171,7.55321e+06
31.564918399715,7.55331e+06
31.565992523069,7.55331e+06
31.567106646423,7.55331e+06
31.567899688177,7.55331e+06
31.569507784331,7.55331e+06
31.570122907685,7.55331e+06
31.570636976639,7.55331e+06
31.572039072793,7.55331e+06
31.574083056985,7.55331e+06
31.575619153139,7.55331e+06
31.576323249293,7.55331e+06
31.577650372647,7.55331e+06
31.579148496001,7.55331e+06
31.580407619355,7.55331e+06
31.653795624115,7.55331e+06
31.654884837069,7.55331e+06
31.655358987391,7.55331e+06
31.754745009869,7.55341e+06
31.755315186923,7.55341e+06
31.756800541031,7.55341e+06
31.758021460835,7.55341e+06
31.759260611157,7.55341e+06
31.761284788211,7.55341e+06
31.764214911801,7.55341e+06
31.764713088855,7.55341e+06
31.765202265909,7.55341e+06
31.765655852945,7.55341e+06
31.767163029999,7.55341e+06
31.767571207053,7.55341e+06
31.768569384107,7.55341e+06
31.768968561161,7.55341e+06
31.844255464785,7.55341e+06
31.844731731439,7.55341e+06
31.845223934985,7.55341e+06
31.943849010445,7.55351e+06
31.948444213991,7.55351e+06
31.949459443785,7.55351e+06
31.949912673579,7.55351e+06
31.950410903373,7.55351e+06
31.950864133167,7.55351e+06
31.951452231721,7.55351e+06
31.952165435267,7.55351e+06
31.956539665061,7.55351e+06
31.957136894855,7.55351e+06
31.957572124649,7.55351e+06
31.958106354443,7.55351e+06
31.958505584237,7.55351e+06
31.959854814031,7.55351e+06
32.034418340802,7.55351e+06
32.037300633948,7.55351e+06
32.038412889744,7.55351e+06
32.138326017207,7.55361e+06
32.140096580307,7.55361e+06
32.143199861857,7.55361e+06
32.143689143407,7.55361e+06
32.144885424957,7.55361e+06
32.146315706507,7.55361e+06
32.146930988057,7.55361e+06
32.149352269607,7.55361e+06
32.149742551157,7.55361e+06
32.150285832707,7.55361e+06
32.150928114257,7.55361e+06
32.151507395807,7.55361e+06
32.151960677357,7.55361e+06
32.152431958907,7.55361e+06
32.227830892471,7.55361e+06
32.229843051771,7.55361e+06
32.230829358825,7.55361e+06
32.329454537295,7.55371e+06
32.331738201907,7.55371e+06
32.333343534213,7.55371e+06
32.333760866519,7.55371e+06
32.335119198825,7.55371e+06
32.336036531131,7.55371e+06
32.336696863437,7.55371e+06
32.337267195743,7.55371e+06
32.338337528049,7.55371e+06
32.338934860355,7.55371e+06
32.339352192661,7.55371e+06
32.339940524967,7.55371e+06
32.340411857273,7.55371e+06
32.340982189579,7.55371e+06
32.418331969662,7.55371e+06
32.420585723874,7.55371e+06
32.422570081178,7.55371e+06
32.521195309642,7.55381e+06
32.522278691686,7.55381e+06
32.52331002425,7.55381e+06
32.524684381554,7.55381e+06
32.527205738858,7.55381e+06
32.531911096162,7.55381e+06
32.532846478206,7.55381e+06
32.53397986025,7.55381e+06
32.535005242294,7.55381e+06
32.535530624338,7.55381e+06
32.536745006382,7.55381e+06
32.537207388426,7.55381e+06
32.53985377047,7.55381e+06
