X,frankfurt_urban.MA[0].idLayer/sequenceUpdateCa:vector
65.606691170321,1
102.640546556832,2
168.318113631599,3
223.083704768087,4
223.583704768087,5
224.083704768087,6
224.583704768087,7
225.083704768087,8
225.583704768087,9
226.083704768087,10
226.583704768087,11
227.083704768087,12
227.583704768087,13
228.083704768087,14
228.583704768087,15
229.083704768087,16
229.583704768087,17
230.083704768087,18
230.583704768087,19
231.083704768087,20
231.583704768087,21
232.083704768087,22
232.583704768087,23
233.083704768087,24
233.583704768087,25
234.083704768087,26
234.583704768087,27
235.083704768087,28
235.367711966233,29
235.867711966233,30
357.195196765028,31
