X,frankfurt_urban_n_vehicles.MA[3].idLayer/sequenceUpdateCa:vector
211.817071993366,1
292.644590156224,2
293.144590156224,3
293.644590156224,4
294.144590156224,5
294.644590156224,6
295.144590156224,7
295.644590156224,8
296.144590156224,9
296.644590156224,10
297.144590156224,11
297.644590156224,12
298.144590156224,13
298.644590156224,14
299.144590156224,15
299.644590156224,16
300.144590156224,17
300.644590156224,18
301.144590156224,19
301.644590156224,20
302.144590156224,21
302.644590156224,22
303.144590156224,23
303.644590156224,24
304.144590156224,25
304.644590156224,26
305.144590156224,27
305.644590156224,28
306.144590156224,29
306.644590156224,30
307.144590156224,31
307.644590156224,32
308.144590156224,33
308.644590156224,34
309.144590156224,35
309.644590156224,36
310.144590156224,37
310.644590156224,38
311.144590156224,39
311.644590156224,40
312.144590156224,41
312.644590156224,42
313.144590156224,43
313.644590156224,44
314.144590156224,45
314.644590156224,46
315.144590156224,47
315.644590156224,48
316.144590156224,49
316.644590156224,50
317.144590156224,51
317.644590156224,52
318.144590156224,53
318.644590156224,54
319.144590156224,55
319.644590156224,56
320.144590156224,57
320.644590156224,58
321.144590156224,59
321.644590156224,60
322.144590156224,61
322.644590156224,62
323.144590156224,63
323.644590156224,64
324.144590156224,65
324.644590156224,66
325.144590156224,67
325.644590156224,68
326.144590156224,69
326.644590156224,70
327.144590156224,71
327.644590156224,72
328.144590156224,73
328.644590156224,74
329.144590156224,75
329.644590156224,76
330.144590156224,77
330.644590156224,78
331.144590156224,79
331.644590156224,80
332.144590156224,81
332.644590156224,82
333.144590156224,83
333.644590156224,84
334.144590156224,85
334.644590156224,86
335.144590156224,87
335.644590156224,88
336.144590156224,89
336.644590156224,90
336.695433845387,91
406.423922207915,92
