X,frankfurt_urban_mipv6.MA[0].tcpApp[0]/endToEndDelay:vector
31.248390684484,1.02115
32.125539916708,0.777149
33.037005372045,0.811465
34.176325744839,1.03932
166.402220221704,132.126
167.888071817015,1.38585
169.131081952324,1.14301
170.374458788614,1.14338
171.619207836862,1.14475
172.86727989424,1.14807
174.11483637529,1.14756
175.363076870218,1.14824
176.614908680971,1.15183
177.873226473683,1.15832
179.125808924705,1.15258
180.395644551196,1.16984
182.067245933875,1.5716
183.363136454461,1.19589
184.661858753915,1.19872
186.45214648988,1.69029
253.428651730473,66.8765
255.572672215433,2.04402
256.996098844949,1.32343
258.42096368141,1.32486
259.841950884996,1.32099
261.267765405856,1.32581
262.692663076788,1.3249
264.115720568226,1.32306
265.5391447883,1.32342
266.972813215748,1.33367
268.397177817352,1.32436
269.83174561601,1.33457
271.262950254011,1.3312
272.704873693666,1.34192
274.140982955765,1.33611
275.579989860301,1.33901
277.0246971402,1.34471
278.637869532813,1.51317
280.529636169669,1.79177
283.031489767949,2.40185
285.411455670459,2.27997
