X,frankfurt_urban_mipv6.MA[0].tcp/rcvd seq
30.227528251016,7.53051e+06
30.312449016198,7.53051e+06
30.313112786102,7.53051e+06
30.396125962856,7.53104e+06
30.39682573276,7.53158e+06
30.479748923206,7.53212e+06
30.480805720494,7.53265e+06
30.481745517782,7.53319e+06
30.48274831507,7.53372e+06
30.562771141062,7.53426e+06
30.563254965786,7.5348e+06
30.56435679051,7.53533e+06
30.565650615233,7.53587e+06
30.566116439957,7.5364e+06
30.566600264681,7.53694e+06
30.571657213025,7.53748e+06
30.572768037749,7.53801e+06
30.646331211127,7.53855e+06
30.646851063385,7.53908e+06
30.649658510022,7.53962e+06
30.65022336228,7.54016e+06
30.650788214538,7.54069e+06
30.652194919054,7.54123e+06
30.653206771312,7.54176e+06
30.656084328086,7.5423e+06
30.656559180344,7.54284e+06
30.657463032602,7.54337e+06
30.65799188486,7.54391e+06
30.658547737118,7.54444e+06
30.659963441634,7.54498e+06
30.660921293892,7.54552e+06
30.729954336267,7.54605e+06
30.730501216073,7.54659e+06
30.73372948742,7.54712e+06
30.734213367226,7.54766e+06
30.750929126833,7.5482e+06
30.752868006638,7.54873e+06
30.754806886443,7.54927e+06
30.756347646055,7.5498e+06
30.757074525861,7.55034e+06
30.758140405667,7.55088e+06
30.759143285473,7.55141e+06
30.76290292489,7.55195e+06
30.764931804695,7.55248e+06
30.765424684501,7.55302e+06
30.813541516553,7.55356e+06
30.814520396359,7.55409e+06
30.819512667704,7.55463e+06
30.820230575158,7.55516e+06
30.833960427313,7.5557e+06
30.835908307118,7.55624e+06
30.840159826341,7.55677e+06
30.841270733795,7.55731e+06
30.842615641249,7.55784e+06
30.844734548702,7.55838e+06
30.845200456156,7.55892e+06
30.846589271064,7.55945e+06
30.849500085972,7.55999e+06
30.850818864787,7.56052e+06
30.897830710663,7.56106e+06
30.898941618117,7.5616e+06
30.904099903309,7.56213e+06
30.904790838457,7.56267e+06
30.916883755464,7.5632e+06
30.919056635269,7.56374e+06
30.923290154492,7.56428e+06
30.924455061946,7.56481e+06
30.926794997094,7.56535e+06
30.928132784307,7.56588e+06
30.931061599215,7.56642e+06
30.931617534363,7.56696e+06
30.932657414123,7.56749e+06
30.934397284419,7.56803e+06
30.980916038814,7.56856e+06
30.982818946267,7.5691e+06
30.988687180455,7.56964e+06
30.989208115603,7.57017e+06
31.005090111311,7.57071e+06
31.005655074163,7.57124e+06
31.006425037015,7.57178e+06
31.007858962719,7.57232e+06
31.009727352944,7.57285e+06
31.011047140157,7.57339e+06
31.014594890213,7.57392e+06
31.015858853065,7.57446e+06
31.016387815917,7.575e+06
31.019194741621,7.57553e+06
31.063875394664,7.57607e+06
31.066421357516,7.5766e+06
31.072284471453,7.57714e+06
31.073350434305,7.57768e+06
31.089474406717,7.57821e+06
31.091288369569,7.57875e+06
31.092408332421,7.57928e+06
31.093411295273,7.57982e+06
31.093886258125,7.58036e+06
31.094961220977,7.58089e+06
31.098211259914,7.58143e+06
31.099446185619,7.58196e+06
31.10121416261,7.5825e+06
31.102334125462,7.58304e+06
31.150127741356,7.58357e+06
31.151148732486,7.58411e+06
31.155198855294,7.58464e+06
31.158938818143,7.58518e+06
31.172388790558,7.58572e+06
31.17436475341,7.58625e+06
31.175394716262,7.58679e+06
31.176827641966,7.58732e+06
31.17798277379,7.58786e+06
31.17937856767,7.5884e+06
31.182277395813,7.58893e+06
31.183379386943,7.58947e+06
31.184625378073,7.59e+06
31.186167523442,7.59054e+06
31.233096153715,7.59108e+06
31.234063144845,7.59161e+06
31.238167267653,7.59215e+06
31.243566867885,7.59268e+06
31.255528202917,7.59322e+06
31.257396165769,7.59376e+06
31.259147185657,7.59429e+06
31.260195205545,7.59483e+06
31.261230225433,7.59536e+06
31.444518374461,7.59588e+06
31.445020451091,7.59588e+06
31.44607152772,7.59641e+06
31.44710160435,7.59695e+06
31.44902883424,7.59748e+06
31.45005891087,7.59802e+06
31.4505789875,7.59856e+06
31.45200314076,7.59909e+06
31.45254121739,7.59963e+06
31.45344529402,7.60016e+06
31.45426037065,7.6007e+06
31.45560044728,7.60124e+06
31.45630052391,7.60177e+06
31.45736660054,7.60231e+06
31.45786867717,7.60284e+06
31.529013024871,7.60338e+06
31.532546282103,7.60392e+06
31.533084386075,7.60445e+06
31.535200594019,7.60499e+06
31.53672569799,7.60552e+06
31.53932180196,7.60606e+06
31.540999905931,7.6066e+06
31.541466009903,7.60713e+06
31.545112321818,7.60767e+06
31.54560542579,7.6082e+06
31.546864529762,7.60874e+06
31.556515945648,7.60928e+06
31.55839304962,7.60981e+06
31.559477153592,7.61035e+06
31.614088702507,7.61088e+06
31.616034910451,7.61142e+06
31.617200041531,7.61196e+06
31.618295118395,7.61249e+06
31.620045249474,7.61303e+06
31.622290326336,7.61356e+06
31.624965588496,7.6141e+06
31.626076719576,7.61464e+06
31.629797054138,7.61517e+06
31.631628158109,7.61571e+06
31.633090366053,7.61624e+06
31.640187470024,7.61678e+06
31.644621781939,7.61732e+06
31.645231913019,7.61785e+06
31.697264240437,7.61839e+06
31.699219448381,7.61892e+06
31.700312592897,7.61946e+06
31.70192066976,7.62e+06
31.70405880084,7.62053e+06
31.706976008782,7.62107e+06
31.708015166734,7.6216e+06
31.709063270942,7.62214e+06
31.712720605504,7.62268e+06
31.715020709475,7.62321e+06
31.718868917418,7.62375e+06
31.72337202139,7.62428e+06
31.730263464385,7.62482e+06
31.732236780289,7.62536e+06
31.780286791803,7.62589e+06
31.783252570562,7.62643e+06
31.783817728514,7.62696e+06
