X,frankfurt_urban_mipv6.MA[0].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
66.327918972643,1
67.327918972643,2
104.529028730139,3
164.254722864991,4
230.50458004782,5
231.50458004782,6
311.926824924956,7
438.488767438328,8
