X,frankfurt_urban_n_vehicles_mipv6.MA[3].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
201.654760662705,1
202.654760662705,2
204.654760662705,3
208.654760662705,4
216.654760662705,5
232.654760662705,6
264.654760662705,7
295.120531540049,1
296.120531540049,2
298.120531540049,3
302.120531540049,4
310.120531540049,5
326.120531540049,6
341.726097959704,1
342.726097959704,2
344.726097959704,3
348.726097959704,4
356.726097959704,5
372.726097959704,6
404.726097959704,7
409.480390677508,1
410.480390677508,2
