X,frankfurt_urban_n_vehicles_mipv6.MA[7].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
194.149545755287,1
195.149545755287,2
197.149545755287,3
201.149545755287,4
209.149545755287,5
225.149545755287,6
257.149545755287,7
289.149545755287,8
302.128075803812,1
303.128075803812,2
305.128075803812,3
309.128075803812,4
317.128075803812,5
333.128075803812,6
343.171691987398,1
344.171691987398,2
346.171691987398,3
350.171691987398,4
358.171691987398,5
374.171691987398,6
387.452527199085,1
388.452527199085,2
390.452527199085,3
394.452527199085,4
402.452527199085,5
406.171691987398,7
407.549357431756,6
408.549357431756,7
438.171691987398,8
