X,frankfurt_urban_n_vehicles_mipv6.MA[7].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
211.197824526606,1
212.197824526606,2
214.197824526606,3
218.197824526606,4
226.197824526606,5
242.197824526606,6
274.197824526606,7
304.667451162611,1
305.667451162611,2
307.667451162611,3
311.667451162611,4
319.667451162611,5
335.667451162611,6
347.615098617414,1
348.615098617414,2
350.615098617414,3
354.615098617414,4
362.615098617414,5
378.615098617414,6
403.265129613768,1
