X,frankfurt_urban.MA[0].udpApp[0]/endToEndDelay:vector
30.25372795559,0.0445644
30.26569095559,0.0465274
30.27372795559,0.0445644
30.28372795559,0.0445644
30.29372795559,0.0445644
30.303727969276,0.0445644
30.313727969276,0.0445644
30.323727969276,0.0445644
30.334506332289,0.0453428
30.343727969276,0.0445644
30.353727969276,0.0445644
30.363727969276,0.0445644
30.373727969276,0.0445644
30.383727969276,0.0445644
30.393727969276,0.0445644
30.403727983025,0.0445644
30.413727983025,0.0445644
30.423727983025,0.0445644
30.433727983025,0.0445644
30.443727983025,0.0445644
30.453727983025,0.0445644
30.463727983025,0.0445644
30.473727983025,0.0445644
30.483727983025,0.0445644
30.493727983025,0.0445644
30.503727996788,0.0445644
30.513727996788,0.0445644
30.523727996788,0.0445644
30.533727996788,0.0445644
30.543727996788,0.0445644
30.553727996788,0.0445644
30.563727996788,0.0445644
30.573727996788,0.0445644
30.583727996788,0.0445644
30.593727996788,0.0445644
30.60372801056,0.0445644
30.61372801056,0.0445644
30.62372801056,0.0445644
30.63372801056,0.0445644
30.64372801056,0.0445644
30.65448901056,0.0453254
30.66372801056,0.0445644
30.67372801056,0.0445644
30.68372801056,0.0445644
30.69372801056,0.0445644
30.703728024403,0.0445644
30.713728024403,0.0445644
30.723728024403,0.0445644
30.733728024403,0.0445644
30.743728024403,0.0445644
30.754651024403,0.0454874
30.763728024403,0.0445644
30.773728024403,0.0445644
30.783728024403,0.0445644
30.794777024403,0.0456134
30.803728038254,0.0445645
30.813728038254,0.0445645
30.823728038254,0.0445645
30.833728038254,0.0445645
30.843728038254,0.0445645
30.853728038254,0.0445645
30.865520038254,0.0463565
30.873728038254,0.0445645
30.885039631807,0.0458761
30.893728038254,0.0445645
30.904489052115,0.0453255
30.913728052115,0.0445645
30.923728052115,0.0445645
30.933728052115,0.0445645
30.943728052115,0.0445645
30.953728052115,0.0445645
30.963728052115,0.0445645
30.973728052115,0.0445645
30.983728052115,0.0445645
30.993728052115,0.0445645
31.004453066183,0.0452895
31.014300066183,0.0451365
31.026150066183,0.0469865
31.033728066183,0.0445645
31.043728066183,0.0445645
31.053728066183,0.0445645
31.063728066183,0.0445645
31.073728066183,0.0445645
31.083728066183,0.0445645
31.093728066183,0.0445645
31.103734713467,0.0445711
31.113728080494,0.0445645
31.123728080494,0.0445645
31.133728080494,0.0445645
31.145178080494,0.0460145
31.154534080494,0.0453705
31.163728080494,0.0445645
31.174516080494,0.0453525
31.183728080494,0.0445645
31.193728080494,0.0445645
31.203728094896,0.0445645
