X,frankfurt_urban.MA[0].idLayer/sequenceUpdateCa:vector
87.536061156946,1
88.036061156946,2
88.536061156946,3
89.036061156946,4
89.536061156946,5
90.036061156946,6
90.536061156946,7
91.036061156946,8
91.536061156946,9
92.036061156946,10
92.536061156946,11
93.036061156946,12
93.536061156946,13
94.036061156946,14
94.536061156946,15
95.036061156946,16
95.536061156946,17
96.036061156946,18
96.536061156946,19
97.036061156946,20
97.536061156946,21
98.036061156946,22
98.536061156946,23
99.036061156946,24
99.536061156946,25
100.036061156946,26
100.536061156946,27
101.036061156946,28
101.536061156946,29
102.036061156946,30
102.536061156946,31
103.036061156946,32
103.536061156946,33
104.036061156946,34
104.536061156946,35
105.036061156946,36
105.536061156946,37
106.847662039113,38
160.793509602506,39
226.246199032546,40
401.391558068942,41
