X,frankfurt_urban.MA[0].udp/rcvdPk:vector(packetBytes),frankfurt_urban.MA[0].udpApp[0]/rcvdPk:vector(packetBytes)
30.254283002367,1008,1000
30.265305002367,1008,1000
30.274283002367,1008,1000
30.284283002367,1008,1000
30.295116002367,1008,1000
30.30428301617,1008,1000
30.31428301617,1008,1000
30.32428301617,1008,1000
30.33428301617,1008,1000
30.34428301617,1008,1000
30.35428301617,1008,1000
30.36514301617,1008,1000
30.37428301617,1008,1000
30.38428301617,1008,1000
30.39428301617,1008,1000
30.404283030011,1008,1000
30.414283030011,1008,1000
30.424283030011,1008,1000
30.434283030011,1008,1000
30.446073860751,1008,1000
30.454283030011,1008,1000
30.464283030011,1008,1000
30.474283030011,1008,1000
30.484283030011,1008,1000
30.494283030011,1008,1000
30.504283043867,1008,1000
30.514283043867,1008,1000
30.524283043867,1008,1000
30.534919640438,1008,1000
30.544283043867,1008,1000
30.554283043867,1008,1000
30.564283043867,1008,1000
30.574283043867,1008,1000
30.584283043867,1008,1000
30.594283043867,1008,1000
30.604283057748,1008,1000
30.614283057748,1008,1000
30.624283057748,1008,1000
30.634283057748,1008,1000
30.644283057748,1008,1000
30.654283057748,1008,1000
30.664283057748,1008,1000
30.674283057748,1008,1000
30.684283057748,1008,1000
30.694283057748,1008,1000
30.704283071668,1008,1000
30.714828071668,1008,1000
30.725143071668,1008,1000
30.734283071668,1008,1000
30.744283071668,1008,1000
30.754283071668,1008,1000
30.764283071668,1008,1000
30.774283071668,1008,1000
30.784283071668,1008,1000
30.794283071668,1008,1000
30.80428308561,1008,1000
30.81428308561,1008,1000
30.82428308561,1008,1000
30.83428308561,1008,1000
30.84428308561,1008,1000
30.85533208561,1008,1000
30.86428308561,1008,1000
30.87428308561,1008,1000
30.88493608561,1008,1000
30.89486408561,1008,1000
30.90428309959,1008,1000
30.91530509959,1008,1000
30.92428309959,1008,1000
30.93428309959,1008,1000
30.94521509959,1008,1000
30.95428309959,1008,1000
30.96428309959,1008,1000
30.97428309959,1008,1000
30.98428309959,1008,1000
30.99428309959,1008,1000
31.00428311359,1008,1000
31.01428311359,1008,1000
31.02524211359,1008,1000
31.03539511359,1008,1000
31.04428311359,1008,1000
31.05589511359,1008,1000
31.06428311359,1008,1000
31.07482811359,1008,1000
31.08519711359,1008,1000
31.09428311359,1008,1000
31.104283127878,1008,1000
31.114283127878,1008,1000
31.124283127878,1008,1000
31.134283127878,1008,1000
31.144283127878,1008,1000
31.154283127878,1008,1000
31.164283127878,1008,1000
31.174283127878,1008,1000
31.184283127878,1008,1000
31.194882127878,1008,1000
31.204283142368,1008,1000
31.215008142368,1008,1000
31.224283142368,1008,1000
31.234283142368,1008,1000
31.244283142368,1008,1000
31.254873142368,1008,1000
31.264283142368,1008,1000
31.274283142368,1008,1000
31.284283142368,1008,1000
31.294283142368,1008,1000
31.304283156812,1008,1000
31.314283156812,1008,1000
31.324283156812,1008,1000
31.334283156812,1008,1000
31.344283156812,1008,1000
31.354283156812,1008,1000
31.364283156812,1008,1000
31.374283156812,1008,1000
31.384283156812,1008,1000
31.394283156812,1008,1000
31.405035170985,1008,1000
31.414283170985,1008,1000
31.424283170985,1008,1000
31.434283170985,1008,1000
31.444972170985,1008,1000
31.454283170985,1008,1000
31.465170170985,1008,1000
31.474283170985,1008,1000
31.484283170985,1008,1000
31.495332170985,1008,1000
31.504283184768,1008,1000
31.514283184768,1008,1000
31.525368184768,1008,1000
31.534283184768,1008,1000
31.544283184768,1008,1000
31.554283184768,1008,1000
31.564283184768,1008,1000
31.574283184768,1008,1000
31.584283184768,1008,1000
31.594283184768,1008,1000
31.605886198431,1008,1000
31.615026198431,1008,1000
31.624283198431,1008,1000
31.635116198431,1008,1000
31.644283198431,1008,1000
31.654283198431,1008,1000
31.664283198431,1008,1000
31.674283198431,1008,1000
31.684283198431,1008,1000
31.694283198431,1008,1000
31.704283211973,1008,1000
31.714283211973,1008,1000
31.724283211973,1008,1000
31.734761427542,1008,1000
31.745107211973,1008,1000
31.755080211973,1008,1000
31.764283211973,1008,1000
31.774864211973,1008,1000
31.785323211973,1008,1000
31.794864211973,1008,1000
31.804283225397,1008,1000
31.814283225397,1008,1000
31.824283225397,1008,1000
31.835930395517,1008,1000
31.845314225397,1008,1000
31.854283225397,1008,1000
31.865269225397,1008,1000
31.874283225397,1008,1000
31.885386225397,1008,1000
31.901509040545,1008,1000
31.904283238697,1008,1000
31.914283238697,1008,1000
31.924283238697,1008,1000
31.934283238697,1008,1000
31.944283238697,1008,1000
31.954283238697,1008,1000
31.964283238697,1008,1000
31.974837238697,1008,1000
31.985884433526,1008,1000
31.994283238697,1008,1000
32.004283251872,1008,1000
32.014283251872,1008,1000
32.024283251872,1008,1000
32.034283251872,1008,1000
32.044283251872,1008,1000
32.054283251872,1008,1000
32.064283251872,1008,1000
32.074283251872,1008,1000
32.085026251872,1008,1000
32.095940251872,1008,1000
32.10428326492,1008,1000
32.11525126492,1008,1000
32.12761926492,1008,1000
32.13428326492,1008,1000
32.14428326492,1008,1000
32.15428326492,1008,1000
32.16519726492,1008,1000
32.17490026492,1008,1000
32.18428326492,1008,1000
32.19428326492,1008,1000
32.204283277841,1008,1000
32.214936277841,1008,1000
32.224283277841,1008,1000
32.235742277841,1008,1000
32.24458809066,1008,1000
32.257979277841,1008,1000
32.264283277841,1008,1000
32.274283277841,1008,1000
32.284283277841,1008,1000
32.294283277841,1008,1000
32.304283290634,1008,1000
32.314283290634,1008,1000
32.324283290634,1008,1000
32.334283290634,1008,1000
32.344283290634,1008,1000
32.355215290634,1008,1000
32.364283290634,1008,1000
32.375287290634,1008,1000
32.384283290634,1008,1000
32.394283290634,1008,1000
32.404283303297,1008,1000
32.419775303297,1008,1000
32.427997303297,1008,1000
32.435080303297,1008,1000
32.444283303297,1008,1000
32.455350303297,1008,1000
32.464283303297,1008,1000
32.474283303297,1008,1000
32.484283303297,1008,1000
32.494936303297,1008,1000
32.50959931583,1008,1000
32.51428331583,1008,1000
32.52428331583,1008,1000
32.53428331583,1008,1000
32.54428331583,1008,1000
32.55678231583,1008,1000
32.56428331583,1008,1000
32.57428331583,1008,1000
32.58862731583,1008,1000
32.59428331583,1008,1000
32.604283328231,1008,1000
32.615278328231,1008,1000
32.624283328231,1008,1000
32.634283328231,1008,1000
32.644283328231,1008,1000
32.654283328231,1008,1000
32.664283328231,1008,1000
32.674855328231,1008,1000
32.684283328231,1008,1000
32.695341328231,1008,1000
32.7042833405,1008,1000
32.7142833405,1008,1000
32.7242833405,1008,1000
32.7353053405,1008,1000
32.7448373405,1008,1000
32.755499750569,1008,1000
32.7642833405,1008,1000
32.7771693405,1008,1000
32.785148936784,1008,1000
32.7942833405,1008,1000
32.804837352637,1008,1000
32.814283352637,1008,1000
32.825143352637,1008,1000
32.834283352637,1008,1000
32.844283352637,1008,1000
32.860360352637,1008,1000
32.885921352637,1008,1000
32.886689777237,1008,1000
32.893193201837,1008,1000
32.896057352637,1008,1000
32.90428336464,1008,1000
32.91590436464,1008,1000
32.92428336464,1008,1000
32.93428336464,1008,1000
32.94869936464,1008,1000
32.95428336464,1008,1000
32.96535936464,1008,1000
32.97500836464,1008,1000
32.98428336464,1008,1000
32.99506236464,1008,1000
33.004283376509,1008,1000
