X,frankfurt_urban.MA[0].idLayer/sequenceUpdateCa:vector
82.301835763143,1
82.801835763143,2
83.301835763143,3
83.801835763143,4
84.301835763143,5
84.801835763143,6
85.301835763143,7
85.801835763143,8
86.301835763143,9
86.801835763143,10
87.301835763143,11
87.801835763143,12
88.301835763143,13
88.801835763143,14
89.301835763143,15
89.801835763143,16
90.301835763143,17
90.801835763143,18
91.301835763143,19
91.801835763143,20
92.301835763143,21
92.801835763143,22
93.301835763143,23
93.801835763143,24
94.301835763143,25
94.801835763143,26
95.301835763143,27
95.801835763143,28
96.301835763143,29
96.801835763143,30
97.301835763143,31
97.801835763143,32
98.301835763143,33
98.801835763143,34
99.301835763143,35
99.801835763143,36
101.173009102402,37
164.26326909315,38
231.154026828754,39
377.5269122614,40
