X,frankfurt_urban_n_vehicles_mipv6.MA[6].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
200.345890592081,1
201.345890592081,2
203.345890592081,3
207.345890592081,4
215.345890592081,5
231.345890592081,6
263.345890592081,7
295.345890592081,8
298.224658277427,1
299.224658277427,2
301.224658277427,3
305.224658277427,4
313.224658277427,5
329.224658277427,6
340.912521889743,1
341.912521889743,2
343.912521889743,3
347.912521889743,4
355.912521889743,5
371.912521889743,6
