X,frankfurt_urban_n_vehicles_mipv6.MA[3].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
199.430541909526,1
200.430541909526,2
202.430541909526,3
206.430541909526,4
214.430541909526,5
230.430541909526,6
262.430541909526,7
293.427030914609,1
294.427030914609,2
296.427030914609,3
300.427030914609,4
308.427030914609,5
324.427030914609,6
338.965163905409,1
339.965163905409,2
341.965163905409,3
345.965163905409,4
353.965163905409,5
369.965163905409,6
401.965163905409,7
408.348149384184,1
409.348149384184,2
411.348149384184,3
415.348149384184,4
423.348149384184,5
