X,frankfurt_urban_n_vehicles.MA[2].tcpApp[0]/endToEndDelay:vector
184.772879744458,0.397469
184.981688192424,0.198808
185.228046181937,0.236358
185.46288752909,0.224841
196.272512391914,10.7996
196.562520210488,0.280008
196.781378962271,0.208859
196.939633762278,0.148255
197.092781197251,0.143147
197.24807927182,0.145298
197.399765687615,0.141686
197.549241717519,0.139476
197.698980746764,0.139739
197.848710775514,0.13973
197.998395803779,0.139685
198.147394951994,0.138999
198.297088979512,0.139694
198.446331127209,0.139242
198.595546274699,0.139215
198.745312301443,0.139766
198.894889327981,0.139577
199.04400547499,0.139116
199.194757501196,0.140752
199.344676527278,0.139919
199.494532638435,0.139856
199.644208664303,0.139676
199.793379895855,0.139171
199.942577042333,0.139197
200.091777616781,0.139201
200.241154763163,0.139377
200.390704788692,0.13955
200.540461814182,0.139757
200.690528503153,0.140067
200.840159528573,0.139631
200.989122674801,0.138963
201.138952759268,0.13983
201.289532542919,0.14058
201.438423689103,0.138891
201.588894213578,0.140471
201.738436401691,0.139542
201.887723547838,0.139287
202.036731693981,0.139008
202.186484435506,0.139753
202.336151460769,0.139667
202.485403486025,0.139252
202.635187511278,0.139784
202.785297415656,0.14011
202.934458561767,0.139161
203.083529707873,0.139071
203.234006419855,0.140477
203.385311203351,0.141305
203.534971479325,0.13966
203.684340504551,0.139369
203.834578500801,0.140238
203.983775646899,0.139197
204.132724533801,0.138949
204.281687679892,0.138963
204.431426705108,0.139739
204.581551299402,0.140125
204.730559445492,0.139008
204.879756377046,0.139197
205.02879260764,0.139036
205.17797175373,0.139179
205.328345778946,0.140374
205.478670767792,0.140325
205.628300842015,0.13963
205.778455746357,0.140155
205.927643892447,0.139188
206.077861002167,0.140217
206.227271926127,0.139411
206.378470762604,0.141199
206.528867774587,0.140397
206.678307920677,0.13944
206.828214945893,0.139907
206.977295091983,0.13908
207.127134896098,0.13984
207.27718180044,0.140047
207.42746434186,0.140283
207.576807367076,0.139343
207.727096253964,0.140289
207.876069484558,0.138973
208.0261673889,0.140098
208.175297154914,0.13913
208.325290059256,0.139993
208.475029084472,0.139739
