X,frankfurt_urban_n_vehicles_mipv6.MA[6].tcp/rcvd seq
42.736257020478,1.06752e+07
42.79969599137,1.06752e+07
42.8625062431,1.06752e+07
42.864037738928,1.06752e+07
42.925773531719,1.06752e+07
42.927368056515,1.06752e+07
42.927915818913,1.06752e+07
42.928999581311,1.06752e+07
43.000809042826,1.06752e+07
43.001257819806,1.06752e+07
43.001751596786,1.06752e+07
43.002749373766,1.06752e+07
43.003180150746,1.06752e+07
43.003565927726,1.06752e+07
43.004203704706,1.06752e+07
43.004751481686,1.06752e+07
43.064471176782,1.06752e+07
43.064899953762,1.06752e+07
43.138197421654,1.06753e+07
43.139299213392,1.06753e+07
43.14036000513,1.06753e+07
43.140772796868,1.06753e+07
43.142356717177,1.06753e+07
43.142787508915,1.06753e+07
43.143452300653,1.06753e+07
43.143955092391,1.06753e+07
43.144601884129,1.06753e+07
43.145194675867,1.06753e+07
43.146522338655,1.06753e+07
43.148223115634,1.06753e+07
43.148779907372,1.06753e+07
43.14935469911,1.06753e+07
43.201025724632,1.06753e+07
43.20216281557,1.06753e+07
43.202816622156,1.06753e+07
43.275311737452,1.06754e+07
43.276530544038,1.06754e+07
43.277573350624,1.06754e+07
43.27810315721,1.06754e+07
43.279524963795,1.06754e+07
43.280018770381,1.06754e+07
43.280539576967,1.06754e+07
43.281159383553,1.06754e+07
43.282305190138,1.06754e+07
43.282959996724,1.06754e+07
43.28458880331,1.06754e+07
43.285019609896,1.06754e+07
43.285513416482,1.06754e+07
43.286151223068,1.06754e+07
43.338311055241,1.06754e+07
43.339358161027,1.06754e+07
43.339921982387,1.06754e+07
43.412417119781,1.06755e+07
43.413536955789,1.06755e+07
43.414579791797,1.06755e+07
43.41549758386,1.06755e+07
43.416009419868,1.06755e+07
43.41673522658,1.06755e+07
43.417292062588,1.06755e+07
43.417947898596,1.06755e+07
43.41847469066,1.06755e+07
43.419840512019,1.06755e+07
43.422135333379,1.06755e+07
43.422584169387,1.06755e+07
43.423150005395,1.06755e+07
43.423553841403,1.06755e+07
43.475155459605,1.06755e+07
43.477150160236,1.06755e+07
43.479844996244,1.06755e+07
43.553384148226,1.06756e+07
43.553994998764,1.06756e+07
43.55596869984,1.06756e+07
43.556471550378,1.06756e+07
43.556956400916,1.06756e+07
43.557549251454,1.06756e+07
43.558133101992,1.06756e+07
43.55989795253,1.06756e+07
43.561824803068,1.06756e+07
43.562823653606,1.06756e+07
43.563236504144,1.06756e+07
43.563766354682,1.06756e+07
43.56434120522,1.06756e+07
43.564862055758,1.06756e+07
43.6167783603,1.06756e+07
43.617600510038,1.06756e+07
43.61824537494,1.06756e+07
43.690740548552,1.06757e+07
43.692031413454,1.06757e+07
43.693564278356,1.06757e+07
43.694058143258,1.06757e+07
43.69445300816,1.06757e+07
43.694991873062,1.06757e+07
43.696395737964,1.06757e+07
43.699275602862,1.06757e+07
43.699913467764,1.06757e+07
43.700407339741,1.06757e+07
43.701132204643,1.06757e+07
43.701787069545,1.06757e+07
43.702343948597,1.06757e+07
43.703727799349,1.06757e+07
43.753631924345,1.06757e+07
43.755340088447,1.06757e+07
43.755750967499,1.06757e+07
43.828246162301,1.06758e+07
43.829312055433,1.06758e+07
43.829859948565,1.06758e+07
43.830902841697,1.06758e+07
43.831567678508,1.06758e+07
43.83334457164,1.06758e+07
43.833926436612,1.06758e+07
43.835185315664,1.06758e+07
43.835841208796,1.06758e+07
43.836362101928,1.06758e+07
43.83685599506,1.06758e+07
43.837944888192,1.06758e+07
43.838510781324,1.06758e+07
43.839437674456,1.06758e+07
43.891119559249,1.06758e+07
43.892597644713,1.06758e+07
43.893134537845,1.06758e+07
43.968950753662,1.06759e+07
43.970728660772,1.06759e+07
43.972427474992,1.06759e+07
43.972885382102,1.06759e+07
43.973325289212,1.06759e+07
43.974386196322,1.06759e+07
43.974907103432,1.06759e+07
43.975383010542,1.06759e+07
43.975831917652,1.06759e+07
43.976262824762,1.06759e+07
43.976801731872,1.06759e+07
43.977692638982,1.06759e+07
43.978222546092,1.06759e+07
43.978689453202,1.06759e+07
44.031842171479,1.06759e+07
44.036198006229,1.06759e+07
44.036797927121,1.06759e+07
44.109293163541,1.0676e+07
44.111875084431,1.0676e+07
44.113017018959,1.0676e+07
44.114890926214,1.0676e+07
44.116267860742,1.0676e+07
44.11682479527,1.0676e+07
44.117309729798,1.0676e+07
44.118506664326,1.0676e+07
44.119108598854,1.0676e+07
44.119521533382,1.0676e+07
44.12006946791,1.0676e+07
44.120482402438,1.0676e+07
44.121039336966,1.0676e+07
44.122051135132,1.0676e+07
44.172049601885,1.0676e+07
44.174639821975,1.0676e+07
44.175167756503,1.0676e+07
44.248170721107,1.06761e+07
44.248565669123,1.06761e+07
44.249605447209,1.06761e+07
44.250680395225,1.06761e+07
44.251741343241,1.06761e+07
44.252361291257,1.06761e+07
44.25411361365,1.06761e+07
44.254526561666,1.06761e+07
44.255855482705,1.06761e+07
44.256493430721,1.06761e+07
44.257158378737,1.06761e+07
44.257571326753,1.06761e+07
44.258502220816,1.06761e+07
44.258960168832,1.06761e+07
44.312370905684,1.06761e+07
44.3133911529,1.06761e+07
44.314791114202,1.06761e+07
44.387286384214,1.06762e+07
44.388327345516,1.06762e+07
44.388794306818,1.06762e+07
44.38922526812,1.06762e+07
44.389852229422,1.06762e+07
44.391262152026,1.06762e+07
44.392103152026,1.06762e+07
44.394024113328,1.06762e+07
44.39468007463,1.06762e+07
44.395237035932,1.06762e+07
44.395649997234,1.06762e+07
44.396062958536,1.06762e+07
44.396727919838,1.06762e+07
