X,frankfurt_urban_mipv6.MA[0].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
71.767489766209,1
72.767489766209,2
101.159648277757,3
163.858536576161,4
229.674638036117,5
230.674638036117,6
348.23946507029,7
