X,frankfurt_urban_n_vehicles_mipv6.MA[3].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
198.943011363626,1
199.943011363626,2
201.943011363626,3
205.943011363626,4
213.943011363626,5
229.943011363626,6
261.943011363626,7
293.943011363626,8
299.901757474603,1
300.901757474603,2
302.901757474603,3
306.901757474603,4
314.901757474603,5
330.901757474603,6
345.117475214256,1
346.117475214256,2
348.117475214256,3
352.117475214256,4
360.117475214256,5
376.117475214256,6
