X,frankfurt_urban_n_vehicles.MA[0].udp/rcvdPk:vector(packetBytes),frankfurt_urban_n_vehicles.MA[0].udpApp[0]/rcvdPk:vector(packetBytes)
30.818875253797,1008,1000
30.826381253797,1008,1000
30.838083253797,1008,1000
30.846381253797,1008,1000
30.856381253797,1008,1000
30.866381253797,1008,1000
30.876381253797,1008,1000
30.886381253797,1008,1000
30.896381253797,1008,1000
30.90744826284,1008,1000
30.91734926284,1008,1000
30.92638126284,1008,1000
30.93898826284,1008,1000
30.9469069987,1008,1000
30.95638126284,1008,1000
30.96717826284,1008,1000
30.97638126284,1008,1000
30.98638126284,1008,1000
30.99638126284,1008,1000
31.006980271877,1008,1000
31.017142271877,1008,1000
31.028628271877,1008,1000
31.037475271877,1008,1000
31.046381271877,1008,1000
31.056381271877,1008,1000
31.067016271877,1008,1000
31.077070271877,1008,1000
31.086381271877,1008,1000
31.096381271877,1008,1000
31.107367280769,1008,1000
31.116381280769,1008,1000
31.126944280769,1008,1000
31.137079280769,1008,1000
31.146381280769,1008,1000
31.156962280769,1008,1000
31.166381280769,1008,1000
31.176381280769,1008,1000
31.187322280769,1008,1000
31.197385280769,1008,1000
31.206381289517,1008,1000
31.216381289517,1008,1000
31.227160289517,1008,1000
31.239668321441,1008,1000
31.246381289517,1008,1000
31.260685289517,1008,1000
31.266381289517,1008,1000
31.276381289517,1008,1000
31.286381289517,1008,1000
31.296381289517,1008,1000
31.30832629812,1008,1000
31.31962729812,1008,1000
31.33066729812,1008,1000
31.33735829812,1008,1000
31.37101429812,1008,1000
31.371818726168,1008,1000
31.37638129812,1008,1000
31.38638129812,1008,1000
31.39858729812,1008,1000
31.409010306578,1008,1000
31.417016306578,1008,1000
31.427034306578,1008,1000
31.436381306578,1008,1000
31.447196306578,1008,1000
31.462530306578,1008,1000
31.466381306578,1008,1000
31.476500423002,1008,1000
31.488524306578,1008,1000
31.496381306578,1008,1000
31.506998314892,1008,1000
31.516381314892,1008,1000
31.528731314892,1008,1000
31.536381314892,1008,1000
31.548587314892,1008,1000
31.556381314892,1008,1000
31.568452314892,1008,1000
31.577439314892,1008,1000
31.586944314892,1008,1000
31.597439314892,1008,1000
31.60638132306,1008,1000
31.61638132306,1008,1000
31.627728559058,1008,1000
31.63728632306,1008,1000
31.647564250114,1008,1000
31.65737632306,1008,1000
31.66638132306,1008,1000
31.67780432306,1008,1000
31.68638132306,1008,1000
31.69638132306,1008,1000
31.706381331083,1008,1000
31.717912331083,1008,1000
31.727831331083,1008,1000
31.736381331083,1008,1000
31.746381331083,1008,1000
31.756989331083,1008,1000
31.776711331083,1008,1000
31.790145825057,1008,1000
31.790689319031,1008,1000
31.796381331083,1008,1000
31.810833338961,1008,1000
31.816381338961,1008,1000
31.827142338961,1008,1000
31.838461338961,1008,1000
31.848686338961,1008,1000
31.857223338961,1008,1000
31.866381338961,1008,1000
31.876381338961,1008,1000
31.886971338961,1008,1000
31.898344338961,1008,1000
31.906381346693,1008,1000
31.916998346693,1008,1000
31.926381346693,1008,1000
31.936381346693,1008,1000
31.949258346693,1008,1000
31.956381346693,1008,1000
31.967376346693,1008,1000
31.979609346693,1008,1000
31.987331346693,1008,1000
31.996381346693,1008,1000
32.006381354279,1008,1000
32.016381354279,1008,1000
32.027705354279,1008,1000
32.037466354279,1008,1000
32.046381354279,1008,1000
32.056381354279,1008,1000
32.066381354279,1008,1000
32.076381354279,1008,1000
32.087304354279,1008,1000
32.096381354279,1008,1000
32.106381361719,1008,1000
32.116381361719,1008,1000
32.126381361719,1008,1000
32.136381361719,1008,1000
32.146779114743,1008,1000
32.158565361719,1008,1000
32.168083361719,1008,1000
32.177124361719,1008,1000
32.186381361719,1008,1000
32.196381361719,1008,1000
32.210203369014,1008,1000
32.219195369014,1008,1000
32.228362369014,1008,1000
32.238470369014,1008,1000
32.248857369014,1008,1000
32.256381369014,1008,1000
32.266381369014,1008,1000
32.278191369014,1008,1000
32.28778593885,1008,1000
32.296381369014,1008,1000
32.306962376162,1008,1000
32.316381376162,1008,1000
32.329510376162,1008,1000
32.337484376162,1008,1000
32.347484376162,1008,1000
32.356381376162,1008,1000
32.369681376162,1008,1000
32.376381376162,1008,1000
32.387475376162,1008,1000
32.396381376162,1008,1000
32.412161383165,1008,1000
32.416944383165,1008,1000
32.426381383165,1008,1000
32.453889383165,1008,1000
32.454441981303,1008,1000
32.456381383165,1008,1000
32.468218383165,1008,1000
32.477642383165,1008,1000
32.487196383165,1008,1000
32.513142390024,1008,1000
32.514322390024,1008,1000
32.517070390024,1008,1000
32.526381390024,1008,1000
32.536381390024,1008,1000
32.546953390024,1008,1000
32.561400390024,1008,1000
32.582486390024,1008,1000
32.588434390024,1008,1000
32.597376390024,1008,1000
32.608799396829,1008,1000
32.621386022295,1008,1000
32.639771396829,1008,1000
32.641040022295,1008,1000
32.646381396829,1008,1000
32.657482325132,1008,1000
32.666381396829,1008,1000
32.677993396829,1008,1000
32.686381396829,1008,1000
32.696381396829,1008,1000
32.706381403484,1008,1000
32.716935403484,1008,1000
32.727025403484,1008,1000
32.736381403484,1008,1000
32.746381403484,1008,1000
32.757367403484,1008,1000
32.780619403484,1008,1000
32.787223403484,1008,1000
32.817481409989,1008,1000
32.818809061775,1008,1000
32.827259409989,1008,1000
32.847930409989,1008,1000
32.859529770649,1008,1000
32.867142409989,1008,1000
32.878326409989,1008,1000
32.886381409989,1008,1000
32.896381409989,1008,1000
32.912616416345,1008,1000
32.916381416345,1008,1000
32.933223416345,1008,1000
32.943061416345,1008,1000
32.946381416345,1008,1000
32.956381416345,1008,1000
32.966381416345,1008,1000
32.976381416345,1008,1000
32.988560416345,1008,1000
33.00393508705,1008,1000
33.006381422552,1008,1000
33.016381422552,1008,1000
33.028470422552,1008,1000
33.036381422552,1008,1000
33.046381422552,1008,1000
33.056662896676,1008,1000
33.066381422552,1008,1000
33.077349422552,1008,1000
33.086381422552,1008,1000
33.097768422552,1008,1000
33.107259428609,1008,1000
33.116381428609,1008,1000
33.149100428609,1008,1000
33.149761117635,1008,1000
33.152537806661,1008,1000
33.161238428609,1008,1000
33.187327428609,1008,1000
33.199664117635,1008,1000
33.200324812568,1008,1000
33.202638513408,1008,1000
33.208038434516,1008,1000
33.216381434516,1008,1000
33.229861434516,1008,1000
33.237223434516,1008,1000
33.251418434516,1008,1000
33.258074434516,1008,1000
33.267142434516,1008,1000
33.280590434516,1008,1000
33.287232434516,1008,1000
33.301725440274,1008,1000
33.310158440274,1008,1000
33.318520440274,1008,1000
33.327097440274,1008,1000
33.338569440274,1008,1000
33.346381440274,1008,1000
