X,frankfurt_urban_n_vehicles_mipv6.MA[7].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
218.63698345489,1
219.63698345489,2
221.63698345489,3
225.63698345489,4
233.63698345489,5
249.63698345489,6
281.63698345489,7
297.791936977153,1
298.791936977153,2
300.791936977153,3
304.791936977153,4
312.791936977153,5
328.791936977153,6
347.165704421365,1
348.165704421365,2
350.165704421365,3
354.165704421365,4
362.165704421365,5
378.165704421365,6
410.165704421365,7
415.209575696687,1
416.209575696687,2
418.209575696687,3
422.209575696687,4
430.209575696687,5
