X,frankfurt_urban_n_vehicles_mipv6.MA[1].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
189.175188786552,1
190.175188786552,2
192.175188786552,3
196.175188786552,4
204.175188786552,5
220.175188786552,6
252.175188786552,7
284.175188786552,8
296.25466401239,1
297.25466401239,2
299.25466401239,3
303.25466401239,4
311.25466401239,5
327.25466401239,6
334.965572716144,1
335.965572716144,2
337.965572716144,3
341.965572716144,4
349.965572716144,5
365.965572716144,6
397.965572716144,7
401.033437868045,1
402.033437868045,2
