X,frankfurt_urban_n_vehicles.MA[3].idLayer/sequenceUpdateCa:vector
197.409352442339,1
299.116086377981,2
338.295721832817,3
376.854418432835,4
377.354418432835,5
377.854418432835,6
378.354418432835,7
378.411265670513,8
378.911265670513,9
379.411265670513,10
379.911265670513,11
380.411265670513,12
380.911265670513,13
381.411265670513,14
381.581297554876,15
382.081297554876,16
382.581297554876,17
383.081297554876,18
383.250907197915,19
383.750907197915,20
384.250907197915,21
384.750907197915,22
385.250907197915,23
385.750907197915,24
386.250907197915,25
386.750907197915,26
387.250907197915,27
387.750907197915,28
388.250907197915,29
388.750907197915,30
389.250907197915,31
389.750907197915,32
390.250907197915,33
390.750907197915,34
391.250907197915,35
391.750907197915,36
392.250907197915,37
392.750907197915,38
393.250907197915,39
393.750907197915,40
394.250907197915,41
394.750907197915,42
395.250907197915,43
395.750907197915,44
396.250907197915,45
396.750907197915,46
397.250907197915,47
397.750907197915,48
398.250907197915,49
398.750907197915,50
399.250907197915,51
399.750907197915,52
400.250907197915,53
400.750907197915,54
401.250907197915,55
401.750907197915,56
401.911476071963,57
402.411476071963,58
402.911476071963,59
403.411476071963,60
403.80908265107,61
