X,frankfurt_urban_n_vehicles_mipv6.MA[0].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
182.884876309781,1
183.884876309781,2
185.884876309781,3
189.884876309781,4
197.884876309781,5
213.884876309781,6
245.884876309781,7
277.884876309781,8
295.416443670451,1
296.416443670451,2
298.416443670451,3
302.416443670451,4
310.416443670451,5
326.416443670451,6
335.61276336967,1
336.61276336967,2
338.61276336967,3
342.61276336967,4
350.61276336967,5
366.61276336967,6
377.79288042803,1
378.79288042803,2
380.79288042803,3
384.79288042803,4
392.79288042803,5
398.345763218976,6
398.61276336967,7
399.345763218976,7
