X,frankfurt_urban_multi_radio.MA[0].idLayer/sequenceUpdateCa:vector
39.069977839652,1
47.767599933243,2
63.283153176483,3
93.425307137128,4
104.774666171909,5
105.274666171909,6
105.774666171909,7
106.021132162642,8
111.939802388046,9
140.634018850038,10
141.805924019951,11
142.305924019951,12
142.805924019951,13
143.305924019951,14
143.805924019951,15
144.305924019951,16
144.805924019951,17
144.895419615855,18
145.395419615855,19
184.752049642826,20
186.262923557411,21
201.754743348927,22
225.718909555463,23
226.924502311784,24
264.009571728613,25
268.373698844169,26
270.198927766246,27
296.184654577245,28
398.225902677802,29
400.215306740305,30
413.298319752039,31
