X,frankfurt_urban_multi_radio.MA[0].idLayer/sequenceUpdateCa:vector
34.993379926344,1
43.768572884375,2
73.958384090969,3
89.580119027623,4
106.170710613825,5
107.463485464381,6
112.994750022469,7
137.996059955417,8
139.193245843117,9
147.899327609404,10
185.022451023003,11
186.30857665371,12
201.720939880281,13
232.903431735442,14
234.541349606906,15
262.707883358564,16
270.330859961487,17
272.385388826072,18
303.30963784853,19
403.131903708144,20
404.930569379778,21
417.351941960674,22
