X,frankfurt_urban_multi_radio.MA[0].idLayer/sequenceUpdateDa:vector
0.1,0
43.944490072729,1
43.945459647839,2
70.453265954544,3
70.463265954544,4
70.463265954544,5
70.463265954544,6
70.463265954544,7
70.463265954544,8
70.463265954544,9
70.463265954544,10
70.463265954544,11
70.463265954544,12
70.463265954544,13
70.463265954544,14
70.463265954544,15
70.463265954544,16
70.463265954544,17
92.823423247542,18
92.82447320468,19
100.569492001269,20
100.579492001269,21
100.579492001269,22
100.579492001269,23
100.579492001269,24
100.579492001269,25
100.579492001269,26
100.579492001269,27
100.579492001269,28
100.579492001269,29
100.579492001269,30
100.579492001269,31
100.579492001269,32
100.579492001269,33
100.579492001269,34
113.991445447098,35
113.992459239766,36
136.326481918008,37
136.336481918008,38
136.336481918008,39
136.336481918008,40
136.336481918008,41
136.336481918008,42
136.336481918008,43
136.336481918008,44
136.336481918008,45
136.336481918008,46
136.336481918008,47
149.457114954321,48
149.467114954321,49
149.467114954321,50
149.467114954321,51
149.467114954321,52
149.467114954321,53
149.467114954321,54
149.467114954321,55
149.467114954321,56
149.467114954321,57
149.467114954321,58
149.467114954321,59
149.467114954321,60
149.467114954321,61
149.467114954321,62
180.996883386404,63
181.006883386404,64
181.006883386404,65
181.006883386404,66
181.006883386404,67
181.006883386404,68
181.006883386404,69
181.006883386404,70
181.006883386404,71
181.006883386404,72
181.006883386404,73
181.006883386404,74
181.006883386404,75
181.006883386404,76
181.006883386404,77
182.137810379853,78
182.138388775757,79
182.209152302136,80
182.219152302136,81
182.219152302136,82
182.219152302136,83
182.219152302136,84
182.219152302136,85
182.219152302136,86
182.219152302136,87
182.219152302136,88
182.219152302136,89
182.219152302136,90
182.219152302136,91
182.219152302136,92
182.219152302136,93
182.219152302136,94
205.028288886769,95
205.029366044753,96
228.618194786461,97
228.628194786461,98
228.628194786461,99
228.628194786461,100
228.628194786461,101
228.628194786461,102
228.628194786461,103
228.628194786461,104
228.628194786461,105
228.628194786461,106
228.628194786461,107
228.628194786461,108
228.628194786461,109
228.628194786461,110
228.628194786461,111
228.697654027911,112
228.698142260401,113
229.67951352517,114
229.67951352517,115
229.67951352517,116
229.67951352517,117
229.67951352517,118
229.67951352517,119
229.67951352517,120
229.67951352517,121
229.67951352517,122
229.67951352517,123
229.67951352517,124
229.67951352517,125
229.67951352517,126
229.67951352517,127
229.748176265561,128
229.748685583127,129
268.591078742823,130
268.601078742823,131
268.601078742823,132
268.601078742823,133
268.601078742823,134
268.601078742823,135
268.601078742823,136
268.601078742823,137
268.601078742823,138
268.601078742823,139
268.601078742823,140
268.601078742823,141
268.601078742823,142
268.601078742823,143
268.601078742823,144
268.671914254179,145
268.672929013971,146
270.401444023265,147
270.411444023265,148
270.411444023265,149
270.411444023265,150
270.411444023265,151
270.411444023265,152
270.411444023265,153
270.411444023265,154
270.411444023265,155
270.411444023265,156
270.411444023265,157
270.411444023265,158
270.411444023265,159
270.411444023265,160
270.411444023265,161
301.985368681469,162
301.986436677399,163
302.055737028978,164
302.065737028978,165
302.065737028978,166
302.065737028978,167
302.065737028978,168
302.065737028978,169
302.065737028978,170
302.065737028978,171
302.065737028978,172
302.065737028978,173
302.065737028978,174
302.065737028978,175
302.065737028978,176
302.065737028978,177
302.065737028978,178
397.893586238962,179
397.903586238962,180
397.903586238962,181
397.903586238962,182
397.903586238962,183
397.903586238962,184
397.903586238962,185
397.903586238962,186
397.903586238962,187
397.903586238962,188
397.903586238962,189
397.903586238962,190
397.903586238962,191
397.903586238962,192
397.903586238962,193
399.681228071276,194
399.686014440562,195
399.701400813935,196
399.702470611871,197
399.702470611871,198
416.002295465771,199
416.012295465771,200
416.012295465771,201
416.012295465771,202
416.012295465771,203
416.012295465771,204
416.012295465771,205
416.012295465771,206
416.012295465771,207
416.012295465771,208
416.012295465771,209
416.012295465771,210
416.012295465771,211
416.012295465771,212
416.012295465771,213
416.080970110059,214
416.081966714751,215
