X,frankfurt_urban_multi_radio.MA[0].idLayer/sequenceUpdateCa:vector
34.794357589629,1
48.125458182516,2
48.625458182516,3
49.125458182516,4
49.625458182516,5
50.125458182516,6
50.625458182516,7
51.125458182516,8
51.625458182516,9
52.125458182516,10
52.625458182516,11
53.125458182516,12
53.625458182516,13
54.125458182516,14
54.625458182516,15
55.125458182516,16
55.625458182516,17
56.125458182516,18
56.625458182516,19
57.125458182516,20
57.625458182516,21
58.125458182516,22
58.625458182516,23
59.125458182516,24
59.625458182516,25
60.125458182516,26
60.625458182516,27
61.125458182516,28
61.625458182516,29
62.125458182516,30
62.625458182516,31
63.125458182516,32
63.625458182516,33
64.125458182516,34
64.625458182516,35
65.125458182516,36
65.619466078074,37
66.119466078074,38
66.619466078074,39
67.119466078074,40
67.619466078074,41
68.119466078074,42
68.619466078074,43
69.119466078074,44
69.619466078074,45
70.119466078074,46
70.619466078074,47
71.119466078074,48
71.619466078074,49
72.119466078074,50
72.619466078074,51
73.119466078074,52
73.619466078074,53
74.119466078074,54
74.619466078074,55
75.119466078074,56
75.619466078074,57
76.119466078074,58
76.619466078074,59
77.119466078074,60
77.619466078074,61
78.119466078074,62
78.619466078074,63
79.119466078074,64
79.619466078074,65
80.119466078074,66
80.619466078074,67
81.119466078074,68
81.619466078074,69
82.119466078074,70
82.619466078074,71
83.119466078074,72
83.619466078074,73
84.119466078074,74
84.619466078074,75
85.119466078074,76
85.619466078074,77
86.119466078074,78
86.619466078074,79
87.119466078074,80
87.619466078074,81
88.119466078074,82
88.619466078074,83
88.83613621691,84
89.33613621691,85
89.83613621691,86
90.33613621691,87
90.83613621691,88
91.33613621691,89
91.83613621691,90
92.33613621691,91
92.83613621691,92
93.33613621691,93
93.83613621691,94
94.33613621691,95
94.83613621691,96
95.33613621691,97
95.83613621691,98
96.33613621691,99
96.83613621691,100
97.33613621691,101
97.83613621691,102
98.33613621691,103
98.83613621691,104
99.33613621691,105
99.83613621691,106
100.33613621691,107
100.83613621691,108
101.33613621691,109
101.83613621691,110
102.33613621691,111
102.83613621691,112
103.33613621691,113
103.83613621691,114
104.33613621691,115
104.83613621691,116
105.33613621691,117
105.83613621691,118
106.33613621691,119
106.730127109246,120
107.230127109246,121
107.730127109246,122
107.836239040033,123
115.048310799255,124
135.860482136142,125
136.964471950184,126
153.22029093611,127
153.72029093611,128
154.22029093611,129
154.72029093611,130
155.22029093611,131
155.72029093611,132
156.22029093611,133
156.72029093611,134
157.22029093611,135
157.72029093611,136
158.22029093611,137
158.72029093611,138
159.22029093611,139
159.72029093611,140
160.22029093611,141
160.72029093611,142
161.22029093611,143
161.72029093611,144
162.22029093611,145
162.72029093611,146
163.22029093611,147
163.72029093611,148
164.22029093611,149
164.72029093611,150
165.22029093611,151
165.72029093611,152
166.22029093611,153
166.72029093611,154
167.22029093611,155
167.72029093611,156
168.22029093611,157
168.72029093611,158
169.22029093611,159
169.72029093611,160
170.22029093611,161
170.72029093611,162
171.22029093611,163
171.72029093611,164
172.22029093611,165
172.72029093611,166
173.22029093611,167
173.72029093611,168
174.22029093611,169
174.72029093611,170
175.22029093611,171
175.72029093611,172
176.22029093611,173
176.72029093611,174
177.22029093611,175
177.72029093611,176
178.22029093611,177
178.72029093611,178
179.22029093611,179
179.72029093611,180
180.22029093611,181
180.72029093611,182
181.22029093611,183
181.72029093611,184
182.22029093611,185
182.72029093611,186
183.22029093611,187
183.72029093611,188
184.22029093611,189
184.72029093611,190
185.22029093611,191
185.674800821117,192
186.174800821117,193
186.674800821117,194
186.789821201073,195
187.289821201073,196
187.789821201073,197
188.289821201073,198
188.789821201073,199
189.289821201073,200
189.789821201073,201
190.289821201073,202
190.789821201073,203
191.289821201073,204
191.789821201073,205
192.289821201073,206
192.789821201073,207
193.289821201073,208
193.789821201073,209
194.289821201073,210
194.789821201073,211
195.289821201073,212
195.789821201073,213
196.289821201073,214
196.789821201073,215
197.289821201073,216
197.789821201073,217
198.289821201073,218
198.789821201073,219
199.289821201073,220
199.789821201073,221
200.289821201073,222
200.367649885221,223
200.867649885221,224
201.367649885221,225
201.867649885221,226
202.367649885221,227
202.867649885221,228
203.367649885221,229
203.867649885221,230
204.367649885221,231
204.867649885221,232
205.367649885221,233
205.867649885221,234
206.367649885221,235
206.867649885221,236
207.367649885221,237
207.867649885221,238
208.367649885221,239
