X,frankfurt_urban_multi_radio.MA[0].udp/rcvdPk:vector(packetBytes),frankfurt_urban_multi_radio.MA[0].udpApp[0]/rcvdPk:vector(packetBytes)
30.23558639363,1008,1000
30.24558639363,1008,1000
30.25630239363,1008,1000
30.26558639363,1008,1000
30.27558639363,1008,1000
30.28618539363,1008,1000
30.29558639363,1008,1000
30.305586407386,1008,1000
30.315586407386,1008,1000
30.325586407386,1008,1000
30.335586407386,1008,1000
30.345586407386,1008,1000
30.355586407386,1008,1000
30.365586407386,1008,1000
30.375586407386,1008,1000
30.385586407386,1008,1000
30.395586407386,1008,1000
30.405586421177,1008,1000
30.415586421177,1008,1000
30.425586421177,1008,1000
30.435586421177,1008,1000
30.445586421177,1008,1000
30.455586421177,1008,1000
30.465586421177,1008,1000
30.476626421177,1008,1000
30.485586421177,1008,1000
30.495586421177,1008,1000
30.506584571284,1008,1000
30.515586434965,1008,1000
30.525586434965,1008,1000
30.535586434965,1008,1000
30.545586434965,1008,1000
30.556239434965,1008,1000
30.565586434965,1008,1000
30.575586434965,1008,1000
30.585586434965,1008,1000
30.595586434965,1008,1000
30.605895814869,1008,1000
30.615586448799,1008,1000
30.625586448799,1008,1000
30.635586448799,1008,1000
30.645586448799,1008,1000
30.655586448799,1008,1000
30.665586448799,1008,1000
30.678098448799,1008,1000
30.685586448799,1008,1000
30.695586448799,1008,1000
30.705586462649,1008,1000
30.716653462649,1008,1000
30.725586462649,1008,1000
30.737264637298,1008,1000
30.745586462649,1008,1000
30.755586462649,1008,1000
30.765586462649,1008,1000
30.775586462649,1008,1000
30.785586462649,1008,1000
30.795586462649,1008,1000
30.805586476545,1008,1000
30.815586476545,1008,1000
30.825586476545,1008,1000
30.835586476545,1008,1000
30.845586476545,1008,1000
30.855586476545,1008,1000
30.865586476545,1008,1000
30.875586476545,1008,1000
30.885586476545,1008,1000
30.895586476545,1008,1000
30.906347490459,1008,1000
30.915586490459,1008,1000
30.925586490459,1008,1000
30.935586490459,1008,1000
30.945586490459,1008,1000
30.955586490459,1008,1000
30.965586490459,1008,1000
30.975586490459,1008,1000
30.985586490459,1008,1000
30.996131490459,1008,1000
31.005586504401,1008,1000
31.015586504401,1008,1000
31.025586504401,1008,1000
31.035586504401,1008,1000
31.045586504401,1008,1000
31.056923591078,1008,1000
31.065586504401,1008,1000
31.076410504401,1008,1000
31.086590504401,1008,1000
31.095586504401,1008,1000
31.105586518495,1008,1000
31.115586518495,1008,1000
31.126239518495,1008,1000
31.135586518495,1008,1000
31.145586518495,1008,1000
31.155586518495,1008,1000
31.165586518495,1008,1000
31.175586518495,1008,1000
31.185586518495,1008,1000
31.195586518495,1008,1000
31.205586532868,1008,1000
31.215586532868,1008,1000
31.225586532868,1008,1000
31.235586532868,1008,1000
31.245586532868,1008,1000
31.255586532868,1008,1000
31.265586532868,1008,1000
31.275586532868,1008,1000
31.285586532868,1008,1000
31.295586532868,1008,1000
31.305586547343,1008,1000
31.315586547343,1008,1000
31.325586547343,1008,1000
31.33573182165,1008,1000
31.346392547343,1008,1000
31.355586547343,1008,1000
31.365586547343,1008,1000
31.375586547343,1008,1000
31.386644547343,1008,1000
31.395586547343,1008,1000
31.405586561621,1008,1000
31.415578778171,1008,1000
31.425586561621,1008,1000
31.435586561621,1008,1000
31.447477561621,1008,1000
31.456185561621,1008,1000
31.465586561621,1008,1000
31.475586561621,1008,1000
31.485586561621,1008,1000
31.496581561621,1008,1000
31.5064627198,1008,1000
31.51558657552,1008,1000
31.52558657552,1008,1000
31.53558657552,1008,1000
31.54558657552,1008,1000
31.55558657552,1008,1000
31.566213888157,1008,1000
31.57668957552,1008,1000
31.58558657552,1008,1000
31.59747757552,1008,1000
31.605586589209,1008,1000
31.616167589209,1008,1000
31.625586589209,1008,1000
31.635586589209,1008,1000
31.645586589209,1008,1000
31.655586589209,1008,1000
31.665586589209,1008,1000
31.676167589209,1008,1000
31.685586589209,1008,1000
31.696329589209,1008,1000
31.705586602778,1008,1000
31.715586602778,1008,1000
31.746118602778,1008,1000
31.746733738864,1008,1000
31.74738487495,1008,1000
31.757513602778,1008,1000
31.765586602778,1008,1000
31.775586602778,1008,1000
31.786203602778,1008,1000
31.795586602778,1008,1000
31.805586616226,1008,1000
31.816284616226,1008,1000
31.825586616226,1008,1000
31.835586616226,1008,1000
31.845586616226,1008,1000
31.855586616226,1008,1000
31.866599616226,1008,1000
31.876410616226,1008,1000
31.885586616226,1008,1000
31.895586616226,1008,1000
31.905586629551,1008,1000
31.915586629551,1008,1000
31.925586629551,1008,1000
31.935586629551,1008,1000
31.945586629551,1008,1000
31.955586629551,1008,1000
31.965586629551,1008,1000
31.976428629551,1008,1000
31.987047603294,1008,1000
31.995586629551,1008,1000
32.007675642752,1008,1000
32.015586642752,1008,1000
32.025586642752,1008,1000
32.036653642752,1008,1000
32.046140642752,1008,1000
32.056374642752,1008,1000
32.065586642752,1008,1000
32.075586642752,1008,1000
32.085586642752,1008,1000
32.095586642752,1008,1000
32.107702655827,1008,1000
32.115586655827,1008,1000
32.125586655827,1008,1000
32.135586655827,1008,1000
32.145586655827,1008,1000
32.156212655827,1008,1000
32.166725068122,1008,1000
32.175586655827,1008,1000
32.185586655827,1008,1000
32.195586655827,1008,1000
32.206194668776,1008,1000
32.216527668776,1008,1000
32.225586668776,1008,1000
32.235586668776,1008,1000
32.245586668776,1008,1000
32.255586668776,1008,1000
32.267306466389,1008,1000
32.275586668776,1008,1000
32.286410668776,1008,1000
32.296239668776,1008,1000
32.305586681606,1008,1000
32.315586681606,1008,1000
32.326509681606,1008,1000
32.335586681606,1008,1000
32.345586681606,1008,1000
32.355586681606,1008,1000
32.367153681606,1008,1000
32.376500681606,1008,1000
32.385586681606,1008,1000
32.396077132231,1008,1000
32.405586694307,1008,1000
32.416644694307,1008,1000
32.425586694307,1008,1000
32.437324694307,1008,1000
32.445586694307,1008,1000
32.456527694307,1008,1000
32.465586694307,1008,1000
32.477675694307,1008,1000
32.485586694307,1008,1000
32.497990694307,1008,1000
32.505586706878,1008,1000
32.515586706878,1008,1000
32.525586706878,1008,1000
32.535586706878,1008,1000
32.545586706878,1008,1000
32.556257706878,1008,1000
32.566356706878,1008,1000
32.575586706878,1008,1000
32.585586706878,1008,1000
32.595586706878,1008,1000
32.60558671932,1008,1000
32.61558671932,1008,1000
32.62663571932,1008,1000
32.63663571932,1008,1000
32.64558671932,1008,1000
32.656493130258,1008,1000
32.66558671932,1008,1000
32.67558671932,1008,1000
32.68795471932,1008,1000
32.69558671932,1008,1000
32.70558673163,1008,1000
32.717546497199,1008,1000
32.72558673163,1008,1000
32.73558673163,1008,1000
32.74558673163,1008,1000
32.75807673163,1008,1000
32.76558673163,1008,1000
32.77667173163,1008,1000
32.78558673163,1008,1000
32.79558673163,1008,1000
32.805586743808,1008,1000
32.819012743808,1008,1000
32.826554743808,1008,1000
32.835586743808,1008,1000
32.845586743808,1008,1000
32.855586743808,1008,1000
32.86814535922,1008,1000
32.876383743808,1008,1000
32.887693743808,1008,1000
32.904228755854,1008,1000
32.907618198092,1008,1000
32.916158755854,1008,1000
32.925586755854,1008,1000
32.935586755854,1008,1000
32.960533755854,1008,1000
32.963072198092,1008,1000
32.985416755854,1008,1000
32.988130198092,1008,1000
32.98893464033,1008,1000
32.995566306137,1008,1000
33.006883767766,1008,1000
33.016563767766,1008,1000
33.025586767766,1008,1000
33.035586767766,1008,1000
33.048706767766,1008,1000
33.055586767766,1008,1000
33.065586767766,1008,1000
33.075586767766,1008,1000
33.086937767766,1008,1000
33.096464767766,1008,1000
33.105586779544,1008,1000
33.115586779544,1008,1000
33.126302779544,1008,1000
33.135586779544,1008,1000
33.145586779544,1008,1000
33.156455779544,1008,1000
33.165586779544,1008,1000
33.192635779544,1008,1000
33.194832269162,1008,1000
33.19560975878,1008,1000
33.205586791219,1008,1000
33.215586791219,1008,1000
33.228160379832,1008,1000
33.238157791219,1008,1000
33.247198791219,1008,1000
33.260791598159,1008,1000
33.266482791219,1008,1000
33.275586791219,1008,1000
33.287585791219,1008,1000
33.296185791219,1008,1000
33.306158802785,1008,1000
33.315586802785,1008,1000
33.326239802785,1008,1000
33.335586802785,1008,1000
33.345586802785,1008,1000
33.356599802785,1008,1000
33.365586802785,1008,1000
33.375586802785,1008,1000
33.387954802785,1008,1000
33.397315802785,1008,1000
33.406662814214,1008,1000
33.415586814214,1008,1000
33.426149814214,1008,1000
33.43581929807,1008,1000
33.445586814214,1008,1000
33.455586814214,1008,1000
33.467231952498,1008,1000
33.475586814214,1008,1000
33.485586814214,1008,1000
33.500187814214,1008,1000
33.505586825504,1008,1000
33.516509825504,1008,1000
33.526131825504,1008,1000
33.538418825504,1008,1000
33.545586825504,1008,1000
33.557711825504,1008,1000
33.565586825504,1008,1000
33.598432825504,1008,1000
33.603875418194,1008,1000
33.606820836656,1008,1000
33.624485836656,1008,1000
33.625586836656,1008,1000
33.635586836656,1008,1000
33.646500836656,1008,1000
33.655586836656,1008,1000
33.665586836656,1008,1000
33.678634836656,1008,1000
33.702164847669,1008,1000
33.708049847669,1008,1000
33.717621847669,1008,1000
33.737311847669,1008,1000
33.738828473537,1008,1000
33.745586847669,1008,1000
33.756437847669,1008,1000
33.768080847669,1008,1000
33.776239847669,1008,1000
33.785586847669,1008,1000
33.796554847669,1008,1000
33.805586858543,1008,1000
33.823823858543,1008,1000
33.831182546814,1008,1000
33.836239858543,1008,1000
33.846221858543,1008,1000
33.855586858543,1008,1000
33.865586858543,1008,1000
33.876293858543,1008,1000
33.885586858543,1008,1000
33.897270858543,1008,1000
33.907468869277,1008,1000
33.920191869277,1008,1000
33.926446869277,1008,1000
33.935586869277,1008,1000
33.952406869277,1008,1000
33.959237869277,1008,1000
33.980497869277,1008,1000
33.981203538361,1008,1000
33.986203869277,1008,1000
33.995586869277,1008,1000
34.005586879871,1008,1000
34.021672879871,1008,1000
34.026536879871,1008,1000
34.035586879871,1008,1000
34.047126879871,1008,1000
34.056172606472,1008,1000
34.073931879871,1008,1000
34.076010570143,1008,1000
34.087675879871,1008,1000
34.100880890325,1008,1000
34.105586890325,1008,1000
34.115586890325,1008,1000
34.126311890325,1008,1000
34.137032816902,1008,1000
34.146419890325,1008,1000
34.162104890325,1008,1000
34.165586890325,1008,1000
34.175586890325,1008,1000
34.185586890325,1008,1000
34.201717900637,1008,1000
34.207567900637,1008,1000
34.216500900637,1008,1000
34.225586900637,1008,1000
34.237828900637,1008,1000
34.245586900637,1008,1000
34.255586900637,1008,1000
34.265586900637,1008,1000
34.276617900637,1008,1000
34.285586900637,1008,1000
34.295586900637,1008,1000
34.305586910813,1008,1000
34.316428910813,1008,1000
34.326644910813,1008,1000
34.338026910813,1008,1000
34.346356910813,1008,1000
34.378027910813,1008,1000
34.380692662969,1008,1000
34.385586910813,1008,1000
34.402212920846,1008,1000
34.406302920846,1008,1000
34.417297920846,1008,1000
34.425586920846,1008,1000
34.435586920846,1008,1000
34.446599920846,1008,1000
34.470218920846,1008,1000
34.476653920846,1008,1000
34.498720920846,1008,1000
34.50137170296,1008,1000
34.526114930738,1008,1000
34.530179722744,1008,1000
34.536473930738,1008,1000
34.552464930738,1008,1000
34.556527930738,1008,1000
34.570844930738,1008,1000
34.576149930738,1008,1000
34.586527930738,1008,1000
34.608725940489,1008,1000
34.615586940489,1008,1000
34.626662940489,1008,1000
34.637558940489,1008,1000
34.645586940489,1008,1000
34.655580766748,1008,1000
34.665586940489,1008,1000
34.676320940489,1008,1000
34.687621940489,1008,1000
34.695586940489,1008,1000
34.706464950097,1008,1000
34.717918950097,1008,1000
34.726230950097,1008,1000
34.735586950097,1008,1000
34.747126950097,1008,1000
34.762416950097,1008,1000
34.777350730019,1008,1000
34.782697560743,1008,1000
34.785586950097,1008,1000
34.796158950097,1008,1000
34.807900959563,1008,1000
34.815586959563,1008,1000
34.847043959563,1008,1000
34.849411809219,1008,1000
34.865727959563,1008,1000
34.883258809219,1008,1000
34.885954824152,1008,1000
34.895586959563,1008,1000
34.905586968886,1008,1000
34.916626968886,1008,1000
34.926239968886,1008,1000
34.935586968886,1008,1000
34.951807968886,1008,1000
34.971492968886,1008,1000
34.987456837188,1008,1000
34.98826170549,1008,1000
35.01790571467,1008,1000
35.018692601332,1008,1000
35.027203487994,1008,1000
35.051778374656,1008,1000
35.055928261318,1008,1000
35.072252261318,1008,1000
35.110722157017,1008,1000
35.113607061753,1008,1000
35.115586966489,1008,1000
35.120303871225,1008,1000
35.124760775961,1008,1000
35.126293987103,1008,1000
35.136446987103,1008,1000
35.145586987103,1008,1000
35.167743987103,1008,1000
35.169017891839,1008,1000
35.179174987103,1008,1000
35.191325891839,1008,1000
35.198089987103,1008,1000
35.206284995997,1008,1000
35.236970995997,1008,1000
35.239333918521,1008,1000
35.246680995997,1008,1000
35.265108995997,1008,1000
35.284668918521,1008,1000
35.286135841045,1008,1000
35.287782763569,1008,1000
35.328651004748,1008,1000
35.329919944774,1008,1000
35.3319448848,1008,1000
35.339193004748,1008,1000
35.346690004748,1008,1000
35.355587004748,1008,1000
35.379389004748,1008,1000
35.386348004748,1008,1000
35.416830013355,1008,1000
35.432660970595,1008,1000
35.433330927835,1008,1000
35.447605013355,1008,1000
35.450359970595,1008,1000
35.458671013355,1008,1000
35.465587013355,1008,1000
35.475587013355,1008,1000
35.488329013355,1008,1000
35.499824013355,1008,1000
35.506591021818,1008,1000
35.522906021818,1008,1000
35.526177021818,1008,1000
35.543892021818,1008,1000
35.545587021818,1008,1000
35.555587021818,1008,1000
35.581021021818,1008,1000
35.596967021818,1008,1000
35.605587030137,1008,1000
35.617451030137,1008,1000
35.627829030137,1008,1000
35.643356030137,1008,1000
35.660706030137,1008,1000
35.665587030137,1008,1000
35.677478030137,1008,1000
35.689598030137,1008,1000
35.721291038312,1008,1000
35.726702045466,1008,1000
35.75051105262,1008,1000
35.751172059774,1008,1000
35.755587038312,1008,1000
35.766357038312,1008,1000
35.775587038312,1008,1000
35.785587038312,1008,1000
35.797136038312,1008,1000
35.806447046343,1008,1000
35.815587046343,1008,1000
35.825587046343,1008,1000
35.836330046343,1008,1000
35.846636046343,1008,1000
35.855587046343,1008,1000
35.865587046343,1008,1000
35.875587046343,1008,1000
35.913623054002,1008,1000
35.949680092536,1008,1000
35.976384092536,1008,1000
35.98008413107,1008,1000
35.982168169604,1008,1000
35.987709208138,1008,1000
35.989698246672,1008,1000
35.995108285206,1008,1000
35.99668832374,1008,1000
36.007748061266,1008,1000
36.017262061266,1008,1000
36.026159061266,1008,1000
36.036600061266,1008,1000
36.058919061266,1008,1000
36.059607114328,1008,1000
36.069580061266,1008,1000
36.079148061266,1008,1000
36.087406061266,1008,1000
36.096213061266,1008,1000
36.125419067997,1008,1000
36.144308134521,1008,1000
36.161353201045,1008,1000
36.161898201045,1008,1000
36.199533267569,1008,1000
36.201613340529,1008,1000
36.222995419925,1008,1000
36.246450499321,1008,1000
36.247944578717,1008,1000
36.308914664503,1008,1000
36.330150756679,1008,1000
36.334309848855,1008,1000
36.335006941031,1008,1000
36.335749033207,1008,1000
36.339350125383,1008,1000
36.340047217559,1008,1000
36.345835309735,1008,1000
36.348792401911,1008,1000
36.356609080823,1008,1000
36.367568080823,1008,1000
36.375587080823,1008,1000
36.387793080823,1008,1000
36.398189080823,1008,1000
36.406465087995,1008,1000
36.417379087995,1008,1000
36.425587087995,1008,1000
36.443262087995,1008,1000
36.465979087995,1008,1000
36.471200194515,1008,1000
36.476420087995,1008,1000
36.486330087995,1008,1000
36.535857095227,1008,1000
36.583127216211,1008,1000
36.591279337195,1008,1000
36.615224465413,1008,1000
36.620679600865,1008,1000
36.625761736317,1008,1000
36.630172871769,1008,1000
36.630726007221,1008,1000
36.646519102461,1008,1000
36.657271102461,1008,1000
36.679994102461,1008,1000
36.693721237913,1008,1000
36.696530373365,1008,1000
36.722644380603,1008,1000
36.737569530531,1008,1000
36.745037680459,1008,1000
36.747715830387,1008,1000
36.762693980315,1008,1000
36.791309130243,1008,1000
36.813665287401,1008,1000
36.841233451789,1008,1000
36.842633616177,1008,1000
36.847369780565,1008,1000
36.848827944953,1008,1000
36.867164109341,1008,1000
36.882269273729,1008,1000
36.887221438117,1008,1000
36.923752609731,1008,1000
36.932120788571,1008,1000
36.934217967411,1008,1000
36.949678146251,1008,1000
36.956970325091,1008,1000
36.992307503931,1008,1000
37.019128689989,1008,1000
37.021100883265,1008,1000
37.049187076541,1008,1000
37.073209076541,1008,1000
37.077202269817,1008,1000
37.137078470329,1008,1000
37.137730678077,1008,1000
37.206310065776,1008,1000
37.209565287976,1008,1000
37.214489510176,1008,1000
37.225597732376,1008,1000
37.226402954576,1008,1000
37.239644176776,1008,1000
37.288987176776,1008,1000
37.293629398976,1008,1000
37.294443621176,1008,1000
37.297774843376,1008,1000
37.300606072799,1008,1000
37.347111546091,1008,1000
37.414696789949,1008,1000
37.416236041019,1008,1000
37.416852292089,1008,1000
37.499585543159,1008,1000
37.501718801467,1008,1000
37.518248067013,1008,1000
37.534001067013,1008,1000
37.556887332559,1008,1000
37.572550598105,1008,1000
37.578326863651,1008,1000
37.579695129197,1008,1000
37.612736136431,1008,1000
37.618147136431,1008,1000
37.639373416445,1008,1000
37.639917696459,1008,1000
37.641294976473,1008,1000
37.670428976473,1008,1000
37.695122256487,1008,1000
37.740073543725,1008,1000
37.747720838187,1008,1000
37.751552132649,1008,1000
37.756926427111,1008,1000
37.757470721573,1008,1000
37.766874016035,1008,1000
37.780598016035,1008,1000
37.783069310497,1008,1000
37.786877604959,1008,1000
37.805506906659,1008,1000
37.821396215597,1008,1000
37.867118524535,1008,1000
37.869553833473,1008,1000
37.874897142411,1008,1000
37.892130451349,1008,1000
37.934096767529,1008,1000
37.936609090951,1008,1000
37.951364414373,1008,1000
37.953380737795,1008,1000
37.955546061217,1008,1000
37.958422384639,1008,1000
37.985248708061,1008,1000
38.00825603872,1008,1000
38.012919376616,1008,1000
38.049693714512,1008,1000
38.070415052408,1008,1000
38.074354390304,1008,1000
38.0756327282,1008,1000
38.112712073325,1008,1000
38.113328425679,1008,1000
38.157480778033,1008,1000
38.159880130387,1008,1000
38.164805482741,1008,1000
38.222979842332,1008,1000
38.22620820916,1008,1000
38.26169220916,1008,1000
38.389176583254,1008,1000
38.396058964614,1008,1000
38.430263353218,1008,1000
38.452294144914,1008,1000
38.455359540762,1008,1000
38.45879893661,1008,1000
38.459505332458,1008,1000
38.529100735572,1008,1000
38.542802735572,1008,1000
38.559218145952,1008,1000
38.562364556332,1008,1000
38.573418966712,1008,1000
38.61230138434,1008,1000
38.616501809216,1008,1000
38.720752241339,1008,1000
38.738877680709,1008,1000
38.751633120079,1008,1000
38.754437559449,1008,1000
