X,frankfurt_urban_n_vehicles_mipv6.MA[1].udp/rcvdPk:vector(packetBytes),frankfurt_urban_n_vehicles_mipv6.MA[1].udpApp[0]/rcvdPk:vector(packetBytes)
33.808126758455,1008,1000
33.815184147523,1008,1000
33.816628536591,1008,1000
33.822586925659,1008,1000
33.824949314727,1008,1000
33.825663703795,1008,1000
33.826450092863,1008,1000
33.827191481931,1008,1000
33.827734870999,1008,1000
33.828314260067,1008,1000
33.829028649135,1008,1000
33.829698038203,1008,1000
33.830466427271,1008,1000
33.832202816339,1008,1000
33.832890205407,1008,1000
33.833559594475,1008,1000
33.838275983543,1008,1000
33.839877372611,1008,1000
33.845359761679,1008,1000
33.846817150747,1008,1000
33.848382539815,1008,1000
33.848988928883,1008,1000
33.852342317951,1008,1000
33.853700707019,1008,1000
33.861986096087,1008,1000
33.862790485155,1008,1000
33.865440874223,1008,1000
33.866110263291,1008,1000
33.867891652359,1008,1000
33.868588041427,1008,1000
33.869383430495,1008,1000
33.879122819563,1008,1000
33.881908208631,1008,1000
33.883401597699,1008,1000
33.884178986767,1008,1000
33.886865375835,1008,1000
33.887480764903,1008,1000
33.899138153971,1008,1000
33.906992549151,1008,1000
33.907688950443,1008,1000
33.909182351735,1008,1000
33.909887753027,1008,1000
33.912781154319,1008,1000
33.913486555611,1008,1000
33.914137956903,1008,1000
33.914870358195,1008,1000
33.925626759487,1008,1000
33.926314160779,1008,1000
33.926902562071,1008,1000
33.927472963363,1008,1000
33.928088364655,1008,1000
33.928640765947,1008,1000
33.929382167239,1008,1000
33.939850568531,1008,1000
33.941469969823,1008,1000
33.943729371115,1008,1000
33.944281772407,1008,1000
33.945919173699,1008,1000
33.946642574991,1008,1000
33.948495976283,1008,1000
33.949300377575,1008,1000
33.950095778867,1008,1000
33.950909180159,1008,1000
33.953028581451,1008,1000
33.954206982743,1008,1000
33.955700384035,1008,1000
33.958224785327,1008,1000
33.958939186619,1008,1000
33.959743587911,1008,1000
33.961943989203,1008,1000
33.962748390495,1008,1000
33.963291791787,1008,1000
33.963853193079,1008,1000
33.964657594371,1008,1000
33.966294995663,1008,1000
33.967036396955,1008,1000
33.968628798247,1008,1000
33.969897199539,1008,1000
33.970503600831,1008,1000
33.971290002123,1008,1000
33.972031403415,1008,1000
33.972808804707,1008,1000
33.973532205999,1008,1000
33.974309607291,1008,1000
33.976204008583,1008,1000
33.976747409875,1008,1000
33.977479811167,1008,1000
33.978113212459,1008,1000
33.978809613751,1008,1000
33.980213015043,1008,1000
33.982647416335,1008,1000
33.983190817627,1008,1000
33.984419218919,1008,1000
33.985106620211,1008,1000
33.986654021503,1008,1000
33.987296422795,1008,1000
33.988037824087,1008,1000
33.988590225379,1008,1000
33.989723626671,1008,1000
33.993678836637,1008,1000
34.003400064439,1008,1000
34.005842298207,1008,1000
34.007316531975,1008,1000
34.012099765743,1008,1000
34.014091999511,1008,1000
34.020082233279,1008,1000
34.022542467047,1008,1000
34.023998700815,1008,1000
34.026314934583,1008,1000
34.027564168351,1008,1000
34.031627402119,1008,1000
34.036145635887,1008,1000
34.051408049111,1008,1000
34.054733282879,1008,1000
34.076496516647,1008,1000
34.079898750415,1008,1000
34.083632984183,1008,1000
34.088353217951,1008,1000
34.089800451719,1008,1000
34.090986685487,1008,1000
34.106723937433,1008,1000
34.110080195221,1008,1000
34.118149453009,1008,1000
34.132993710797,1008,1000
34.143681968585,1008,1000
34.167201393493,1008,1000
34.173241651281,1008,1000
34.175904909069,1008,1000
34.201887172612,1008,1000
34.210950454398,1008,1000
34.213654736184,1008,1000
34.22125601797,1008,1000
34.222604299756,1008,1000
34.226505581542,1008,1000
34.231887863328,1008,1000
34.233389145114,1008,1000
34.2367634269,1008,1000
34.258825708686,1008,1000
34.262497990472,1008,1000
34.268285272258,1008,1000
34.271533554044,1008,1000
34.27386783583,1008,1000
34.278102117616,1008,1000
34.298309554034,1008,1000
34.301949854073,1008,1000
34.304014159747,1008,1000
34.309175465421,1008,1000
34.313873771095,1008,1000
34.334116076769,1008,1000
34.337211382443,1008,1000
34.343749756987,1008,1000
34.351586062661,1008,1000
34.362089368335,1008,1000
34.363347674009,1008,1000
34.367135979683,1008,1000
34.371420285357,1008,1000
34.379535712431,1008,1000
34.391458712431,1008,1000
34.399351210941,1008,1000
34.409914216429,1008,1000
34.419351216429,1008,1000
34.449302859933,1008,1000
34.460634273305,1008,1000
34.464308686677,1008,1000
34.469266100049,1008,1000
34.479341513421,1008,1000
34.484312926793,1008,1000
34.489351216429,1008,1000
34.499512730629,1008,1000
34.510246748823,1008,1000
34.519896221817,1008,1000
34.532533748823,1008,1000
34.539351221817,1008,1000
34.561553748823,1008,1000
34.575306731221,1008,1000
34.581110183059,1008,1000
34.582911634897,1008,1000
34.592871748823,1008,1000
34.602420767019,1008,1000
34.628865767019,1008,1000
34.635152257099,1008,1000
34.641086747179,1008,1000
34.651215237259,1008,1000
34.658319727339,1008,1000
34.676151320985,1008,1000
34.678434811065,1008,1000
34.680623301145,1008,1000
34.694464767019,1008,1000
34.710288785214,1008,1000
34.717718313146,1008,1000
34.722162841078,1008,1000
34.73191836901,1008,1000
34.740863785214,1008,1000
34.751880785214,1008,1000
34.767056785214,1008,1000
34.769351232238,1008,1000
34.780854785214,1008,1000
34.789440785214,1008,1000
34.806232803404,1008,1000
34.818969803404,1008,1000
34.821059368894,1008,1000
34.82935123726,1008,1000
34.83935123726,1008,1000
34.85103523726,1008,1000
34.873473803404,1008,1000
34.878917368894,1008,1000
34.883703934384,1008,1000
34.89251623726,1008,1000
34.913131821608,1008,1000
34.918107424348,1008,1000
34.924924027088,1008,1000
34.931857629828,1008,1000
34.948709885702,1008,1000
34.951524488442,1008,1000
34.970941885702,1008,1000
34.976372488442,1008,1000
34.988672091182,1008,1000
34.993665693922,1008,1000
35.010839890513,1008,1000
35.017845530253,1008,1000
35.019719169993,1008,1000
35.030367577506,1008,1000
35.041619839827,1008,1000
35.053856839827,1008,1000
35.081638839827,1008,1000
35.087740479567,1008,1000
35.089911119307,1008,1000
35.093198759047,1008,1000
35.102956857992,1008,1000
35.113744857992,1008,1000
35.12216053429,1008,1000
35.130111857992,1008,1000
35.158825895194,1008,1000
35.176585608694,1008,1000
35.183146284992,1008,1000
35.197822998492,1008,1000
35.203397692943,1008,1000
35.219198405417,1008,1000
35.226978117891,1008,1000
35.238601830365,1008,1000
35.244491542839,1008,1000
35.251917255313,1008,1000
35.254344967787,1008,1000
35.260351680261,1008,1000
35.278951416341,1008,1000
35.298837128815,1008,1000
35.307995872746,1008,1000
35.313511621136,1008,1000
35.317591369526,1008,1000
35.327451117916,1008,1000
35.348721319088,1008,1000
35.351753067478,1008,1000
35.357147815868,1008,1000
35.384240564258,1008,1000
35.396269312648,1008,1000
35.409145075277,1008,1000
35.430629855361,1008,1000
35.442596639401,1008,1000
35.447329423441,1008,1000
35.451571207481,1008,1000
35.459548991521,1008,1000
35.463007775561,1008,1000
35.481958555645,1008,1000
35.493223339685,1008,1000
35.498023123725,1008,1000
35.506374925991,1008,1000
35.514343745373,1008,1000
35.538853564755,1008,1000
35.543487384137,1008,1000
35.556474203519,1008,1000
35.583048022901,1008,1000
35.591530842283,1008,1000
35.612376647843,1008,1000
35.619590502295,1008,1000
35.627555356747,1008,1000
35.648743179107,1008,1000
35.657469033559,1008,1000
35.675843888011,1008,1000
35.702791954983,1008,1000
35.712436844367,1008,1000
35.716503733751,1008,1000
35.720358623135,1008,1000
35.726509512519,1008,1000
35.751633355489,1008,1000
35.756798244873,1008,1000
35.776828134257,1008,1000
35.787610023641,1008,1000
35.799353913025,1008,1000
35.802587820728,1008,1000
35.82501868381,1008,1000
35.841549546892,1008,1000
35.871158409974,1008,1000
35.880122333894,1008,1000
35.889326257814,1008,1000
35.899559181734,1008,1000
35.902257130039,1008,1000
35.907773088181,1008,1000
35.914352046323,1008,1000
35.918423004465,1008,1000
35.930730962607,1008,1000
35.953824845363,1008,1000
35.956495803505,1008,1000
35.980078761647,1008,1000
35.991442719789,1008,1000
36.010497606244,1008,1000
36.025574508326,1008,1000
36.032284500488,1008,1000
36.04726549265,1008,1000
36.063584394732,1008,1000
36.079009296814,1008,1000
36.083724288976,1008,1000
36.085733281138,1008,1000
36.104779284285,1008,1000
36.124123205201,1008,1000
36.128307231023,1008,1000
36.157027151939,1008,1000
36.178230072855,1008,1000
36.189058098677,1008,1000
36.192796124499,1008,1000
36.217441153856,1008,1000
36.237445213148,1008,1000
36.262123152606,1008,1000
36.270835211898,1008,1000
36.290965151356,1008,1000
36.314639094231,1008,1000
36.338995051897,1008,1000
36.350058144425,1008,1000
36.372961102091,1008,1000
36.397874059757,1008,1000
36.42482602072,1008,1000
36.45160799608,1008,1000
36.47405697144,1008,1000
36.511312950017,1008,1000
36.530909108137,1008,1000
36.546517100877,1008,1000
36.591510779579,1008,1000
36.597616937699,1008,1000
36.619706933545,1008,1000
36.636402124057,1008,1000
36.656357133745,1008,1000
36.663436324257,1008,1000
36.693526333945,1008,1000
36.701123527464,1008,1000
36.718045750114,1008,1000
36.753842972764,1008,1000
36.758140195414,1008,1000
36.794334221686,1008,1000
36.812921823555,1008,1000
36.833808078103,1008,1000
36.846627120609,1008,1000
