X,frankfurt_urban_multi_radio.MA[0].udp/rcvdPk:vector(packetBytes),frankfurt_urban_multi_radio.MA[0].udpApp[0]/rcvdPk:vector(packetBytes)
30.254858485666,1008,1000
30.256162291272,1008,1000
30.256912096878,1008,1000
30.259100495496,1008,1000
30.269094222809,1008,1000
30.281396226868,1008,1000
30.289094236654,1008,1000
30.301785277561,1008,1000
30.309989984108,1008,1000
30.319094250515,1008,1000
30.33144125459,1008,1000
30.339094250515,1008,1000
30.349094250515,1008,1000
30.359094250515,1008,1000
30.369408250515,1008,1000
30.379094250515,1008,1000
30.389972264376,1008,1000
30.399476827222,1008,1000
30.4090942783,1008,1000
30.4194082783,1008,1000
30.4290942783,1008,1000
30.4399852783,1008,1000
30.4490942783,1008,1000
30.4590942783,1008,1000
30.469904537042,1008,1000
30.479972121414,1008,1000
30.489094292224,1008,1000
30.499094292224,1008,1000
30.510214481427,1008,1000
30.519094306143,1008,1000
30.530070648158,1008,1000
30.539688306143,1008,1000
30.551540310276,1008,1000
30.559725182914,1008,1000
30.569522006295,1008,1000
30.579094306143,1008,1000
30.590161320062,1008,1000
30.599566380227,1008,1000
30.61172625095,1008,1000
30.619611560916,1008,1000
30.62909433402,1008,1000
30.63940833402,1008,1000
30.64909433402,1008,1000
30.65909433402,1008,1000
30.66909433402,1008,1000
30.67977423282,1008,1000
30.689094347978,1008,1000
30.699522260736,1008,1000
30.709094361948,1008,1000
30.719094361948,1008,1000
30.729094361948,1008,1000
30.739094361948,1008,1000
30.749094361948,1008,1000
30.759094361948,1008,1000
30.771839118376,1008,1000
30.779738361948,1008,1000
30.789094375918,1008,1000
30.799918375918,1008,1000
30.809094390176,1008,1000
30.819850390176,1008,1000
30.829094390176,1008,1000
30.839094390176,1008,1000
30.849094390176,1008,1000
30.85966214242,1008,1000
30.869524878112,1008,1000
30.879094390176,1008,1000
30.89034635909,1008,1000
30.899927404434,1008,1000
30.909472387829,1008,1000
30.919094418915,1008,1000
30.930849418915,1008,1000
30.939094418915,1008,1000
30.952370418915,1008,1000
30.960201418915,1008,1000
30.969094418915,1008,1000
30.979770356743,1008,1000
30.990229416568,1008,1000
30.999094433396,1008,1000
31.009823447833,1008,1000
31.019094447833,1008,1000
31.031766479055,1008,1000
31.039094447833,1008,1000
31.049679445486,1008,1000
31.059094447833,1008,1000
31.069320383314,1008,1000
31.079824443139,1008,1000
31.08909446227,1008,1000
31.099382488841,1008,1000
31.109913476456,1008,1000
