X,frankfurt_urban_multi_radio.MA[0].idLayer/sequenceUpdateCa:vector
31.903779748989,1
43.888807235242,2
68.641444851111,3
90.489455815134,4
103.29058444775,5
104.704153025253,6
114.758384146968,7
135.911213689901,8
137.317668044981,9
151.00304574926,10
178.796251289468,11
180.62212637817,12
185.557394235708,13
187.358872676676,14
202.780477606992,15
223.632684742883,16
224.935081100249,17
257.653090939002,18
270.209087515126,19
271.898084425869,20
303.032790336695,21
396.860650783986,22
398.130456126545,23
413.268006113901,24
