X,frankfurt_urban_multi_radio.MA[0].idLayer/sequenceUpdateCa:vector
32.232135298639,1
46.140258158338,2
67.072105851806,3
92.002586793084,4
100.144521368722,5
101.283616827901,6
115.290768317311,7
138.01571062792,8
139.954095271416,9
148.600919002122,10
184.102636218065,11
185.81363636179,12
198.90833881356,13
224.004402908534,14
225.411170815137,15
262.699178881915,16
271.337495460082,17
272.99952991994,18
300.936795991081,19
400.127087834873,20
402.095772742392,21
409.154342297284,22
