X,frankfurt_urban_multi_radio.MA[0].idLayer/sequenceUpdateCa:vector
36.261714470504,1
44.220097372535,2
65.613461674558,3
90.681335719231,4
101.240418025801,5
102.650491442257,6
114.761801770073,7
141.683671640033,8
142.183671640033,9
142.683671640033,10
142.940002218847,11
146.456121123502,12
182.570173709957,13
183.850317935724,14
202.328756604974,15
229.27655726855,16
231.040017599751,17
265.161888770008,18
265.999924605799,19
266.82808697541,20
307.471924241859,21
403.20453356538,22
404.309521061548,23
408.495168014372,24
