X,frankfurt_urban_n_vehicles.MA[1].tcp/rcvd seq,frankfurt_urban_n_vehicles.MA[1].tcp/rcvd seq_0
107.439394604235,2.68513e+07,
107.509105126039,2.68513e+07,
107.579086482309,2.68513e+07,
107.581597776825,2.68513e+07,
107.648379832436,2.68513e+07,
107.65042910238,2.68513e+07,
107.652136372324,2.68513e+07,
107.652553507296,2.68513e+07,
107.717466170237,2.68513e+07,
107.719952292843,2.68513e+07,
107.721864845097,2.68513e+07,
107.723014980069,2.68513e+07,
107.724409102675,2.68513e+07,
107.726888225281,2.68513e+07,
107.728165347887,2.68513e+07,
107.728681470493,2.68513e+07,
107.787767363936,2.68513e+07,
107.788898777994,2.68513e+07,
107.867680216712,2.68514e+07,
107.8705253331,2.68514e+07,
107.87148644327,2.68514e+07,
107.87251355344,2.68514e+07,
107.87463966361,2.68514e+07,
107.87508377378,2.68514e+07,
107.87549188395,2.68514e+07,
107.87890910429,2.68514e+07,
107.88048121446,2.68514e+07,
107.88116732463,2.68514e+07,
107.8818354348,2.68514e+07,
107.88303854497,2.68514e+07,
107.88440465514,2.68514e+07,
107.88545676531,2.68514e+07,
107.937125529632,2.68514e+07,
107.939868514093,2.68514e+07,
107.940855908004,2.68514e+07,
108.020303602272,2.68515e+07,
108.021346687326,2.68515e+07,
108.02173677238,2.68515e+07,
108.022279857434,2.68515e+07,
108.023703712268,2.68515e+07,
108.025203809914,2.68515e+07,
108.025773894968,2.68515e+07,
108.026922005206,2.68515e+07,
108.02796509026,2.68515e+07,
108.028355175314,2.68515e+07,
108.030919298144,2.68515e+07,
108.03249239579,2.68515e+07,
108.033134480844,2.68515e+07,
108.034636565898,2.68515e+07,
108.092756218456,2.68515e+07,
108.095282992599,2.68515e+07,
108.095937077653,2.68515e+07,
108.174718472401,2.68516e+07,
108.176452544819,2.68516e+07,
108.178120617237,2.68516e+07,
108.178753689655,2.68516e+07,
108.180075762073,2.68516e+07,
108.182942834491,2.68516e+07,
108.184381906909,2.68516e+07,
108.185050979327,2.68516e+07,
108.185585051745,2.68516e+07,
108.187445196581,2.68516e+07,
108.187997268999,2.68516e+07,
108.188682341417,2.68516e+07,
108.189912413835,2.68516e+07,
108.191431486253,2.68516e+07,
108.245156045623,2.68516e+07,
108.245654105331,2.68516e+07,
108.246281165039,2.68516e+07,
108.325062540695,2.68517e+07,
108.327626587639,2.68517e+07,
108.328187634583,2.68517e+07,
108.329184681527,2.68517e+07,
108.329763728471,2.68517e+07,
108.330787775415,2.68517e+07,
108.331393822359,2.68517e+07,
108.331981869303,2.68517e+07,
108.333474916247,2.68517e+07,
108.333999963191,2.68517e+07,
108.334673560687,2.68517e+07,
108.335968197483,2.68517e+07,
