X,frankfurt_urban_n_vehicles_mipv6.MA[3].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
198.871911212403,1
199.871911212403,2
201.871911212403,3
205.871911212403,4
213.871911212403,5
229.871911212403,6
261.871911212403,7
293.871911212403,8
302.42444561169,1
303.42444561169,2
305.42444561169,3
309.42444561169,4
317.42444561169,5
333.42444561169,6
339.580762783602,1
340.580762783602,2
342.580762783602,3
346.580762783602,4
354.580762783602,5
370.580762783602,6
402.531280636475,1
403.531280636475,2
405.531280636475,3
409.531280636475,4
417.531280636475,5
433.531280636475,6
