X,frankfurt_urban_n_vehicles_mipv6.MA[6].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
186.168257523319,1
187.168257523319,2
189.168257523319,3
193.168257523319,4
201.168257523319,5
217.168257523319,6
249.168257523319,7
281.168257523319,8
304.064327030084,1
305.064327030084,2
307.064327030084,3
311.064327030084,4
319.064327030084,5
335.064327030084,6
342.662634813533,1
343.662634813533,2
345.662634813533,3
349.662634813533,4
357.662634813533,5
373.662634813533,6
379.816450198717,1
380.816450198717,2
382.816450198717,3
386.816450198717,4
394.816450198717,5
404.051907183064,6
405.662634813533,7
