X,frankfurt_urban.MA[0].udp/rcvdPk:vector(packetBytes),frankfurt_urban.MA[0].udpApp[0]/rcvdPk:vector(packetBytes)
30.254229370968,1008,1000
30.254799002924,1008,1000
30.25548563488,1008,1000
30.259120493248,1008,1000
30.269120493248,1008,1000
30.279120493248,1008,1000
30.29009278013,1008,1000
30.29912050444,1008,1000
30.309120517962,1008,1000
30.320128517962,1008,1000
30.329120517962,1008,1000
30.339120517962,1008,1000
30.349709088563,1008,1000
30.359120517962,1008,1000
30.369120517962,1008,1000
30.379506242272,1008,1000
30.38979188775,1008,1000
30.399120531484,1008,1000
30.411031822141,1008,1000
30.419120545031,1008,1000
30.431640466224,1008,1000
30.439120545031,1008,1000
30.449120545031,1008,1000
30.459120545031,1008,1000
30.469120545031,1008,1000
30.479160652651,1008,1000
30.489120558578,1008,1000
30.499132914495,1008,1000
30.509120572167,1008,1000
30.519741572167,1008,1000
30.531073493402,1008,1000
30.539120572167,1008,1000
30.55020464248,1008,1000
30.559120572167,1008,1000
30.569120572167,1008,1000
30.579120572167,1008,1000
30.589120585756,1008,1000
30.599120585756,1008,1000
30.609120599412,1008,1000
30.619120599412,1008,1000
30.629120599412,1008,1000
30.639798461762,1008,1000
30.649120599412,1008,1000
30.659120599412,1008,1000
30.669120599412,1008,1000
30.679816750547,1008,1000
30.689120613068,1008,1000
30.699120613068,1008,1000
30.709126125434,1008,1000
30.719741626754,1008,1000
30.729167308386,1008,1000
30.74185139471,1008,1000
30.749120626754,1008,1000
30.759120626754,1008,1000
30.769284597171,1008,1000
30.781188854436,1008,1000
30.78912064044,1008,1000
30.80020564044,1008,1000
30.81002965415,1008,1000
30.81985178955,1008,1000
30.829700500774,1008,1000
30.83912065415,1008,1000
30.84912065415,1008,1000
30.86115465415,1008,1000
30.86912065415,1008,1000
30.87912065415,1008,1000
30.892539323546,1008,1000
30.900240555641,1008,1000
30.909418691041,1008,1000
30.919120681621,1008,1000
30.929120681621,1008,1000
30.939120681621,1008,1000
30.949120681621,1008,1000
30.959120681621,1008,1000
30.969909351017,1008,1000
30.98009278013,1008,1000
30.990266470893,1008,1000
30.999120695382,1008,1000
31.009120709144,1008,1000
31.019120709144,1008,1000
31.029120709144,1008,1000
31.039120709144,1008,1000
31.049120709144,1008,1000
31.060898280031,1008,1000
31.069631358675,1008,1000
31.079860399907,1008,1000
31.089120722906,1008,1000
31.099120722906,1008,1000
31.109120736709,1008,1000
31.119120736709,1008,1000
31.129120736709,1008,1000
31.139120736709,1008,1000
31.149120736709,1008,1000
31.159120736709,1008,1000
31.169255897779,1008,1000
31.179120736709,1008,1000
31.189867750512,1008,1000
31.199424129259,1008,1000
31.209120764334,1008,1000
31.219120764334,1008,1000
31.23009278013,1008,1000
31.239120764334,1008,1000
31.251648685802,1008,1000
31.259120764334,1008,1000
31.269120764334,1008,1000
31.279992734716,1008,1000
31.290043778156,1008,1000
31.299120778156,1008,1000
31.309120792038,1008,1000
31.319682776242,1008,1000
31.330236792038,1008,1000
31.339434792038,1008,1000
31.349120792038,1008,1000
31.360007792038,1008,1000
31.369550746624,1008,1000
31.379882773836,1008,1000
31.38912080592,1008,1000
31.400968831728,1008,1000
31.41104681982,1008,1000
31.419776831728,1008,1000
31.42912081982,1008,1000
31.44012881982,1008,1000
31.449475831728,1008,1000
31.45912081982,1008,1000
31.471082741366,1008,1000
31.47912081982,1008,1000
31.490974741366,1008,1000
31.49912083372,1008,1000
31.509120847908,1008,1000
31.519120847908,1008,1000
31.530204887598,1008,1000
31.539120847908,1008,1000
31.549120847908,1008,1000
31.559120847908,1008,1000
31.569120847908,1008,1000
31.579120847908,1008,1000
31.589120862096,1008,1000
31.600161130493,1008,1000
31.609120876523,1008,1000
31.619600983991,1008,1000
31.630034876523,1008,1000
31.639120876523,1008,1000
31.649178403606,1008,1000
31.663375817062,1008,1000
31.669120876523,1008,1000
31.679120876523,1008,1000
31.691577259779,1008,1000
31.69912089095,1008,1000
31.709741905273,1008,1000
31.719548001666,1008,1000
31.729120905273,1008,1000
31.739120905273,1008,1000
31.750866827242,1008,1000
31.759120905273,1008,1000
31.769746905273,1008,1000
31.781180827242,1008,1000
31.790285116437,1008,1000
31.799120919596,1008,1000
31.810491184351,1008,1000
31.819120933665,1008,1000
31.829120933665,1008,1000
31.839120933665,1008,1000
31.849305058808,1008,1000
31.86215785538,1008,1000
31.87095685538,1008,1000
31.882021269972,1008,1000
31.889120947734,1008,1000
31.905140365659,1008,1000
31.909120961438,1008,1000
31.919120961438,1008,1000
31.930920882788,1008,1000
31.939728961438,1008,1000
31.949434961438,1008,1000
31.959120961438,1008,1000
31.969120961438,1008,1000
31.981855882788,1008,1000
31.989120975142,1008,1000
32.002256104972,1008,1000
32.009120988728,1008,1000
32.019120988728,1008,1000
32.034106988728,1008,1000
32.04009278013,1008,1000
32.049120988728,1008,1000
32.059120988728,1008,1000
32.069434988728,1008,1000
32.079885798896,1008,1000
32.09179890996,1008,1000
32.101383367678,1008,1000
32.109760015782,1008,1000
32.119121015782,1008,1000
32.12968322438,1008,1000
32.139121015782,1008,1000
32.151515015782,1008,1000
32.159121015782,1008,1000
32.169354034548,1008,1000
32.179855015782,1008,1000
32.189547460032,1008,1000
32.19987702925,1008,1000
32.210143042597,1008,1000
32.219121042597,1008,1000
32.23266196359,1008,1000
32.239121042597,1008,1000
32.253226042597,1008,1000
32.259814042597,1008,1000
32.269403122112,1008,1000
32.279121042597,1008,1000
32.289444305064,1008,1000
32.299683318411,1008,1000
32.309121069169,1008,1000
32.319435069169,1008,1000
32.332275867103,1008,1000
32.339121069169,1008,1000
32.35278319995,1008,1000
32.359121069169,1008,1000
32.371420279079,1008,1000
32.380620069169,1008,1000
32.389895082394,1008,1000
32.399121082394,1008,1000
32.409121095496,1008,1000
32.420755095496,1008,1000
32.430228095496,1008,1000
32.441709016244,1008,1000
32.45223033161,1008,1000
32.459620384535,1008,1000
32.470097384535,1008,1000
32.481397633874,1008,1000
