X,frankfurt_urban.MA[0].idLayer/sequenceUpdateDa:vector
0.1,0
45.28,1
45.29,2
45.3,3
45.31,4
45.32,5
45.33,6
45.34,7
45.35,8
45.36,9
45.37,10
45.38,11
45.39,12
45.4,13
45.41,14
45.42,15
45.43,16
45.44,17
45.45,18
45.46,19
45.47,20
45.48,21
45.49,22
45.5,23
45.51,24
45.52,25
45.53,26
45.54,27
45.55,28
45.56,29
45.57,30
45.58,31
45.59,32
45.6,33
45.61,34
45.62,35
45.63,36
45.64,37
45.65,38
45.66,39
45.67,40
45.68,41
45.69,42
45.7,43
45.71,44
45.72,45
45.73,46
45.74,47
45.75,48
45.76,49
45.77,50
45.78,51
45.79,52
45.8,53
45.81,54
45.82,55
45.83,56
45.84,57
45.85,58
45.86,59
45.87,60
45.88,61
45.89,62
45.9,63
45.91,64
45.92,65
45.93,66
45.94,67
45.95,68
45.96,69
45.97,70
45.98,71
45.99,72
46,73
46.01,74
46.02,75
46.03,76
46.04,77
46.05,78
46.06,79
46.07,80
46.08,81
46.09,82
46.1,83
46.11,84
46.12,85
46.13,86
46.14,87
46.15,88
46.16,89
46.17,90
46.18,91
46.19,92
46.2,93
46.21,94
46.22,95
46.23,96
46.24,97
46.25,98
46.26,99
46.27,100
46.28,101
46.29,102
46.3,103
46.31,104
46.32,105
46.33,106
46.34,107
46.35,108
46.36,109
46.37,110
46.38,111
46.39,112
46.4,113
46.41,114
46.42,115
46.43,116
46.44,117
46.45,118
46.46,119
46.47,120
46.48,121
46.49,122
46.5,123
46.51,124
46.52,125
46.53,126
46.54,127
46.55,128
46.56,129
46.57,130
46.58,131
46.59,132
46.6,133
46.61,134
46.62,135
46.63,136
46.64,137
46.65,138
46.66,139
46.67,140
46.68,141
46.69,142
46.7,143
46.71,144
46.72,145
46.73,146
46.74,147
46.75,148
46.76,149
46.77,150
46.78,151
46.79,152
46.8,153
46.81,154
46.82,155
46.83,156
46.84,157
46.85,158
46.86,159
46.87,160
46.88,161
46.89,162
46.9,163
46.91,164
46.92,165
46.93,166
46.94,167
46.95,168
