X,frankfurt_urban.MA[0].idLayer/sequenceUpdateDa:vector
0.1,0
44.99,1
45,2
45.01,3
45.02,4
45.03,5
45.04,6
45.05,7
45.06,8
45.07,9
45.08,10
45.09,11
45.1,12
45.11,13
45.12,14
45.13,15
45.14,16
45.15,17
45.16,18
45.17,19
45.18,20
45.19,21
45.2,22
45.21,23
45.22,24
45.23,25
45.24,26
45.25,27
45.26,28
45.27,29
45.28,30
45.29,31
45.3,32
45.31,33
45.32,34
45.33,35
45.34,36
45.35,37
45.36,38
45.37,39
45.38,40
45.39,41
45.4,42
45.41,43
45.42,44
45.43,45
45.44,46
45.45,47
45.46,48
45.47,49
45.48,50
45.49,51
45.5,52
45.51,53
45.52,54
45.53,55
45.54,56
45.55,57
45.56,58
45.57,59
45.58,60
45.59,61
45.6,62
45.61,63
45.62,64
45.63,65
45.64,66
45.65,67
45.66,68
45.67,69
45.68,70
45.69,71
45.7,72
45.71,73
45.72,74
45.73,75
45.74,76
45.75,77
45.76,78
45.77,79
45.78,80
45.79,81
45.8,82
45.81,83
45.82,84
45.83,85
45.84,86
45.85,87
45.86,88
45.87,89
45.88,90
45.89,91
45.9,92
45.91,93
45.92,94
45.93,95
45.94,96
45.95,97
45.96,98
45.97,99
45.98,100
45.99,101
46,102
46.01,103
46.02,104
46.03,105
46.04,106
46.05,107
46.06,108
46.07,109
46.08,110
46.09,111
46.1,112
46.11,113
46.12,114
46.13,115
46.14,116
46.15,117
46.16,118
46.17,119
46.18,120
46.19,121
46.2,122
46.21,123
46.22,124
46.23,125
46.24,126
46.25,127
46.26,128
46.27,129
46.28,130
46.29,131
46.3,132
46.31,133
46.32,134
46.33,135
46.34,136
46.35,137
46.36,138
46.37,139
46.38,140
46.39,141
46.4,142
46.41,143
46.42,144
46.43,145
46.44,146
46.45,147
46.46,148
46.47,149
46.48,150
46.49,151
46.5,152
46.51,153
46.52,154
46.53,155
46.54,156
46.55,157
46.56,158
46.57,159
46.58,160
46.59,161
46.6,162
46.61,163
46.62,164
46.63,165
46.64,166
46.65,167
46.66,168
46.67,169
46.68,170
46.69,171
46.7,172
46.71,173
46.72,174
46.73,175
46.74,176
46.75,177
46.76,178
46.77,179
46.78,180
46.79,181
46.8,182
46.81,183
46.82,184
46.83,185
46.84,186
46.85,187
46.86,188
46.87,189
46.88,190
46.89,191
46.9,192
46.91,193
46.92,194
46.93,195
46.94,196
46.95,197
46.96,198
46.97,199
46.98,200
46.99,201
47,202
47.01,203
47.02,204
47.03,205
47.04,206
47.05,207
47.06,208
47.07,209
47.08,210
47.09,211
47.1,212
47.11,213
47.12,214
47.13,215
47.14,216
47.15,217
47.16,218
47.17,219
47.18,220
47.19,221
47.2,222
47.21,223
47.22,224
47.23,225
47.24,226
47.25,227
47.26,228
47.27,229
47.28,230
47.29,231
47.3,232
47.31,233
47.32,234
47.33,235
47.34,236
47.35,237
47.36,238
47.37,239
47.38,240
47.39,241
47.4,242
47.41,243
47.42,244
47.43,245
47.44,246
47.45,247
47.46,248
47.47,249
47.48,250
47.49,251
47.5,252
47.51,253
47.52,254
47.53,255
47.54,256
47.55,257
47.56,258
47.57,259
47.58,260
47.59,261
47.6,262
47.61,263
47.62,264
47.63,265
47.64,266
47.65,267
47.66,268
47.67,269
47.68,270
47.69,271
47.7,272
47.71,273
47.72,274
47.73,275
47.74,276
47.75,277
47.76,278
47.77,279
47.78,280
47.79,281
47.8,282
47.81,283
47.82,284
47.83,285
47.84,286
47.85,287
47.86,288
47.87,289
47.88,290
47.89,291
47.9,292
47.91,293
47.92,294
47.93,295
47.94,296
47.95,297
47.96,298
47.97,299
47.98,300
47.99,301
48,302
48.01,303
48.02,304
48.03,305
48.04,306
48.05,307
48.06,308
48.07,309
48.08,310
48.09,311
48.1,312
48.11,313
48.12,314
48.13,315
48.14,316
48.15,317
48.16,318
48.17,319
48.18,320
48.19,321
48.2,322
48.21,323
48.22,324
48.23,325
48.24,326
48.25,327
48.26,328
48.27,329
48.28,330
48.29,331
48.3,332
48.31,333
48.32,334
48.33,335
48.34,336
48.35,337
48.36,338
48.37,339
48.38,340
48.39,341
48.4,342
48.41,343
48.42,344
48.43,345
48.44,346
48.45,347
48.46,348
48.47,349
48.48,350
48.49,351
48.5,352
48.51,353
48.52,354
48.53,355
48.54,356
48.55,357
48.56,358
48.57,359
48.58,360
48.59,361
48.6,362
48.61,363
48.62,364
48.63,365
48.64,366
48.65,367
48.66,368
48.67,369
48.68,370
48.69,371
48.7,372
48.71,373
48.72,374
48.73,375
48.74,376
48.75,377
48.76,378
48.77,379
48.78,380
48.79,381
48.8,382
48.81,383
48.82,384
48.83,385
48.84,386
48.85,387
48.86,388
48.87,389
48.88,390
48.89,391
48.9,392
48.91,393
48.92,394
48.93,395
48.94,396
48.95,397
48.96,398
48.97,399
48.98,400
48.99,401
