X,frankfurt_urban.MA[0].idLayer/sequenceUpdateDa:vector
0.1,0
47.86,1
47.87,2
47.88,3
47.89,4
47.9,5
47.91,6
47.92,7
47.93,8
47.94,9
47.95,10
47.96,11
47.97,12
47.98,13
47.99,14
48,15
48.01,16
48.02,17
48.03,18
48.04,19
48.05,20
48.06,21
48.07,22
48.08,23
48.09,24
48.1,25
48.11,26
48.12,27
48.13,28
48.14,29
48.15,30
48.16,31
48.17,32
48.18,33
48.19,34
48.2,35
48.21,36
48.22,37
48.23,38
48.24,39
48.25,40
48.26,41
48.27,42
48.28,43
48.29,44
48.3,45
48.31,46
48.32,47
48.33,48
48.34,49
48.35,50
48.36,51
48.37,52
48.38,53
48.39,54
48.4,55
48.41,56
48.42,57
48.43,58
48.44,59
48.45,60
48.46,61
48.47,62
48.48,63
48.49,64
48.5,65
48.51,66
48.52,67
48.53,68
48.54,69
48.55,70
48.56,71
48.57,72
48.58,73
48.59,74
48.6,75
48.61,76
48.62,77
48.63,78
48.64,79
48.65,80
48.66,81
48.67,82
48.68,83
48.69,84
48.7,85
48.71,86
48.72,87
48.73,88
48.74,89
48.75,90
48.76,91
48.77,92
48.78,93
48.79,94
48.8,95
48.81,96
48.82,97
48.83,98
48.84,99
48.85,100
48.86,101
48.87,102
48.88,103
48.89,104
48.9,105
48.91,106
48.92,107
48.93,108
48.94,109
48.95,110
48.96,111
48.97,112
48.98,113
48.99,114
49,115
49.01,116
49.02,117
49.03,118
49.04,119
49.05,120
49.06,121
49.07,122
49.08,123
49.09,124
49.1,125
49.11,126
49.12,127
49.13,128
49.14,129
49.15,130
49.16,131
49.17,132
49.18,133
49.19,134
49.2,135
49.21,136
49.22,137
49.23,138
49.24,139
49.25,140
49.26,141
49.27,142
49.28,143
49.29,144
49.3,145
49.31,146
49.32,147
49.33,148
49.34,149
49.35,150
49.36,151
49.37,152
49.38,153
49.39,154
49.4,155
49.41,156
49.42,157
49.43,158
49.44,159
49.45,160
49.46,161
49.47,162
49.48,163
49.49,164
49.5,165
49.51,166
49.52,167
49.53,168
49.54,169
49.55,170
49.56,171
49.57,172
49.58,173
49.59,174
49.6,175
49.61,176
49.62,177
49.63,178
49.64,179
49.65,180
49.66,181
49.67,182
49.68,183
49.69,184
49.7,185
49.71,186
49.72,187
49.73,188
49.74,189
49.75,190
49.76,191
49.77,192
49.78,193
49.79,194
49.8,195
49.81,196
49.82,197
49.83,198
49.84,199
49.85,200
49.86,201
49.87,202
49.88,203
49.89,204
49.9,205
49.91,206
49.92,207
49.93,208
49.94,209
49.95,210
49.96,211
49.97,212
49.98,213
49.99,214
50,215
50.01,216
50.02,217
50.03,218
50.04,219
50.05,220
50.06,221
50.07,222
50.08,223
50.09,224
50.1,225
50.11,226
50.12,227
50.13,228
50.14,229
50.15,230
50.16,231
50.17,232
50.18,233
50.19,234
