X,frankfurt_urban.MA[0].idLayer/sequenceUpdateCa:vector
67.835669395764,1
102.699859258657,2
158.790451126949,3
218.157904315526,4
218.657904315526,5
219.157904315526,6
219.657904315526,7
220.157904315526,8
220.657904315526,9
221.157904315526,10
221.657904315526,11
222.157904315526,12
222.657904315526,13
223.157904315526,14
223.657904315526,15
224.157904315526,16
224.657904315526,17
225.157904315526,18
225.657904315526,19
226.157904315526,20
226.657904315526,21
227.157904315526,22
227.657904315526,23
228.157904315526,24
228.657904315526,25
229.157904315526,26
229.657904315526,27
230.157904315526,28
230.458572415241,29
334.766393970276,30
