X,frankfurt_urban.MA[0].idLayer/sequenceUpdateCa:vector
67.616873067201,1
101.168219836396,2
104.296696072126,3
104.796696072126,4
105.296696072126,5
105.493861127374,6
173.831845784708,7
223.103488230527,8
223.603488230527,9
224.103488230527,10
224.603488230527,11
225.103488230527,12
225.603488230527,13
226.103488230527,14
226.603488230527,15
227.103488230527,16
227.603488230527,17
228.103488230527,18
228.603488230527,19
229.103488230527,20
229.603488230527,21
229.766385959244,22
330.691392463677,23
