X,frankfurt_urban.MA[0].idLayer/sequenceUpdateCa:vector
65.168811985091,1
101.064698025405,2
169.929774286626,3
195.404704352815,4
195.904704352815,5
196.404704352815,6
196.785101077546,7
197.285101077546,8
197.785101077546,9
198.285101077546,10
198.785101077546,11
199.285101077546,12
199.785101077546,13
200.285101077546,14
200.785101077546,15
201.285101077546,16
201.785101077546,17
202.285101077546,18
202.785101077546,19
203.285101077546,20
203.785101077546,21
204.285101077546,22
204.785101077546,23
205.285101077546,24
205.785101077546,25
206.285101077546,26
206.785101077546,27
207.285101077546,28
207.785101077546,29
208.285101077546,30
208.785101077546,31
209.285101077546,32
209.785101077546,33
210.285101077546,34
210.785101077546,35
211.285101077546,36
211.785101077546,37
212.285101077546,38
212.785101077546,39
213.285101077546,40
213.785101077546,41
214.285101077546,42
214.785101077546,43
215.285101077546,44
215.785101077546,45
216.285101077546,46
216.785101077546,47
217.285101077546,48
217.785101077546,49
218.285101077546,50
218.785101077546,51
219.285101077546,52
219.785101077546,53
220.285101077546,54
220.785101077546,55
221.285101077546,56
221.785101077546,57
222.285101077546,58
222.785101077546,59
223.285101077546,60
223.785101077546,61
224.285101077546,62
224.785101077546,63
225.285101077546,64
225.785101077546,65
226.285101077546,66
226.785101077546,67
227.285101077546,68
227.489499051867,69
227.989499051867,70
228.489499051867,71
228.989499051867,72
229.222928366053,73
229.722928366053,74
230.222928366053,75
328.975940965362,76
431.693619589022,77
