X,frankfurt_urban.MA[0].udpApp[0]/rcvdPkLifetime:vector
30.254016240658,0.114016
30.254621998676,0.104622
30.255263756694,0.0952638
30.25913315843,0.0891332
30.26913315843,0.0891332
30.27913315843,0.0891332
30.289133172096,0.0891332
30.299133172096,0.0891332
30.309133185782,0.0891332
30.319133185782,0.0891332
30.329665464733,0.0896655
30.339133185782,0.0891332
30.349133185782,0.0891332
30.361457467538,0.0914575
30.370116420082,0.0901164
30.380191185782,0.0901912
30.389133199468,0.0891332
30.399133199468,0.0891332
30.409133213217,0.0891332
30.419133213217,0.0891332
30.429133213217,0.0891332
30.439133213217,0.0891332
30.449447213217,0.0894472
30.459607951151,0.089608
30.471259495036,0.0912595
30.480245213217,0.0902452
30.489133226966,0.0891332
30.499133226966,0.0891332
30.509133240729,0.0891332
30.519133240729,0.0891332
30.529133240729,0.0891332
30.539133240729,0.0891332
30.549133240729,0.0891332
30.559447240729,0.0894472
30.569925771798,0.0899258
30.581349522562,0.0913495
30.589133254492,0.0891333
30.599133254492,0.0891333
30.609855667259,0.0898557
30.619133268264,0.0891333
30.629133268264,0.0891333
30.639133268264,0.0891333
30.649133268264,0.0891333
30.659399357914,0.0893994
30.670244268264,0.0902443
30.679133268264,0.0891333
30.689133282036,0.0891333
30.701508089577,0.0915081
30.709133295879,0.0891333
30.719133295879,0.0891333
30.729133295879,0.0891333
30.739880295879,0.0898803
30.750200295879,0.0902003
30.759717881995,0.0897179
30.769133295879,0.0891333
30.779133295879,0.0891333
30.789988190834,0.0899882
30.799133309722,0.0891333
30.809133323573,0.0891333
30.821071605494,0.0910716
30.829515937304,0.0895159
30.839673937304,0.0896739
30.849133323573,0.0891333
30.859867323573,0.0898673
30.869133323573,0.0891333
30.879632832259,0.0896328
30.889133337424,0.0891333
30.899133337424,0.0891333
30.909903351285,0.0899034
30.921628633216,0.0916286
30.929966351285,0.0899664
30.940119351285,0.0901194
30.950819633216,0.0908196
30.95971899271,0.089719
30.971457633216,0.0914576
30.980006351285,0.0900064
30.989133365146,0.0891334
31.000229481871,0.0902295
31.010550379214,0.0905504
31.020234999419,0.090235
31.030183048351,0.090183
31.040963661352,0.0909637
31.049133379214,0.0891334
31.059447379214,0.0894474
31.070331048351,0.090331
31.079133379214,0.0891334
31.089919193005,0.0899192
31.100096090348,0.0900961
31.109888724864,0.0898887
31.119620773796,0.0896208
31.131431689974,0.0914317
31.139133407593,0.0891334
31.149133407593,0.0891334
31.159876773796,0.0898768
31.170200407593,0.0902004
31.17950991845,0.0895099
31.189542830104,0.0895428
31.19948846462,0.0894885
31.210218436306,0.0902184
31.219763436306,0.0897634
31.229133436306,0.0891334
31.239894436306,0.0898944
31.249512527954,0.0895125
31.259638161751,0.0896382
31.269853436306,0.0898534
31.281547718778,0.0915477
31.289133450708,0.0891335
31.299728204866,0.0897282
